,Time,Pays,T_HAB,I90,PIB,TAXES
0,1995,Autriche,8.5,100.2,2.16,5.18
1,1996,Autriche,9.2,109.1,2.17,5.04
2,1997,Autriche,8.1,96.0,2.35,5.38
3,1998,Autriche,8.2,97.8,2.3,5.26
4,1999,Autriche,7.7,92.0,2.31,5.33
5,2000,Autriche,8.1,97.2,2.42,5.68
6,2001,Autriche,8.2,98.7,2.58,5.86
7,2002,Autriche,9.0,108.7,2.63,6.13
8,2003,Autriche,10.8,130.7,2.7,6.33
9,2004,Autriche,10.2,124.2,2.67,6.33
10,2005,Autriche,10.1,124.1,2.58,6.27
11,2006,Autriche,10.5,129.2,2.43,6.0
12,2007,Autriche,10.1,125.0,2.37,5.83
13,2008,Autriche,10.2,126.1,2.35,5.66
14,2009,Autriche,9.3,115.2,2.36,5.73
15,2010,Autriche,9.6,120.2,2.34,5.68
16,2011,Autriche,9.3,116.5,2.42,5.87
17,2012,Autriche,9.0,113.4,2.41,5.75
18,2013,Autriche,9.1,115.2,2.38,5.58
19,2014,Autriche,8.6,110.1,2.39,5.59
20,2015,Autriche,8.8,113.9,2.38,5.51
21,2016,Autriche,8.9,115.9,2.34,5.61
22,2017,Autriche,9.0,118.3,2.39,5.71
23,2018,Autriche,8.6,113.3,2.28,5.39
24,2019,Autriche,8.8,116.4,2.28,5.35
25,1995,Belgique,15.2,105.7,2.41,5.58
26,1996,Belgique,15.6,108.6,2.66,6.07
27,1997,Belgique,14.7,103.1,2.67,6.02
28,1998,Belgique,15.2,106.6,2.59,5.78
29,1999,Belgique,14.7,103.2,2.59,5.8
30,2000,Belgique,14.8,104.3,2.41,5.43
31,2001,Belgique,14.6,102.9,2.39,5.42
32,2002,Belgique,14.4,102.2,2.34,5.28
33,2003,Belgique,14.4,102.6,2.42,5.52
34,2004,Belgique,14.4,103.2,2.53,5.77
35,2005,Belgique,14.0,101.0,2.53,5.79
36,2006,Belgique,13.7,99.2,2.36,5.4
37,2007,Belgique,13.3,97.0,2.33,5.39
38,2008,Belgique,13.2,97.4,2.3,5.22
39,2009,Belgique,11.9,88.4,2.36,5.46
40,2010,Belgique,12.5,94.0,2.45,5.61
41,2011,Belgique,11.5,87.1,2.57,5.8
42,2012,Belgique,11.1,84.9,2.52,5.56
43,2013,Belgique,11.0,84.3,2.52,5.48
44,2014,Belgique,10.4,80.5,2.54,5.57
45,2015,Belgique,10.8,83.6,2.55,5.66
46,2016,Belgique,10.6,82.9,2.67,6.03
47,2017,Belgique,10.6,83.1,2.7,6.02
48,2018,Belgique,10.7,83.9,2.7,6.02
49,2019,Belgique,10.5,83.0,2.64,6.07
50,1995,Bulgarie,6.6,67.6,1.2,5.96
51,1996,Bulgarie,6.6,68.2,0.81,3.8
52,1997,Bulgarie,6.3,64.0,1.15,3.97
53,1998,Bulgarie,5.9,59.3,2.34,7.7
54,1999,Bulgarie,5.1,50.9,2.46,7.47
55,2000,Bulgarie,4.9,49.4,2.78,8.17
56,2001,Bulgarie,5.8,57.4,2.48,7.6
57,2002,Bulgarie,5.6,53.8,2.36,7.74
58,2003,Bulgarie,6.3,60.3,2.8,9.14
59,2004,Bulgarie,6.2,58.3,3.0,9.56
60,2005,Bulgarie,6.1,57.6,2.96,9.62
61,2006,Bulgarie,6.6,61.4,2.78,9.12
62,2007,Bulgarie,7.0,65.1,3.19,10.47
63,2008,Bulgarie,7.1,65.6,3.28,10.75
64,2009,Bulgarie,6.0,54.4,2.84,10.62
65,2010,Bulgarie,6.4,58.4,2.75,10.81
66,2011,Bulgarie,7.6,68.2,2.67,10.48
67,2012,Bulgarie,7.0,62.6,2.65,10.15
68,2013,Bulgarie,6.5,57.5,2.86,10.15
69,2014,Bulgarie,6.7,59.8,2.84,9.99
70,2015,Bulgarie,7.3,64.4,2.95,10.23
71,2016,Bulgarie,7.0,61.6,2.98,10.2
72,2017,Bulgarie,7.4,64.4,2.8,9.38
73,2018,Bulgarie,6.9,59.4,2.62,8.81
74,2019,Bulgarie,6.8,57.8,2.99,9.85
75,1995,Suisse,7.5,95.7,,
76,1996,Suisse,7.3,94.3,,
77,1997,Suisse,7.4,95.4,,
78,1998,Suisse,7.8,100.4,,
79,1999,Suisse,7.8,101.3,,
80,2000,Suisse,8.8,114.4,,
81,2001,Suisse,8.0,105.5,,
82,2002,Suisse,7.5,99.1,,
83,2003,Suisse,7.5,100.3,,
84,2004,Suisse,7.5,101.1,,
85,2005,Suisse,7.6,101.9,,
86,2006,Suisse,7.6,103.3,,
87,2007,Suisse,7.5,102.3,,
88,2008,Suisse,7.4,102.9,1.31,5.06
89,2009,Suisse,7.0,98.2,1.36,5.2
90,2010,Suisse,7.2,102.2,1.38,5.38
91,2011,Suisse,6.8,98.3,1.33,5.14
92,2012,Suisse,6.8,98.7,1.34,5.17
93,2013,Suisse,6.9,101.3,1.31,5.03
94,2014,Suisse,6.5,96.9,1.31,5.06
95,2015,Suisse,6.2,93.0,1.34,5.03
96,2016,Suisse,6.2,94.0,1.36,5.11
97,2017,Suisse,6.1,93.5,1.37,5.0
98,2018,Suisse,6.0,93.2,1.38,5.15
99,2019,Suisse,5.8,90.8,1.38,5.07
100,1995,Chypre,11.6,124.2,2.62,10.52
101,1996,Chypre,11.9,129.4,2.54,10.38
