DATAFLOW,LAST UPDATE,freq,airpol,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1991,104.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1992,96.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1993,96.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1994,97.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1995,101.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1996,105.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1997,105.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1998,104.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,1999,102.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2000,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2001,108.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2002,110.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2003,117.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2004,116.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2005,118.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2006,115.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2007,112.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2008,111.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2009,103.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2010,109.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2011,106.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2012,102.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2013,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2014,98.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2015,101.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2016,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2017,106.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2018,102.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,AT,2019,104.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1991,101.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1992,101.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1993,100.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1994,103.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1995,105.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1996,108.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1997,102.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1998,106.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,1999,102.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2000,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2001,101.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2002,101.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2003,101.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2004,102.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2005,100.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2006,98.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2007,96.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2008,96.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2009,87.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2010,92.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2011,85.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2012,83.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2013,83.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2014,79.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2015,82.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2016,82.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2017,82.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2018,82.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BE,2019,81.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1991,81.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1992,76.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1993,76.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1994,71.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1995,73.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1996,73.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1997,70.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1998,65.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,1999,58.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2000,57.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2001,60.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2002,58.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2003,63.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2004,62.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2005,62.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2006,63.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2007,67.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2008,66.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2009,57.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2010,59.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2011,65.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2012,60.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2013,55.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2014,58.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2015,61.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2016,59.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2017,61.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2018,57.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,BG,2019,56.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1991,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1992,103.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1993,98.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1994,97.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1995,99.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1996,100.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1997,98.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1998,101.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,1999,102.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2000,101.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2001,103.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2002,100.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2003,101.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2004,102.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2005,103.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2006,103.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2007,100.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2008,103.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2009,100.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2010,103.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2011,96.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2012,99.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2013,101.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2014,94.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2015,93.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CH,2016,94.5,
