REGISTRY,YEAR,SEX,TOTAL,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85+
 4800046,1998,1,191577,24598,24641,23715,20751,18160,15036,13293,12763,10399,7825,5815,4068,3687,2611,2035,2180,0,0
 4800046,1999,1,196190,24560,24971,24266,21476,18710,15096,13510,13236,10942,8462,6099,4107,3729,2640,2103,2283,0,0
 4800046,2000,1,200903,24507,25304,24829,22224,19277,15147,13730,13720,11492,9132,6394,4145,3771,2669,2172,2390,0,0
 4800046,2001,1,205782,24845,25811,25424,22858,19792,15390,14021,14118,11883,9543,6610,4222,3844,2720,2233,2468,0,0
 4800046,2002,1,210813,25452,26442,26046,23417,20276,15766,14364,14464,12173,9776,6772,4325,3938,2787,2287,2528,0,0
 4800046,2003,1,215847,24897,27240,26831,24123,20888,16241,14797,14900,12541,10071,6976,4455,4056,2871,2356,2604,0,0
 4800046,2004,1,221019,25494,27892,27474,24701,21388,16630,15151,15257,12841,10312,7143,4562,4154,2940,2413,2667,0,0
 4800046,2005,1,226188,24871,28718,28288,25432,22022,17123,15600,15709,13221,10618,7355,4697,4277,3027,2484,2746,0,0
 4800046,2006,1,231492,25455,29392,28951,26029,22538,17525,15966,16077,13531,10867,7527,4807,4377,3098,2542,2810,0,0
 4800046,2007,1,266420,28857,28408,29120,28929,25902,22796,18455,16169,16759,14810,11714,8542,4705,4167,2618,4469,0,0
 4800046,2008,1,271679,29743,28328,28971,29165,26527,23500,19220,16322,16714,15291,12294,9197,5173,4182,2772,4280,0,0
 4800046,2009,1,282011,31877,29821,30041,30272,27662,23923,20286,15979,16925,15676,12720,10151,5718,4193,2950,3817,0,0
 4800046,2010,1,287239,32477,30277,29842,30522,28259,24671,21096,16561,16048,15839,13324,10504,6489,4062,3322,3946,0,0
 4800046,2011,1,295878,33434,30704,29985,30533,29223,25503,22241,17531,16187,16461,13998,11162,7234,4264,3385,4033,0,0
 4800046,2012,1,305354,35041,31688,30007,30286,29305,25994,23160,19347,16489,16917,15049,11955,8146,4326,3516,4128,0,0
 4800046,1998,2,187858,23362,23900,22582,19770,17418,14925,14088,13390,10633,7686,5234,4190,3908,2753,1981,2038,0,0
 4800046,1999,2,192524,23389,24287,23028,20404,17866,14888,14261,14108,11512,8149,5312,4244,4001,2854,2086,2135,0,0
 4800046,2000,2,197318,23402,24679,23483,21056,18325,14842,14435,14857,12441,8624,5389,4298,4097,2958,2195,2237,0,0
 4800046,2001,2,202185,23750,25201,24014,21633,18783,15042,14718,15385,13009,8943,5499,4383,4196,3044,2272,2313,0,0
 4800046,2002,2,207125,24330,25817,24601,22162,19242,15409,15078,15761,13327,9162,5633,4490,4298,3119,2327,2369,0,0
 4800046,2003,2,208539,23800,26596,25343,22830,15874,16254,15532,16236,13729,9438,5803,4625,4428,3213,2398,2440,0,0
 4800046,2004,2,217188,24370,27233,25950,23377,20297,16254,15905,16625,14058,9664,5942,4736,4534,3290,2455,2498,0,0
 4800046,2005,2,222303,23775,28039,26719,24069,20898,16736,16376,17117,14474,9951,6118,4876,4668,3387,2528,2572,0,0
 4800046,2006,2,227520,24333,28697,27346,24634,21388,17128,16760,17519,14814,10184,6262,4991,4778,3466,2587,2633,0,0
 4800046,2007,2,261014,27897,27019,27876,27324,24555,21669,18777,17125,17843,15863,11044,6884,4654,4349,2970,5165,0,0
 4800046,2008,2,266039,28590,26950,27742,27621,25159,22254,19287,17207,17781,16503,12012,7546,4861,4363,3111,5052,0,0
 4800046,2009,2,276000,30636,28354,28431,28836,26090,23005,20432,16687,18294,16625,13331,8428,5286,4392,3358,3815,0,0
 4800046,2010,2,281160,31261,28735,28342,29135,26617,23488,20978,17326,17283,17122,14164,8894,5568,4228,3731,4288,0,0
 4800046,2011,2,288810,32134,29397,28397,29129,27432,24254,21759,18034,17108,17711,14771,10127,5978,4394,3696,4489,0,0
 4800046,2012,2,294275,33729,30305,28304,28899,27713,24658,22045,18738,16847,17523,15475,10737,6591,4315,3786,4610,0,0
15603000,1978,1,2392300,205200,208200,254700,289600,255000,213600,156700,118900,137600,136300,124400,104000,81700,53700,29100,15100,5800,2700
15603000,1979,1,2546000,211200,217200,248700,302300,285200,238100,186100,125600,144100,143200,131200,108800,85600,59600,33200,16400,6600,2900
15603000,1980,1,2629000,211200,218000,238100,301500,305000,255200,210300,132000,145400,145300,137200,111000,90300,64100,36200,17700,7400,3100
15603000,1981,1,2699700,214500,215300,229700,295700,318100,270500,231400,142800,146100,147100,141300,114100,94000,68200,39900,19300,8200,3500
15603000,1982,1,2734800,218200,218200,227300,280400,317100,281000,241500,157200,141800,148500,142600,118600,95500,71300,42700,20800,8400,3700
15603000,1983,1,2771200,220900,218500,227600,267200,313000,293200,249100,175800,136800,149300,144200,123300,97700,73800,45700,22200,8900,4000
15603000,1984,1,2791700,220500,217900,228000,254500,304900,303300,253400,193800,133200,147600,145200,127100,100200,75800,48900,23500,9600,4300
15603000,1985,1,2815600,218600,217000,228800,244600,296700,310400,258300,210600,134200,145400,146600,129800,104100,77700,52500,25000,10700,4600
15603000,1986,1,2849100,216200,217700,229600,237600,290400,315800,267400,224500,140700,141500,147800,132600,108200,79800,55700,26900,11800,4900
15603000,1987,1,2886600,210400,221000,227900,232200,282500,319800,280800,236000,153600,137000,147300,136000,112100,83100,58400,30000,12800,5700
15603000,1988,1,2916500,204300,223900,225300,229100,270700,320100,293500,244400,171300,132500,146000,138700,115500,87100,60200,33600,13700,6600
15603000,1989,1,2949600,202800,227000,222900,229800,259200,318300,306600,250900,190100,129100,143400,140000,117900,90400,61900,36800,14900,7600
15603000,1990,1,2922100,194900,221300,221100,226200,235000,302200,310200,256000,208500,132600,141500,139700,121200,90000,62200,37600,14600,7300
15603000,1991,1,2942400,190800,214300,220900,223900,228000,293700,316600,265800,223600,140600,139300,139700,124400,93000,64200,39500,16500,7600
15603000,1992,1,2966000,191000,207500,221200,218600,225500,283300,320500,278000,234600,153700,135800,139500,126200,96400,66300,41200,18300,8400
15603000,1993,1,2982300,192700,200600,218400,209700,219900,270600,319900,291700,243500,172700,132200,140600,128000,101200,68800,43200,19200,9400
15603000,1994,1,3039500,193800,199400,221100,215400,222800,260700,318100,306700,251100,193800,131000,139700,130500,105600,72100,45500,21900,10300
15603000,1995,1,3084300,196500,198100,222500,218500,224500,251300,312200,317400,258300,212500,133300,137700,132200,109200,76200,48200,24300,11400
15603000,1996,1,3253300,197000,202000,225300,230500,237400,252700,317600,339600,281500,239600,149700,142300,141000,119500,84500,52800,27300,13000
15603000,1997,1,3270800,190700,206000,219700,233800,234700,247100,303400,338200,293900,247400,164800,139000,141000,123600,87900,55900,28600,15100
15603000,1998,1,3249900,177200,207000,217000,237300,230800,245200,284800,334800,303900,249900,174700,132600,138800,126900,89900,57000,28300,13800
15603000,1999,1,3264700,168200,209000,220900,237000,227400,243500,271100,331000,316400,256000,188200,133200,136500,129600,93100,59700,29300,14600
15603000,2000,1,3276500,153400,208800,221900,236400,224700,242600,263200,323100,326900,260700,210400,132400,135800,129000,97800,61100,32000,16300
15603000,2001,1,3282000,142000,205200,220900,229300,225100,240500,255900,312700,335400,270500,226700,136000,133900,128200,102300,63600,34200,19600
15603000,2002,1,3279600,130300,200800,222600,224800,222700,236200,251600,301100,335200,283600,233900,149300,128900,128600,105100,67200,36500,21200
15603000,2003,1,3259100,122800,191600,221100,219700,221800,228000,247000,283300,332900,297400,239100,163000,124500,127200,108700,70200,38700,22100
15603000,2004,1,3266800,118300,182800,217000,221400,226000,223300,243900,270500,328900,309400,246000,177700,124000,126500,113200,73200,40900,23800
15603000,2005,1,3264000,114400,171300,213100,220200,226400,220500,241800,256600,318400,319500,253900,198000,125200,126300,112700,77400,42600,25700
15603000,2006,1,3270100,110400,162300,211300,222300,225600,223800,238800,248000,304400,323700,264000,214700,127600,125200,112400,82300,44800,28500
15603000,2007,1,3283900,111300,152600,209900,226100,221300,226700,236700,243400,293100,320100,276400,222200,140800,122500,115400,86900,47800,30700
15603000,2008,1,3290200,114000,146000,203400,226800,217900,230500,230200,241300,277100,320100,289600,228900,155100,118700,116100,91300,50400,32800
15603000,2009,1,3284800,117700,136300,192300,221800,218900,230600,225000,240000,262700,315900,299300,236900,169600,118300,115300,95800,53200,35200
15603000,2010,1,3294300,124200,131100,181500,220300,219900,230300,223300,238700,250000,307700,307700,243700,188200,119300,116700,96300,57600,37800
15603000,2011,1,3303000,129500,125800,170900,217300,221700,229500,225800,234500,242700,295300,312800,253900,205100,121500,116700,97000,62300,40700
15603000,2012,1,3327300,136400,125800,158200,215000,226300,225900,228400,234400,241400,286400,312000,267500,213600,134900,112800,99100,65400,43800
15603000,1978,2,2275200,192300,197200,242000,275300,239400,191800,127400,92300,116900,123300,117600,100600,83900,65900,47700,33600,17300,10700
15603000,1979,2,2383700,197100,204400,235500,285300,261400,210700,151500,95500,117400,125000,120700,103900,87900,70800,51000,35200,18800,11600
15603000,1980,2,2434100,197000,204200,224600,283300,276000,222400,171200,99200,115500,124600,123000,105800,90700,73400,53900,36900,19900,12500
15603000,1981,2,2483700,200200,200900,216700,276200,287500,235600,190600,108600,113300,123600,124600,107400,93300,76300,57000,37300,21700,12900
15603000,1982,2,2529700,204000,201400,212300,264100,292100,249300,203800,123300,110700,123800,125600,111500,95400,78700,58700,39000,22300,13700
15603000,1983,2,2573900,206500,201900,210300,250600,293400,264400,214000,142200,107700,123800,126400,115100,97600,80900,60700,40500,23200,14700
15603000,1984,2,2606200,205700,201300,209500,237600,290100,277900,222400,161800,105500,122300,126500,118000,100100,82400,63200,41300,24700,15900
15603000,1985,2,2640600,203500,201100,209300,226400,284300,289500,232400,180500,107000,120500,126400,120100,103700,83800,66200,42200,26400,17300
15603000,1986,2,2683500,200900,201900,209300,217800,278900,298400,245400,196800,114300,117700,127100,121700,107800,86000,68900,43600,28400,18600
15603000,1987,2,2726800,195200,204800,208500,211700,272300,304500,260700,210300,127700,113500,126400,123200,110800,89100,71100,46500,29600,20900
15603000,1988,2,2764800,188900,208200,206600,208300,262400,308300,276300,220600,145100,109500,125100,124500,112900,92500,72400,49700,30200,23300
15603000,1989,2,2811800,187700,210700,205100,209100,252600,311100,292400,230200,164700,106900,123100,124900,114400,95500,73500,53000,31100,25800
15603000,1990,2,2782400,180800,204900,203300,208000,226900,305100,298000,238700,181900,107100,117900,123500,115200,95500,73300,52000,27200,23100
15603000,1991,2,2812400,176800,198100,203500,205700,225300,300400,307200,250200,197600,114000,114500,122300,117000,98100,75300,53800,30400,22200
15603000,1992,2,2845500,177300,191600,204800,200200,227000,293100,315300,264400,209800,126900,109900,120200,115800,100200,77100,55500,32300,24100
15603000,1993,2,2918700,179600,190100,207200,196300,220700,292200,327200,284400,222200,144600,107300,121500,121200,106100,81600,58400,32800,25300
15603000,1994,2,2995900,178400,188300,209000,199300,223300,289900,336600,303000,236000,165700,105400,120200,122200,109500,85400,60700,36100,26900
15603000,1995,2,3071800,181100,186900,210000,202700,226100,287500,342400,319400,248200,186400,107500,118500,122600,112500,88900,63100,39100,28900
15603000,1996,2,3231000,181800,188200,211700,215700,237400,290900,350000,338600,271900,214200,122100,120200,129100,120400,96300,68000,43500,31000
15603000,1997,2,3293400,176300,191100,208000,219400,232300,289800,345100,349600,292900,229800,140300,116200,129400,122500,99700,71300,45100,34600
15603000,1998,2,3293800,162500,192100,203600,227900,240500,289800,329000,352700,300500,235800,151600,107800,125300,122000,100700,73200,44400,34400
15603000,1999,2,3341800,154100,193200,208900,225800,242200,287000,324000,361400,315300,245600,169800,107900,122900,122800,102000,76800,46200,35900
15603000,2000,2,3388500,141300,192700,210000,222600,242100,290600,322100,366500,331900,253900,190800,109400,121600,122600,104600,78200,48900,38700
15603000,2001,2,3432300,130800,191200,208400,216700,242800,283600,326400,370500,343300,269200,210300,116600,117100,121900,107900,80500,52100,43000
15603000,2002,2,3464500,121400,188800,210100,213300,232300,274400,329100,368300,352400,286700,223400,133300,112500,123000,109600,84300,55100,46500
15603000,2003,2,3471700,114500,180800,208800,210500,230100,263300,326300,354300,361900,302300,233000,150100,107300,122200,111200,86900,58400,49800
15603000,2004,2,3516700,109400,172800,204900,214400,239700,262200,320200,344400,370300,317000,245000,168200,106800,121700,114700,89900,62100,53000
15603000,2005,2,3549200,106700,161500,201900,214000,244500,266200,314600,334300,370800,328700,256000,190100,109900,119900,115600,92400,65100,57000
15603000,2006,2,3587000,102600,151800,200800,213900,246800,278500,309600,331400,365300,335700,267600,207800,116300,116600,115900,96300,67900,62200
15603000,2007,2,3632400,103200,141700,199800,214800,244000,287000,313100,331700,358600,337700,280800,219400,131700,112300,119700,98600,71700,66600
15603000,2008,2,3667600,105200,134400,193200,214300,238900,297300,311000,334100,344400,348200,295700,229000,148500,107100,119600,101800,74200,70700
15603000,2009,2,3688000,108300,126600,182600,209300,235400,301700,310800,331700,334400,354700,306900,239000,165800,105300,118400,105500,76600,75000
15603000,2010,2,3729900,113800,122100,171500,207700,231800,304600,315900,332000,329900,357900,317700,247400,186800,107400,116900,107200,79600,79700
