REGISTRY,YEAR,SEX,TOTAL,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85+
 4000000,1998,1,3852166,226801,244629,239692,243627,242811,305910,357600,340801,285523,254672,233723,255448,166251,162683,129863,86570,40018,35544
 4000000,1999,1,3862180,220474,244967,240221,246697,238677,290078,353037,349381,295848,253458,237186,253758,178073,159503,133710,92677,37899,36536
 4000000,2000,1,3874717,214826,243478,241320,247915,237795,277472,345503,355504,306989,255821,244808,237709,199656,155712,137370,95891,40432,36516
 4000000,2001,1,3893920,209022,240364,243661,247210,241268,267675,336389,359082,318075,263094,252778,222086,220173,152774,140263,98071,46572,35363
 4000000,2002,1,3918940,204748,236633,247099,246008,248114,260039,326732,360396,329239,273073,252158,220327,234516,150930,141633,100239,53615,33441
 4000000,2003,1,3940285,203340,231120,249382,246711,255227,256249,313185,359810,340092,282387,249256,225342,242402,151482,140454,102907,59688,31251
 4000000,2004,1,3967701,203511,225907,250430,248555,260959,255696,300196,357713,349666,293398,248031,228816,241164,163321,138546,106620,64295,30877
 4000000,2005,1,3998952,204320,221697,249750,250181,265493,257980,290963,352095,357449,305742,251178,235765,224933,185553,135799,110172,66370,33512
 4000000,2006,1,4022516,204362,217169,247044,252582,264964,262998,282469,343813,361978,316571,258889,245859,208422,203503,133725,113133,68270,36765
 4000000,2007,1,4036548,203648,212237,243032,255155,262662,268990,273770,333536,362062,327405,268257,242891,207882,216749,132987,114568,70562,40155
 4000000,2008,1,4050215,202757,210116,237035,256786,262351,274180,268426,319113,361068,338086,277676,240429,212735,224233,134141,114531,73385,43167
 4000000,2009,1,4061195,201995,208818,230811,257018,262883,277334,265465,304245,357927,346942,288208,239320,215938,223001,145468,113565,76674,45583
 4000000,2010,1,4071773,201089,208146,225649,255493,263164,278486,264500,292628,350559,353718,299702,242329,222252,207704,165923,112078,79845,48508
 4000000,2011,1,4087188,201706,207575,220623,252134,265961,277523,268504,283305,341717,357538,309695,249804,231426,192127,182343,111044,82450,51713
 4000000,2012,1,4109431,203087,207118,215731,248739,270764,277338,275709,275513,331894,358257,320858,259444,228939,191806,194202,111043,84012,54977
 4000000,1998,2,4124623,216469,232648,228213,232667,240018,304506,345188,328126,282972,254469,237855,266603,182601,193324,204290,175573,93605,105496
 4000000,1999,2,4130143,210240,233162,228311,235916,234263,291394,342435,336747,292263,253948,240694,265455,193950,188987,197009,188914,88213,108242
 4000000,2000,2,4136849,204667,231735,229440,237334,231691,280104,337377,343141,301823,256931,247517,249267,215903,183983,191072,193047,93707,108110
 4000000,2001,2,4148373,198711,228864,231856,236261,234195,269964,330576,347169,310637,264484,255362,232745,236976,179593,186522,191437,107672,105349
 4000000,2002,2,4163181,194211,225680,234597,234596,240499,260740,323137,348880,319649,273824,255300,229954,252139,175930,183409,186064,123926,100646
 4000000,2003,2,4177960,192872,220686,236656,234747,248119,255068,312597,348638,329730,282474,252724,234665,260970,174985,180410,179181,138958,94480
 4000000,2004,2,4201740,192825,215614,237960,236216,255093,252769,301799,347426,339385,292814,252149,237349,260539,186341,176684,173546,150502,92729
 4000000,2005,2,4226326,193497,211381,237148,237906,259782,252940,293298,343391,346904,303514,256219,243710,243678,209283,172394,169078,152855,99348
 4000000,2006,2,4245432,194317,206460,234804,240156,259232,257735,284276,337982,351185,312276,264430,254428,225695,228479,168230,165712,152447,107588
 4000000,2007,2,4258641,194269,201696,231497,242529,257275,264287,275476,330239,352418,321289,273533,252413,224377,243138,165284,163440,148907,116574
 4000000,2008,2,4271326,193526,199591,226185,243938,256825,270564,269071,319321,352022,331556,282311,250188,229199,251725,164770,161412,144421,124701
 4000000,2009,2,4280288,192594,198157,220253,244141,257084,274849,264455,307203,349877,340573,292163,249466,231822,251128,175797,158472,140507,131747
 4000000,2010,2,4289296,191559,197583,215255,242294,257344,277107,262192,297269,344700,347226,302205,253156,237862,234758,197635,155165,137500,138486
 4000000,2011,2,4301346,191682,197690,209880,238985,259187,275963,266068,287906,338857,351081,310608,260977,248244,217144,215946,151841,135620,143667
 4000000,2012,2,4316880,191948,197674,205056,235672,262166,274666,273121,279550,331822,352580,319817,270177,246410,215973,229812,149589,134477,146370
 4000700,1988,1,296272,20454,21032,20591,25606,29865,27689,22657,20411,19456,20742,14653,14481,11744,8984,6181,6473,3557,1696
 4000700,1989,1,299573,20598,21262,20317,24423,30068,28824,23793,20171,19905,20759,15471,14343,12350,9563,5651,6577,3694,1804
 4000700,1990,1,303299,20855,21276,20269,23520,29867,30115,24974,20278,20618,19833,17002,14133,12830,9844,5725,6423,3804,1933
 4000700,1991,1,307581,21207,21213,20538,22655,29543,31111,26267,20902,21116,18929,18620,13994,13230,9987,6325,5961,3940,2043
 4000700,1992,1,312230,21605,21169,21050,21991,28959,31764,27657,21937,20969,18948,19802,13988,13538,10194,7060,5333,4124,2142
 4000700,1993,1,316618,21939,21207,21534,21545,27832,32347,28960,23179,20771,19481,20395,14181,13644,10642,7724,4718,4304,2215
 4000700,1994,1,319774,22070,21300,21734,21194,26425,32414,30190,24412,20612,19968,20370,14995,13564,11239,8206,4371,4381,2329
 4000700,1995,1,321625,22082,21363,21706,21041,25051,31725,31140,25460,20658,20647,19457,16448,13372,11750,8479,4533,4265,2448
 4000700,1996,1,322472,21830,21379,21507,21150,23671,30781,31550,26473,21077,21038,18504,17970,13211,12146,8628,5037,3951,2569
 4000700,1997,1,323173,21502,21477,21275,21449,22536,29577,31580,27431,21800,20742,18398,19051,13181,12400,8835,5632,3557,2750
 4000700,1998,1,323897,20921,21652,21202,21746,21735,27999,31668,28324,22677,20334,18790,19542,13319,12444,9290,6154,3171,2929
