Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;18;3;;;OUI;OUI;2022-03-10T17:56:27+01:00;;;
;;OUI;;24;11;;;OUI;OUI;2022-03-10T17:52:39+01:00;;;
;;OUI;;12;18;;;OUI;OUI;2022-03-10T17:58:48+01:00;;;
;;OUI;;14;6;;;OUI;OUI;2022-03-10T17:57:13+01:00;;;
;;OUI;;29;16;;;OUI;OUI;2022-03-10T17:57:03+01:00;;;
;;OUI;;44;16;;;OUI;OUI;2022-03-10T17:58:33+01:00;;;
;;OUI;;58;2;;;OUI;OUI;2022-03-10T17:58:11+01:00;;;
;;OUI;;43;5;;;OUI;OUI;2022-03-10T17:58:41+01:00;;;
;;OUI;;11;1;;;OUI;OUI;2022-03-10T17:54:21+01:00;;;
;;OUI;;20;3;;;OUI;OUI;2022-03-10T17:58:44+01:00;;;
;;OUI;;23;2;;;OUI;OUI;2022-03-10T17:58:46+01:00;;;
;;OUI;;12;5;;;OUI;OUI;2022-03-10T17:52:54+01:00;;;
;;OUI;;10;11;;;OUI;OUI;2022-03-10T17:56:35+01:00;;;
;;OUI;;17;14;;;OUI;OUI;2022-03-10T17:58:19+01:00;;;
;;OUI;;21;6;;;OUI;OUI;2022-03-10T17:57:53+01:00;;;
;;OUI;;6;14;;;OUI;OUI;2022-03-10T17:58:43+01:00;;;
;;OUI;;46;4;;;OUI;OUI;2022-03-10T17:58:20+01:00;;;
;;OUI;;33;7;;;OUI;OUI;2022-03-10T17:58:23+01:00;;;
;;OUI;;16;6;;;OUI;OUI;2022-03-10T17:58:37+01:00;;;
;;OUI;;57;5;;;OUI;OUI;2022-03-10T17:57:47+01:00;;;
;;OUI;;21;15;;;OUI;OUI;2022-03-10T17:58:26+01:00;;;
;;OUI;;14;46;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;51;1;;;OUI;OUI;2022-03-10T17:50:23+01:00;;;
;;OUI;;21;8;;;OUI;OUI;2022-03-10T17:54:38+01:00;;;
