id;station;working;capacity;avail. station;avail. bike;mech. bike;elec. bike;atm;bike return;data actualization;geo;commune;arrond
14014;Jourdan - Stade Charléty;True;60;57;2;0;2;True;True;2022-03-10T15:53:36+01:00;48.819428333369,2.3433353751898;Paris;75113
8026;Messine - Place Du Pérou;True;12;5;7;3;4;True;True;2022-03-10T15:57:28+01:00;48.875448033960744,2.315508019010038;Paris;75108
33006;André Karman - République;True;31;19;11;9;2;True;True;2022-03-10T15:58:22+01:00;48.91039875761846,2.3851355910301213;Aubervilliers;93001
17038;Grande Armée - Brunel;True;62;43;6;1;5;True;True;2022-03-10T15:57:24+01:00;48.876116,2.288124;Paris;75117
7003;Square Boucicaut;True;60;5;55;43;12;True;True;2022-03-10T15:57:35+01:00;48.851296433665276,2.325061820447445;Paris;75107
7001;Invalides - Duroc;True;29;24;3;0;3;True;True;2022-03-10T15:58:21+01:00;48.8477924732952,2.3161920905113225;Paris;75107
5016;Thouin - Cardinal Lemoine;True;17;5;12;0;12;True;True;2022-03-10T15:56:58+01:00;48.84504716661511,2.3494647851273465;Paris;75105
17025;Chazelles - Courcelles;True;35;27;8;4;4;True;True;2022-03-10T15:57:16+01:00;48.879406604954,2.3034455627202988;Paris;75117
13101;Croulebarde - Corvisart;True;34;23;10;9;1;True;True;2022-03-10T15:56:34+01:00;48.830981659316855,2.3481646925210953;Paris;75113
20143;Ramponeau - Belleville;True;44;41;3;0;3;True;True;2022-03-10T15:53:45+01:00;48.871031137596006,2.3790568521139748;Paris;75120
31024;Romainville - Vaillant-Couturier;True;38;33;2;1;1;True;True;2022-03-10T15:49:00+01:00;48.86785,2.446748;Montreuil;93048
15026;Bir Hakeim;True;33;8;25;14;11;True;True;2022-03-10T15:57:27+01:00;48.853844054333514,2.289705348222022;Paris;75115
47007;Liberté - Vert-de-Maisons;True;20;12;8;2;6;True;True;2022-03-10T15:56:36+01:00;48.79014780960843,2.43286281824112;Maisons-Alfort;94046
17044;Porte de Saint-Ouen - Bessières;True;42;37;5;5;0;True;True;2022-03-10T15:50:48+01:00;48.89792240854517,2.32851451022192;Paris;75117
19033;Cambrai - Benjamin Constant;True;43;37;6;5;1;True;True;2022-03-10T15:58:28+01:00;48.89594736851349,2.381133802246315;Paris;75119
43002;Lagny - Victor Basch;True;26;8;18;8;10;True;True;2022-03-10T15:57:30+01:00;48.84884147189881,2.426325418925233;Vincennes;94080
16138;Saint-Cloud - Hippodrome;True;30;17;12;7;5;True;True;2022-03-10T15:57:51+01:00;48.85772148887421,2.2549109905958176;Paris;75116
21216;Louis Lejeune - Barbès;True;25;24;1;0;1;True;True;2022-03-10T15:57:09+01:00;48.81807418981508,2.3267009854316716;Montrouge;92049
15068;Général Martial Valin - Pont du Garigliano;True;16;8;8;1;7;True;True;2022-03-10T15:54:14+01:00;48.83823094269141,2.270506024360657;Paris;75115
22207;Rond-point du Dr Albert Schweitzer;True;22;18;4;4;0;True;True;2022-03-10T15:55:45+01:00;48.78980918988166,2.3143940046429634;Bagneux;92007
92002;Théâtre des Amandiers - Palais des sports;True;24;2;22;3;19;True;True;2022-03-10T15:55:44+01:00;48.89264852683893,2.2136941552162175;Nanterre;92050
6029;Vaugirard - Monsieur le Prince;True;26;6;20;5;15;True;True;2022-03-10T15:55:38+01:00;48.848951441614176,2.3411329463124275;Paris;75106
2017;Caire - Dussoubs;True;40;0;39;36;3;True;True;2022-03-10T15:56:56+01:00;48.86785342111862,2.349364310503006;Paris;75102
9008;Tour d'Auvergne - Rodier;True;17;15;2;0;2;True;True;2022-03-10T15:57:38+01:00;48.879161,2.343698;Paris;75109
8103;Artois - Berri;True;23;2;21;9;12;True;True;2022-03-10T15:53:01+01:00;48.87393521240818,2.3064258322119713;Paris;75108
8048;Marceau - Chaillot;True;21;8;13;0;13;True;True;2022-03-10T15:52:13+01:00;48.86883394989261,2.2989967837929726;Paris;75108
7011;Las Cases - Bourgogne;True;22;2;20;16;4;True;True;2022-03-10T15:57:15+01:00;48.85909110474066,2.3185685276985173;Paris;75107
18111;Félix Ziem - Armand Gauthier;True;25;24;1;0;1;True;True;2022-03-10T15:57:03+01:00;48.88949630486821,2.333393658804396;Paris;75118
