hour;diff
11_00_30;95.0
11_01_00;35.0
11_01_30;49.0
11_02_00;4.0
11_02_30;38.0
11_03_00;53.0
11_03_30;54.0
11_04_00;48.0
11_04_30;5.0
11_05_00;18.0
11_05_30;762.0
11_06_00;1515.0
11_06_30;695.0
11_07_00;64.0
11_07_30;245.0
11_08_00;630.0
11_08_30;388.0
11_09_00;137.0
11_09_30;1581.0
11_10_00;361.0
11_10_30;142.0
11_11_00;188.0
11_11_30;13.0
11_12_00;237.0
11_12_30;32.0
11_13_00;224.0
11_13_30;175.0
11_14_00;256.0
11_14_30;277.0
11_15_00;72.0
11_15_30;76.0
11_16_00;125.0
11_16_30;194.0
11_17_00;60.0
11_17_30;186.0
11_18_00;357.0
11_18_30;333.0
11_19_00;1099.0
11_19_30;1687.0
11_20_00;1209.0
11_20_30;193.0
11_21_00;170.0
11_21_30;61.0
11_22_00;381.0
11_22_30;27.0
11_23_00;167.0
11_23_30;104.0
