arrond;capacity;avail. bike
75101;768;2
75102;660;-5
75103;389;-8
75104;634;-9
75105;1203;-10
75106;1032;-23
75107;1010;-8
75108;1481;-24
75109;1172;-5
75110;1583;-17
75111;1972;8
75112;2726;2
75113;2320;-17
75114;1783;15
75115;3342;-16
75116;2205;1
75117;2176;-2
75118;1894;9
75119;1812;15
75120;1909;24
92004;180;3
92007;141;2
92009;84;0
92012;880;6
92014;55;-2
92020;148;-1
92022;62;0
92023;74;1
92024;400;-4
92025;120;1
92026;193;2
92032;122;2
92035;128;2
92036;126;1
92040;495;0
92044;359;-11
92046;238;0
92048;107;1
92049;283;7
92050;222;-2
92051;378;-1
92062;58;1
92063;195;-3
92064;79;2
92071;90;-1
92072;118;1
92073;264;0
92075;258;3
92077;24;0
93001;404;-8
93006;208;-4
93008;19;0
93045;233;-1
93048;792;0
93053;58;0
93055;563;-10
93061;42;1
93063;67;-1
93064;124;2
93066;516;-8
93070;269;1
94002;122;2
94003;120;-1
94016;112;-5
94017;121;0
94018;248;0
94022;79;0
94033;349;7
94037;119;11
94041;579;5
94042;124;0
94043;150;1
94046;180;0
94052;131;1
94067;119;-1
94069;44;-1
94076;254;-7
94080;278;-13
94081;482;7
95018;95;1
