Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:05:03;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:05:03;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:29;00:06:02;00:00:00;
France2;Candidat;00:10:31;00:01:12;00:16:39;00:00:00;
France2;Soutiens;00:00:28;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:10:59;00:01:12;00:16:39;00:00:00;
France2;"Total temps d'antenne";00:12:07;00:01:30;00:17:42;00:00:00;
France3;Candidat;00:00:00;00:04:02;00:00:22;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:04:02;00:00:22;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:04:17;00:00:49;00:00:00;
France5;Candidat;00:00:00;00:00:41;00:08:58;00:08:24;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:41;00:08:58;00:08:24;
France5;"Total temps d'antenne";00:00:00;00:00:41;00:10:52;00:10:18;
M6;Candidat;00:00:00;00:00:32;00:01:38;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:03;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:32;00:01:41;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:12;00:03:03;00:00:00;
C8;Candidat;00:00:00;00:01:57;00:08:32;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:01:57;00:08:32;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:57;00:08:55;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:04:43;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:07;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:04:50;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:15;00:06:31;00:00:00;
BFMTV;Candidat;00:06:05;00:13:38;00:07:13;00:04:02;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:06:05;00:13:38;00:07:13;00:04:02;
BFMTV;"Total temps d'antenne";00:06:41;00:13:38;00:07:13;00:04:02;
Cnews;Candidat;00:06:57;00:26:23;00:15:07;00:05:00;
Cnews;Soutiens;00:00:00;00:05:42;00:00:00;00:00:00;
Cnews;"Total temps de parole";00:06:57;00:32:05;00:15:07;00:05:00;
Cnews;"Total temps d'antenne";00:07:14;00:34:37;00:16:38;00:05:00;
RMCDecouverte;Candidat;00:00:20;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:20;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:00:58;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:05:15;00:00:33;00:12:54;00:00:18;
LCI;Soutiens;00:00:00;00:32:31;00:00:00;00:00:00;
LCI;"Total temps de parole";00:05:15;00:33:04;00:12:54;00:00:18;
LCI;"Total temps d'antenne";00:05:20;00:34:39;00:14:21;00:00:18;
FranceinfoTV;Candidat;00:22:05;00:36:47;00:05:17;00:01:42;
FranceinfoTV;Soutiens;00:09:32;00:00:00;00:06:57;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:37;00:36:47;00:12:14;00:01:42;
FranceinfoTV;"Total temps d'antenne";00:32:06;00:37:54;00:13:07;00:01:42;
FranceInter;Candidat;00:07:35;00:04:08;00:00:51;00:00:08;
FranceInter;Soutiens;00:00:00;00:00:00;00:00:17;00:00:00;
FranceInter;"Total temps de parole";00:07:35;00:04:08;00:01:08;00:00:08;
FranceInter;"Total temps d'antenne";00:07:54;00:05:34;00:03:59;00:00:26;
FranceInfo;Candidat;00:19:19;00:06:47;00:01:30;00:20:46;
FranceInfo;Soutiens;00:00:00;00:00:00;00:00:33;00:01:44;
FranceInfo;"Total temps de parole";00:19:19;00:06:47;00:02:03;00:22:30;
FranceInfo;"Total temps d'antenne";00:21:13;00:10:46;00:05:42;00:28:22;
FranceCulture;Candidat;00:00:30;00:00:40;00:00:20;00:00:00;
FranceCulture;Soutiens;00:00:22;00:00:00;00:00:22;00:00:00;
FranceCulture;"Total temps de parole";00:00:52;00:00:40;00:00:42;00:00:00;
FranceCulture;"Total temps d'antenne";00:02:21;00:01:21;00:06:10;00:00:00;
RTL;Candidat;00:03:28;00:02:00;00:02:06;00:00:00;
RTL;Soutiens;00:01:48;00:25:02;00:00:10;00:00:53;
RTL;"Total temps de parole";00:05:16;00:27:02;00:02:16;00:00:53;
RTL;"Total temps d'antenne";00:06:37;00:31:42;00:02:26;00:00:58;
Europe1;Candidat;00:07:15;00:00:00;00:00:31;00:00:44;
Europe1;Soutiens;00:00:00;00:05:04;00:00:00;00:00:00;
Europe1;"Total temps de parole";00:07:15;00:05:04;00:00:31;00:00:44;
Europe1;"Total temps d'antenne";00:07:15;00:05:04;00:00:31;00:00:44;
RMC;Candidat;00:02:02;00:04:25;00:00:00;00:04:30;
RMC;Soutiens;00:02:16;00:00:00;00:00:00;00:00:00;
RMC;"Total temps de parole";00:04:18;00:04:25;00:00:00;00:04:30;
RMC;"Total temps d'antenne";00:04:34;00:05:00;00:00:00;00:05:05;
BFMBusiness;Candidat;00:00:20;00:00:20;00:01:29;00:01:29;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:20;00:00:20;00:01:29;00:01:29;
BFMBusiness;"Total temps d'antenne";00:00:20;00:03:05;00:01:56;00:01:49;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:37;00:00:00;00:00:00;00:00:37;
RadioClassique;"Total temps de parole";00:00:37;00:00:00;00:00:00;00:00:37;
RadioClassique;"Total temps d'antenne";00:03:41;00:00:10;00:00:13;00:03:41;
SudRadio;Candidat;00:11:00;00:00:14;00:00:40;00:00:00;
SudRadio;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:11:00;00:00:14;00:00:40;00:00:00;
SudRadio;"Total temps d'antenne";00:11:00;00:01:14;00:00:40;00:00:00;
TV5Monde;Candidat;00:10:10;00:00:00;00:16:39;00:00:00;
TV5Monde;Soutiens;00:00:28;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:10:38;00:00:00;00:16:39;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:30;00:00:00;00:17:44;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:01:31;
RFI;Candidat;00:00:50;00:00:25;00:10:16;00:00:00;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:00:50;00:00:25;00:10:16;00:00:00;
RFI;"Total temps d'antenne";00:01:15;00:00:25;00:11:02;00:00:16;
France24;Candidat;00:00:44;00:00:36;00:09:17;00:01:03;
France24;Soutiens;00:00:00;00:00:00;00:00:13;00:00:00;
France24;"Total temps de parole";00:00:44;00:00:36;00:09:30;00:01:03;
France24;"Total temps d'antenne";00:00:49;00:01:47;00:10:55;00:01:03;
"RMC Story";Candidat;00:01:16;00:04:25;00:00:00;00:00:00;
"RMC Story";Soutiens;00:02:16;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:03:32;00:04:25;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:04:23;00:05:00;00:00:00;00:00:00;
