Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:30;00:09:39;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:09;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:30;00:09:48;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:55;00:10:49;00:00:00;
France2;Candidat;00:10:03;00:00:22;00:31:25;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:40;00:00:00;
France2;"Total temps de parole";00:10:03;00:00:22;00:32:05;00:00:00;
France2;"Total temps d'antenne";00:11:29;00:00:51;00:36:03;00:00:00;
France3;Candidat;00:00:00;00:00:45;00:00:53;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:45;00:00:53;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:58;00:01:16;00:00:00;
France5;Candidat;00:00:00;00:01:43;00:04:10;00:02:14;
France5;Soutiens;00:00:00;00:00:20;00:00:40;00:00:20;
France5;"Total temps de parole";00:00:00;00:02:03;00:04:50;00:02:34;
France5;"Total temps d'antenne";00:00:00;00:02:43;00:06:34;00:03:34;
M6;Candidat;00:00:00;00:01:01;00:01:00;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:01;00:01:00;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:02:49;00:03:32;00:00:00;
C8;Candidat;00:00:00;00:00:55;00:09:50;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:55;00:09:50;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:05;00:13:50;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:14:25;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:03:31;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:17:56;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:40:26;00:00:00;
BFMTV;Candidat;00:26:27;00:10:06;00:10:00;00:03:09;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:26:27;00:10:06;00:10:00;00:03:09;
BFMTV;"Total temps d'antenne";00:29:22;00:15:14;00:11:55;00:03:49;
Cnews;Candidat;00:03:31;00:18:38;00:07:19;00:08:00;
Cnews;Soutiens;00:14:00;00:11:30;00:00:47;00:00:00;
Cnews;"Total temps de parole";00:17:31;00:30:08;00:08:06;00:08:00;
Cnews;"Total temps d'antenne";00:24:08;01:04:11;00:40:53;00:23:00;
LCI;Candidat;00:24:59;00:55:19;00:30:22;00:00:00;
LCI;Soutiens;00:00:00;00:34:42;00:00:10;00:00:00;
LCI;"Total temps de parole";00:24:59;01:30:01;00:30:32;00:00:00;
LCI;"Total temps d'antenne";00:35:05;02:08:14;01:17:30;00:00:00;
FranceinfoTV;Candidat;00:31:20;01:16:02;00:12:33;00:03:58;
FranceinfoTV;Soutiens;00:00:00;00:01:16;00:12:52;00:00:00;
FranceinfoTV;"Total temps de parole";00:31:20;01:17:18;00:25:25;00:03:58;
FranceinfoTV;"Total temps d'antenne";00:34:55;02:04:26;00:50:02;00:11:55;
FranceInter;Candidat;00:19:55;00:03:02;00:02:31;00:00:22;
FranceInter;Soutiens;00:01:58;00:01:28;00:00:45;00:00:39;
FranceInter;"Total temps de parole";00:21:53;00:04:30;00:03:16;00:01:01;
FranceInter;"Total temps d'antenne";00:28:33;00:10:39;00:11:52;00:02:55;
FranceInfo;Candidat;00:20:37;00:25:44;00:10:58;00:06:59;
FranceInfo;Soutiens;00:00:44;00:00:00;00:06:49;00:00:06;
FranceInfo;"Total temps de parole";00:21:21;00:25:44;00:17:47;00:07:05;
FranceInfo;"Total temps d'antenne";00:33:48;00:58:18;00:53:27;00:28:51;
FranceCulture;Candidat;00:00:31;00:04:59;00:01:08;00:00:00;
FranceCulture;Soutiens;00:00:28;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:59;00:04:59;00:01:08;00:00:00;
FranceCulture;"Total temps d'antenne";00:05:59;00:04:59;00:02:25;00:00:00;
RTL;Candidat;00:19:19;00:04:44;00:03:01;00:02:58;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:19:19;00:04:44;00:03:01;00:02:58;
RTL;"Total temps d'antenne";00:24:43;00:22:20;00:13:28;00:04:48;
Europe1;Candidat;00:00:33;00:00:51;00:01:35;00:01:59;
Europe1;Soutiens;00:21:29;00:18:49;00:05:58;00:00:00;
Europe1;"Total temps de parole";00:22:02;00:19:40;00:07:33;00:01:59;
Europe1;"Total temps d'antenne";00:22:34;00:19:40;00:07:33;00:02:31;
RMC;Candidat;00:26:43;00:05:06;00:00:00;00:06:10;
RMC;Soutiens;00:09:37;00:00:00;00:00:00;00:01:24;
RMC;"Total temps de parole";00:36:20;00:05:06;00:00:00;00:07:34;
RMC;"Total temps d'antenne";00:39:10;00:08:54;00:00:00;00:12:58;
RadioClassique;Candidat;00:01:32;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:01:32;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:24:30;00:00:58;00:00:00;00:20:08;
SudRadio;Candidat;00:00:00;00:00:45;00:00:10;00:00:00;
SudRadio;Soutiens;00:13:30;00:00:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:13:30;00:00:45;00:00:10;00:00:00;
SudRadio;"Total temps d'antenne";00:18:10;00:03:15;00:02:20;00:00:00;
TV5Monde;Candidat;00:10:05;00:00:00;00:31:25;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:40;00:00:00;
TV5Monde;"Total temps de parole";00:10:05;00:00:00;00:32:05;00:00:00;
TV5Monde;"Total temps d'antenne";00:11:24;00:00:07;00:36:13;00:00:00;
RFI;Candidat;00:03:03;00:05:30;00:01:28;00:03:15;
RFI;Soutiens;00:09:58;00:01:51;00:00:00;00:00:56;
RFI;"Total temps de parole";00:13:01;00:07:21;00:01:28;00:04:11;
RFI;"Total temps d'antenne";00:15:59;00:11:04;00:05:00;00:09:47;
France24;Candidat;00:03:19;00:06:17;00:03:53;00:03:27;
France24;Soutiens;00:00:00;00:00:00;00:00:47;00:00:00;
France24;"Total temps de parole";00:03:19;00:06:17;00:04:40;00:03:27;
France24;"Total temps d'antenne";00:08:03;00:21:05;00:20:01;00:11:28;
"RMC Story";Candidat;00:04:33;00:03:36;00:00:00;00:00:00;
"RMC Story";Soutiens;00:09:47;00:00:00;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:14:20;00:03:36;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:16:45;00:07:24;00:00:00;00:00:00;
