Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:00:21;00:00:00;
France2;Candidat;00:00:07;00:00:00;00:00:00;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:07;00:00:00;00:00:00;00:00:00;
France2;"Total temps d'antenne";00:00:07;00:00:02;00:00:00;00:00:00;
France3;Candidat;00:00:00;00:09:21;00:00:24;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:09:21;00:00:24;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:09:54;00:00:36;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:00:18;00:00:18;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:00;00:00:18;00:00:18;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:00:18;00:00:18;
M6;Candidat;00:00:00;00:00:11;00:00:38;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:31;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:11;00:01:09;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:22;00:02:28;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:00:41;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:18;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:00:59;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:08;00:01:08;00:00:00;
BFMTV;Candidat;00:09:15;00:02:14;00:00:00;00:05:33;
BFMTV;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:09:15;00:02:14;00:00:00;00:05:33;
BFMTV;"Total temps d'antenne";00:09:24;00:02:17;00:00:00;00:05:33;
Cnews;Candidat;00:03:44;00:03:16;00:06:53;00:05:30;
Cnews;Soutiens;00:00:00;00:29:48;00:00:20;00:00:00;
Cnews;"Total temps de parole";00:03:44;00:33:04;00:07:13;00:05:30;
Cnews;"Total temps d'antenne";00:03:44;00:33:04;00:07:13;00:05:30;
LCI;Candidat;00:00:00;00:00:35;00:00:00;00:00:00;
LCI;Soutiens;00:12:49;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:12:49;00:00:35;00:00:00;00:00:00;
LCI;"Total temps d'antenne";00:13:12;00:00:48;00:00:00;00:00:00;
FranceinfoTV;Candidat;00:00:14;00:00:00;00:01:24;00:00:00;
FranceinfoTV;Soutiens;00:05:16;00:05:17;00:00:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:05:30;00:05:17;00:01:24;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:05:30;00:05:17;00:02:03;00:00:00;
FranceInter;Candidat;00:08:03;00:00:10;00:00:00;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:41;00:00:00;00:00:41;
FranceInter;"Total temps de parole";00:08:03;00:00:51;00:00:00;00:00:41;
FranceInter;"Total temps d'antenne";00:08:18;00:00:51;00:00:08;00:01:28;
FranceInfo;Candidat;00:00:21;00:00:32;00:01:19;00:00:00;
FranceInfo;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceInfo;"Total temps de parole";00:00:21;00:00:32;00:01:19;00:00:00;
FranceInfo;"Total temps d'antenne";00:02:44;00:02:50;00:01:58;00:02:34;
FranceCulture;Candidat;00:00:00;00:00:00;00:00:25;00:00:00;
FranceCulture;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:00;00:00:00;00:00:25;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:00;00:00:00;00:25:22;00:00:00;
RTL;Candidat;00:00:00;00:00:34;00:00:00;00:00:00;
RTL;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:00:00;00:00:34;00:00:00;00:00:00;
RTL;"Total temps d'antenne";00:00:47;00:00:34;00:00:00;00:00:00;
Europe1;Candidat;00:00:05;00:00:00;00:00:44;00:00:00;
Europe1;Soutiens;00:00:06;00:06:30;00:21:55;00:00:00;
Europe1;"Total temps de parole";00:00:11;00:06:30;00:22:39;00:00:00;
Europe1;"Total temps d'antenne";00:01:35;00:06:30;00:22:39;00:00:00;
RMC;Candidat;00:00:56;00:00:00;00:00:00;00:00:14;
RMC;Soutiens;00:00:57;00:00:19;00:00:00;00:00:19;
RMC;"Total temps de parole";00:01:53;00:00:19;00:00:00;00:00:33;
RMC;"Total temps d'antenne";00:01:53;00:01:08;00:00:00;00:01:22;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:43;00:00:43;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:43;
BFMBusiness;"Total temps d'antenne";00:00:00;00:00:00;00:02:35;00:02:35;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:00:58;00:00:00;00:00:00;00:00:52;
SudRadio;Candidat;00:31:00;00:00:00;00:00:24;00:00:00;
SudRadio;Soutiens;00:00:00;00:02:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:31:00;00:02:00;00:00:24;00:00:00;
SudRadio;"Total temps d'antenne";00:31:30;00:02:00;00:00:24;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:00:21;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:00:00;00:00:00;00:04:20;
RFI;Candidat;00:00:36;00:00:00;00:00:00;00:00:00;
RFI;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RFI;"Total temps de parole";00:00:36;00:00:00;00:00:00;00:00:00;
RFI;"Total temps d'antenne";00:00:36;00:00:00;00:00:00;00:00:00;
France24;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:00:12;00:00:00;
France24;"Total temps de parole";00:00:00;00:00:00;00:00:12;00:00:00;
France24;"Total temps d'antenne";00:00:00;00:00:00;00:01:03;00:01:42;
"RMC Story";Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
"RMC Story";Soutiens;00:01:07;00:00:19;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:01:07;00:00:19;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:01:53;00:01:08;00:00:00;00:00:00;
