Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:13;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:13;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:00:36;00:00:00;
France2;Candidat;00:00:06;00:04:48;00:00:10;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:06;00:04:48;00:00:10;00:00:00;
France2;"Total temps d'antenne";00:00:06;00:06:19;00:00:14;00:00:00;
France3;Candidat;00:00:00;00:00:00;00:00:17;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:00;00:00:17;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:38;00:00:42;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:00:31;00:00:31;
France5;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France5;"Total temps de parole";00:00:00;00:00:00;00:00:31;00:00:31;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:00:48;00:00:31;
M6;Candidat;00:00:00;00:00:00;00:00:20;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:00;00:00:20;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:04;00:01:23;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:01:35;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:00:21;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:01:56;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:03:55;00:00:00;
BFMTV;Candidat;00:00:00;00:00:47;00:00:00;00:09:18;
BFMTV;Soutiens;00:00:00;00:00:31;00:00:00;00:00:00;
BFMTV;"Total temps de parole";00:00:00;00:01:18;00:00:00;00:09:18;
BFMTV;"Total temps d'antenne";00:00:00;00:01:29;00:00:32;00:09:18;
Cnews;Candidat;00:01:11;00:04:22;00:03:29;00:06:50;
Cnews;Soutiens;00:02:06;00:00:00;00:02:06;00:00:00;
Cnews;"Total temps de parole";00:03:17;00:04:22;00:05:35;00:06:50;
Cnews;"Total temps d'antenne";00:03:17;00:04:40;00:05:35;00:06:50;
LCI;Candidat;00:00:00;00:04:47;00:00:20;00:00:00;
LCI;Soutiens;00:11:45;00:00:00;00:00:00;00:00:00;
LCI;"Total temps de parole";00:11:45;00:04:47;00:00:20;00:00:00;
LCI;"Total temps d'antenne";00:13:31;00:06:07;00:00:20;00:00:00;
FranceinfoTV;Candidat;00:00:13;00:00:00;00:00:45;00:00:00;
FranceinfoTV;Soutiens;00:00:00;00:00:00;00:10:42;00:00:00;
FranceinfoTV;"Total temps de parole";00:00:13;00:00:00;00:11:27;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:00:13;00:00:20;00:13:41;00:00:00;
FranceInter;Candidat;00:00:00;00:00:40;00:00:11;00:00:00;
FranceInter;Soutiens;00:00:00;00:00:28;00:00:00;00:00:28;
FranceInter;"Total temps de parole";00:00:00;00:01:08;00:00:11;00:00:28;
FranceInter;"Total temps d'antenne";00:00:00;00:01:12;00:01:04;00:00:28;
FranceInfo;Candidat;00:00:06;00:01:08;00:01:51;00:00:36;
FranceInfo;Soutiens;00:00:14;00:00:00;00:00:00;00:00:00;
FranceInfo;"Total temps de parole";00:00:20;00:01:08;00:01:51;00:00:36;
FranceInfo;"Total temps d'antenne";00:00:40;00:02:04;00:05:04;00:10:09;
FranceCulture;Candidat;00:00:00;00:00:00;00:00:24;00:00:00;
FranceCulture;Soutiens;00:00:00;00:05:01;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:00;00:05:01;00:00:24;00:00:00;
FranceCulture;"Total temps d'antenne";00:00:00;00:05:01;00:00:24;00:00:00;
RTL;Candidat;00:00:32;00:00:00;00:00:12;00:00:00;
RTL;Soutiens;00:02:50;00:00:00;00:00:00;00:00:00;
RTL;"Total temps de parole";00:03:22;00:00:00;00:00:12;00:00:00;
RTL;"Total temps d'antenne";00:03:22;00:00:00;00:00:12;00:00:00;
Europe1;Candidat;00:29:25;00:01:04;00:00:37;00:00:00;
Europe1;Soutiens;00:00:00;00:00:00;00:22:38;00:00:00;
Europe1;"Total temps de parole";00:29:25;00:01:04;00:23:15;00:00:00;
Europe1;"Total temps d'antenne";00:29:25;00:01:04;00:23:15;00:00:00;
RMC;Candidat;00:00:14;00:00:25;00:00:00;00:00:25;
RMC;Soutiens;00:00:18;00:12:24;00:00:00;00:12:42;
RMC;"Total temps de parole";00:00:32;00:12:49;00:00:00;00:13:07;
RMC;"Total temps d'antenne";00:00:32;00:15:25;00:00:00;00:15:43;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:32;00:00:32;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:00:32;00:00:32;
BFMBusiness;"Total temps d'antenne";00:00:00;00:00:00;00:01:29;00:01:18;
RadioClassique;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps d'antenne";00:00:59;00:00:00;00:00:00;00:00:59;
SudRadio;Candidat;00:05:40;00:00:00;00:00:00;00:00:00;
SudRadio;Soutiens;00:00:00;00:04:00;00:00:00;00:00:00;
SudRadio;"Total temps de parole";00:05:40;00:04:00;00:00:00;00:00:00;
SudRadio;"Total temps d'antenne";00:05:40;00:04:00;00:00:00;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:10;00:00:00;
TV5Monde;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:00:00;00:00:00;00:00:10;00:00:00;
TV5Monde;"Total temps d'antenne";00:00:00;00:00:00;00:00:16;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
