Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:33;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:33;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:10;00:00:00;
France2;Candidat;00:00:09;00:00:00;00:00:22;00:00:00;
France2;Soutiens;00:10:07;00:00:00;00:00:06;00:00:00;
France2;"Total temps de parole";00:10:16;00:00:00;00:00:28;00:00:00;
France2;"Total temps d'antenne";00:10:16;00:00:04;00:01:53;00:00:00;
France3;Candidat;00:00:00;00:00:17;00:00:19;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:17;00:00:19;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:00:42;00:00:45;00:00:00;
France5;Candidat;00:00:00;00:00:00;00:00:33;00:00:23;
France5;Soutiens;00:00:00;00:00:00;00:11:35;00:11:35;
France5;"Total temps de parole";00:00:00;00:00:00;00:12:08;00:11:58;
France5;"Total temps d'antenne";00:00:00;00:00:00;00:12:28;00:12:04;
M6;Candidat;00:00:00;00:00:00;00:00:30;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:00;00:00:30;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:00:05;00:01:01;00:00:00;
C8;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:01:39;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:00;00:01:39;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:00:00;00:01:54;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:03:06;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:01:45;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:04:51;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:09:37;00:00:00;
BFMTV;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
BFMTV;Soutiens;00:00:22;00:07:26;00:00:00;00:00:31;
BFMTV;"Total temps de parole";00:00:22;00:07:26;00:00:00;00:00:31;
BFMTV;"Total temps d'antenne";00:04:53;00:11:18;00:00:56;00:06:14;
Cnews;Candidat;00:01:32;00:05:02;00:08:47;00:00:00;
Cnews;Soutiens;00:03:34;00:27:24;00:25:39;00:00:00;
Cnews;"Total temps de parole";00:05:06;00:32:26;00:34:26;00:00:00;
Cnews;"Total temps d'antenne";00:07:03;00:32:50;00:40:37;00:00:00;
LCI;Candidat;00:00:00;00:00:38;00:00:28;00:00:00;
LCI;Soutiens;00:00:00;00:02:41;00:00:00;00:00:00;
LCI;"Total temps de parole";00:00:00;00:03:19;00:00:28;00:00:00;
LCI;"Total temps d'antenne";00:00:00;00:06:31;00:00:58;00:00:00;
FranceinfoTV;Candidat;00:00:17;00:01:13;00:01:40;00:00:00;
FranceinfoTV;Soutiens;00:21:46;00:01:38;00:20:16;00:00:00;
FranceinfoTV;"Total temps de parole";00:22:03;00:02:51;00:21:56;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:25:39;00:07:52;00:27:56;00:00:00;
FranceInter;Candidat;00:00:00;00:00:35;00:00:48;00:00:12;
FranceInter;Soutiens;00:00:00;00:01:08;00:00:00;00:00:39;
FranceInter;"Total temps de parole";00:00:00;00:01:43;00:00:48;00:00:51;
FranceInter;"Total temps d'antenne";00:01:01;00:01:43;00:09:47;00:01:11;
FranceInfo;Candidat;00:00:24;00:00:14;00:00:33;00:01:02;
FranceInfo;Soutiens;00:13:05;00:01:14;00:00:44;00:01:24;
FranceInfo;"Total temps de parole";00:13:29;00:01:28;00:01:17;00:02:26;
FranceInfo;"Total temps d'antenne";00:18:41;00:11:07;00:08:11;00:13:16;
FranceCulture;Candidat;00:00:35;00:00:00;00:00:21;00:00:00;
FranceCulture;Soutiens;00:00:00;00:15:05;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:00:35;00:15:05;00:00:21;00:00:00;
FranceCulture;"Total temps d'antenne";00:02:22;00:15:43;00:00:48;00:00:00;
RTL;Candidat;00:00:23;00:00:30;00:00:12;00:00:25;
RTL;Soutiens;00:00:00;00:01:42;00:01:07;00:00:00;
RTL;"Total temps de parole";00:00:23;00:02:12;00:01:19;00:00:25;
RTL;"Total temps d'antenne";00:03:07;00:02:54;00:06:41;00:01:05;
Europe1;Candidat;00:00:00;00:00:00;00:01:13;00:00:00;
Europe1;Soutiens;00:00:00;00:17:52;00:18:05;00:00:00;
Europe1;"Total temps de parole";00:00:00;00:17:52;00:19:18;00:00:00;
Europe1;"Total temps d'antenne";00:03:28;00:17:52;00:19:18;00:01:00;
