Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:39:23;00:00:00;
TF1;Soutiens;00:00:00;00:00:01;00:00:31;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:01;00:39:54;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:01:25;00:43:43;00:00:00;
France2;Candidat;00:00:00;00:03:49;00:00:19;00:00:00;
France2;Soutiens;00:09:29;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:09:29;00:03:49;00:00:19;00:00:00;
France2;"Total temps d'antenne";00:12:49;00:04:07;00:00:37;00:00:00;
France3;Candidat;00:00:00;00:10:51;00:01:06;00:00:00;
France3;Soutiens;00:00:00;00:00:18;00:00:00;00:00:00;
France3;"Total temps de parole";00:00:00;00:11:09;00:01:06;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:12:52;00:03:48;00:00:00;
France5;Candidat;00:00:00;00:00:50;00:04:13;00:02:49;
France5;Soutiens;00:00:00;00:00:00;00:00:45;00:00:45;
France5;"Total temps de parole";00:00:00;00:00:50;00:04:58;00:03:34;
France5;"Total temps d'antenne";00:00:00;00:02:11;00:07:51;00:05:06;
M6;Candidat;00:00:00;00:01:11;00:00:39;00:00:00;
M6;Soutiens;00:00:00;00:00:11;00:00:10;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:22;00:00:49;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:36;00:05:11;00:00:00;
C8;Candidat;00:00:00;00:03:08;00:00:39;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:11:00;00:00:00;
C8;"Total temps de parole";00:00:00;00:03:08;00:11:39;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:03:28;00:13:06;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:07:00;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:03:23;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:10:23;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:42;00:12:03;00:00:00;
BFMTV;Candidat;00:23:43;00:02:42;00:00:47;00:39:36;
BFMTV;Soutiens;00:20:30;01:23:19;00:02:48;00:00:00;
BFMTV;"Total temps de parole";00:44:13;01:26:01;00:03:35;00:39:36;
BFMTV;"Total temps d'antenne";00:46:33;01:28:52;00:05:37;00:42:10;
Cnews;Candidat;00:06:31;00:53:34;00:44:51;00:04:24;
Cnews;Soutiens;00:13:21;03:01:54;00:08:11;00:02:00;
Cnews;"Total temps de parole";00:19:52;03:55:28;00:53:02;00:06:24;
Cnews;"Total temps d'antenne";00:26:46;04:22:46;01:01:42;00:08:00;
RMCDecouverte;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:02:23;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:00:40;00:59:30;01:22:32;00:00:12;
LCI;Soutiens;00:09:50;00:16:01;00:00:29;00:00:00;
LCI;"Total temps de parole";00:10:30;01:15:31;01:23:01;00:00:12;
LCI;"Total temps d'antenne";00:10:59;02:10:03;01:50:40;00:00:12;
FranceinfoTV;Candidat;00:02:16;00:02:37;00:05:43;00:00:00;
FranceinfoTV;Soutiens;00:27:45;00:35:32;00:52:11;00:00:00;
FranceinfoTV;"Total temps de parole";00:30:01;00:38:09;00:57:54;00:00:00;
FranceinfoTV;"Total temps d'antenne";00:37:55;00:49:29;01:10:04;00:00:50;
FranceInter;Candidat;00:19:57;00:02:23;00:03:35;00:00:39;
FranceInter;Soutiens;00:01:12;00:00:36;00:00:50;00:00:14;
FranceInter;"Total temps de parole";00:21:09;00:02:59;00:04:25;00:00:53;
FranceInter;"Total temps d'antenne";00:24:53;00:07:32;00:14:31;00:02:31;
FranceInfo;Candidat;00:05:10;00:10:34;00:05:48;00:05:47;
FranceInfo;Soutiens;00:09:23;00:09:07;00:14:39;00:08:58;
FranceInfo;"Total temps de parole";00:14:33;00:19:41;00:20:27;00:14:45;
FranceInfo;"Total temps d'antenne";00:24:27;00:34:25;00:27:51;00:43:18;
FranceCulture;Candidat;00:01:16;00:00:54;00:00:54;00:00:00;
FranceCulture;Soutiens;00:01:27;00:00:00;00:00:00;00:00:00;
FranceCulture;"Total temps de parole";00:02:43;00:00:54;00:00:54;00:00:00;
FranceCulture;"Total temps d'antenne";00:04:04;00:01:17;00:03:35;00:00:00;
RTL;Candidat;00:00:53;00:01:30;00:00:23;00:00:55;
RTL;Soutiens;00:12:25;00:34:59;00:01:03;00:00:00;
RTL;"Total temps de parole";00:13:18;00:36:29;00:01:26;00:00:55;
RTL;"Total temps d'antenne";00:28:19;00:39:30;00:07:27;00:00:55;
Europe1;Candidat;00:01:28;00:35:10;00:12:06;00:02:06;
Europe1;Soutiens;00:00:00;00:14:15;00:01:48;00:00:13;
Europe1;"Total temps de parole";00:01:28;00:49:25;00:13:54;00:02:19;
Europe1;"Total temps d'antenne";00:07:06;00:50:44;00:15:31;00:02:19;
RMC;Candidat;00:24:04;00:03:58;00:00:00;00:03:00;
RMC;Soutiens;00:10:17;00:16:08;00:00:00;00:16:10;
RMC;"Total temps de parole";00:34:21;00:20:06;00:00:00;00:19:10;
RMC;"Total temps d'antenne";00:40:40;00:34:43;00:00:00;00:33:47;
BFMBusiness;Candidat;00:00:00;00:00:00;00:00:40;00:00:40;
BFMBusiness;Soutiens;00:00:00;00:00:00;00:22:22;00:11:11;
BFMBusiness;"Total temps de parole";00:00:00;00:00:00;00:23:02;00:11:51;
BFMBusiness;"Total temps d'antenne";00:03:06;00:02:29;00:30:53;00:18:07;
RadioClassique;Candidat;00:00:51;00:00:00;00:00:00;00:00:26;
RadioClassique;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RadioClassique;"Total temps de parole";00:00:51;00:00:00;00:00:00;00:00:26;
RadioClassique;"Total temps d'antenne";00:11:46;00:01:36;00:00:26;00:11:55;
SudRadio;Candidat;00:00:00;00:00:00;00:00:20;00:00:00;
SudRadio;Soutiens;00:25:45;00:20:30;00:02:30;00:00:00;
SudRadio;"Total temps de parole";00:25:45;00:20:30;00:02:50;00:00:00;
SudRadio;"Total temps d'antenne";00:28:17;00:31:10;00:02:50;00:00:00;
TV5Monde;Candidat;00:00:00;00:00:00;00:00:40;00:00:00;
TV5Monde;Soutiens;00:17:38;00:08:36;00:00:00;00:00:00;
TV5Monde;"Total temps de parole";00:17:38;00:08:36;00:00:40;00:00:00;
TV5Monde;"Total temps d'antenne";00:19:07;00:08:37;00:02:03;00:00:00;
Euronews;Candidat;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps de parole";00:00:00;00:00:00;00:00:00;00:00:00;
Euronews;"Total temps d'antenne";00:00:00;00:01:50;00:00:50;00:01:15;
RFI;Candidat;00:00:41;00:00:57;00:02:07;00:00:20;
RFI;Soutiens;00:00:17;00:01:18;00:20:00;00:00:00;
RFI;"Total temps de parole";00:00:58;00:02:15;00:22:07;00:00:20;
RFI;"Total temps d'antenne";00:02:54;00:05:20;00:22:07;00:00:20;
France24;Candidat;00:01:05;00:01:43;00:02:26;00:00:00;
France24;Soutiens;00:00:00;00:00:00;00:13:57;00:00:00;
France24;"Total temps de parole";00:01:05;00:01:43;00:16:23;00:00:00;
France24;"Total temps d'antenne";00:01:17;00:03:43;00:24:50;00:00:22;
"RMC Story";Candidat;00:03:56;00:01:40;00:00:00;00:00:00;
"RMC Story";Soutiens;00:00:33;00:16:08;00:00:00;00:00:00;
"RMC Story";"Total temps de parole";00:04:29;00:17:48;00:00:00;00:00:00;
"RMC Story";"Total temps d'antenne";00:11:06;00:32:25;00:00:00;00:00:00;
