Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:00:43;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:00:43;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:01:26;00:00:00;
France2;Candidat;00:00:08;00:00:00;00:07:31;00:00:00;
France2;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:00:08;00:00:00;00:07:31;00:00:00;
France2;"Total temps d'antenne";00:01:48;00:00:16;00:08:56;00:00:00;
France3;Candidat;00:00:00;00:00:29;00:00:00;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:16;00:00:00;
France3;"Total temps de parole";00:00:00;00:00:29;00:00:16;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:01:12;00:00:28;00:00:00;
France5;Candidat;00:00:00;00:01:16;00:02:12;00:00:58;
France5;Soutiens;00:00:00;00:00:30;00:00:48;00:00:18;
France5;"Total temps de parole";00:00:00;00:01:46;00:03:00;00:01:16;
France5;"Total temps d'antenne";00:00:00;00:02:31;00:04:33;00:02:04;
M6;Candidat;00:00:00;00:00:26;00:00:19;00:00:00;
M6;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
M6;"Total temps de parole";00:00:00;00:00:26;00:00:19;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:01:04;00:01:00;00:00:00;
C8;Candidat;00:00:00;00:00:46;00:02:18;00:00:00;
C8;Soutiens;00:00:00;00:00:00;00:06:18;00:00:00;
C8;"Total temps de parole";00:00:00;00:00:46;00:08:36;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:01:06;00:10:39;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:06:33;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:02:45;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:09:18;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:00;00:15:50;00:00:00;
