Chaîne;Candidat;"Détail des temps";"Tranche (6h-9h)(durée)";"Tranche (9h-18h)(durée)";"Tranche (18h-24h)(durée)";"Tranche (0h-6h)(durée)"
TF1;Candidat;00:00:00;00:00:00;00:29:31;00:00:00;
TF1;Soutiens;00:00:00;00:00:00;00:00:10;00:00:00;
TF1;"Total temps de parole";00:00:00;00:00:00;00:29:41;00:00:00;
TF1;"Total temps d'antenne";00:00:00;00:00:00;00:32:26;00:00:00;
France2;Candidat;00:00:18;00:03:56;00:59:32;00:00:00;
France2;Soutiens;00:10:17;00:00:00;00:00:00;00:00:00;
France2;"Total temps de parole";00:10:35;00:03:56;00:59:32;00:00:00;
France2;"Total temps d'antenne";00:10:41;00:04:09;01:12:22;00:00:00;
France3;Candidat;00:00:00;00:08:00;00:00:10;00:00:00;
France3;Soutiens;00:00:00;00:00:00;00:00:04;00:00:00;
France3;"Total temps de parole";00:00:00;00:08:00;00:00:14;00:00:00;
France3;"Total temps d'antenne";00:00:00;00:08:41;00:00:29;00:00:00;
France5;Candidat;00:00:00;00:00:42;00:03:45;00:02:59;
France5;Soutiens;00:00:00;00:00:00;00:12:21;00:12:21;
France5;"Total temps de parole";00:00:00;00:00:42;00:16:06;00:15:20;
France5;"Total temps d'antenne";00:00:00;00:00:42;00:18:09;00:16:38;
M6;Candidat;00:00:00;00:00:43;00:00:13;00:00:00;
M6;Soutiens;00:00:00;00:00:36;00:00:19;00:00:00;
M6;"Total temps de parole";00:00:00;00:01:19;00:00:32;00:00:00;
M6;"Total temps d'antenne";00:00:00;00:03:05;00:02:18;00:00:00;
C8;Candidat;00:00:00;00:00:39;00:00:37;00:00:00;
C8;Soutiens;00:00:00;00:08:33;00:34:57;00:00:00;
C8;"Total temps de parole";00:00:00;00:09:12;00:35:34;00:00:00;
C8;"Total temps d'antenne";00:00:00;00:09:36;00:40:41;00:00:00;
TMC;Candidat;00:00:00;00:00:00;00:05:07;00:00:00;
TMC;Soutiens;00:00:00;00:00:00;00:04:02;00:00:00;
TMC;"Total temps de parole";00:00:00;00:00:00;00:09:09;00:00:00;
TMC;"Total temps d'antenne";00:00:00;00:00:33;00:12:07;00:00:00;
BFMTV;Candidat;00:20:47;00:21:22;00:00:27;00:00:22;
BFMTV;Soutiens;00:00:52;00:00:06;00:16:08;00:00:26;
BFMTV;"Total temps de parole";00:21:39;00:21:28;00:16:35;00:00:48;
BFMTV;"Total temps d'antenne";00:26:08;00:25:03;00:28:47;00:10:07;
Cnews;Candidat;00:00:48;00:04:29;00:43:22;00:05:24;
Cnews;Soutiens;00:16:04;00:25:27;00:01:42;00:00:00;
Cnews;"Total temps de parole";00:16:52;00:29:56;00:45:04;00:05:24;
Cnews;"Total temps d'antenne";00:19:17;00:44:24;01:17:08;00:21:24;
RMCDecouverte;Candidat;00:00:12;00:00:00;00:00:00;00:00:00;
RMCDecouverte;Soutiens;00:00:00;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps de parole";00:00:12;00:00:00;00:00:00;00:00:00;
RMCDecouverte;"Total temps d'antenne";00:04:17;00:00:00;00:00:00;00:00:00;
LCI;Candidat;00:00:00;00:00:24;00:39:49;00:00:00;
LCI;Soutiens;00:18:54;00:54:20;00:00:00;00:00:00;
LCI;"Total temps de parole";00:18:54;00:54:44;00:39:49;00:00:00;
LCI;"Total temps d'antenne";00:20:00;00:58:59;01:08:00;00:00:00;
FranceinfoTV;Candidat;00:01:40;00:02:43;00:01:01;00:00:00;
FranceinfoTV;Soutiens;00:20:44;00:18:13;00:11:00;00:00:00;
FranceinfoTV;"Total temps de parole";00:22:24;00:20:56;00:12:01;00:00:00;
