,year,region,total,men,women
0,2000,Auvergne-Rhône-Alpes,7000751,3410563,3590188
1,2000,Bourgogne-Franche-Comté,2734330,1335444,1398886
2,2000,Bretagne,2927612,1421199,1506413
3,2000,Centre-Val-de-Loire,2450121,1195208,1254913
4,2000,Corse,264539,128957,135582
5,2000,Grand Est,5400871,2641298,2759573
6,2000,Hauts-de-France,5860802,2848926,3011876
7,2000,Île-de-France,11019991,5332244,5687747
8,2000,Normandie,3211503,1560358,1651145
9,2000,Nouvelle-Aquitaine,5296850,2559733,2737117
10,2000,Occitanie,4900326,2371973,2528353
11,2000,Pays de la Loire,3248994,1584175,1664819
12,2000,Provence-Alpes-Côted'Azur,4541508,2175903,2365605
13,2000,France métropolitaine,58858198,28565981,30292217
14,2000,Guadeloupe,388045,185396,202649
15,2000,Martinique,383575,181475,202100
16,2000,Guyane,162018,81393,80625
17,2000,La Réunion,716314,351555,364759
18,2000,DOM,1649952,799819,850133
19,2000,France métropolitaine et DOM,60508150,29365800,31142350
20,2001,Auvergne-Rhône-Alpes,7057821,3437566,3620255
21,2001,Bourgogne-Franche-Comté,2742346,1338469,1403877
22,2001,Bretagne,2954324,1434145,1520179
23,2001,Centre-Val-de-Loire,2461778,1200228,1261550
24,2001,Corse,269273,131197,138076
25,2001,Grand Est,5416747,2648034,2768713
26,2001,Hauts-de-France,5869901,2850776,3019125
27,2001,Île-de-France,11102824,5370707,5732117
28,2001,Normandie,3221806,1563847,1657959
29,2001,Nouvelle-Aquitaine,5340843,2579814,2761029
30,2001,Occitanie,4962851,2400759,2562092
31,2001,Pays de la Loire,3281679,1599741,1681938
32,2001,Provence-Alpes-Côted'Azur,4584379,2194523,2389856
33,2001,France métropolitaine,59266572,28749806,30516766
34,2001,Guadeloupe,390672,186164,204508
35,2001,Martinique,386542,182334,204208
36,2001,Guyane,168614,84542,84072
37,2001,La Réunion,729010,357171,371839
38,2001,DOM,1674838,810211,864627
39,2001,France métropolitaine et DOM,60941410,29560017,31381393
40,2002,Auvergne-Rhône-Alpes,7115944,3464799,3651145
41,2002,Bourgogne-Franche-Comté,2749892,1341369,1408523
42,2002,Bretagne,2981765,1447224,1534541
43,2002,Centre-Val-de-Loire,2472978,1204878,1268100
44,2002,Corse,274093,133448,140645
45,2002,Grand Est,5432715,2654928,2777787
46,2002,Hauts-de-France,5879893,2853417,3026476
47,2002,Île-de-France,11185563,5409116,5776447
48,2002,Normandie,3231900,1567057,1664843
49,2002,Nouvelle-Aquitaine,5386308,2600622,2785686
50,2002,Occitanie,5030703,2432195,2598508
51,2002,Pays de la Loire,3314649,1615448,1699201
52,2002,Provence-Alpes-Côted'Azur,4629496,2214503,2414993
53,2002,France métropolitaine,59685899,28939004,30746895
54,2002,Guadeloupe,393024,186827,206197
55,2002,Martinique,389302,183149,206153
56,2002,Guyane,176638,88372,88266
57,2002,La Réunion,740207,361981,378226
58,2002,DOM,1699171,820329,878842
59,2002,France métropolitaine et DOM,61385070,29759333,31625737
60,2003,Auvergne-Rhône-Alpes,7173919,3492239,3681680
61,2003,Bourgogne-Franche-Comté,2756739,1343941,1412798
62,2003,Bretagne,3009249,1460571,1548678
63,2003,Centre-Val-de-Loire,2484288,1209734,1274554
64,2003,Corse,279027,135747,143280
65,2003,Grand Est,5446445,2660772,2785673
66,2003,Hauts-de-France,5887707,2854849,3032858
67,2003,Île-de-France,11270074,5448524,5821550
68,2003,Normandie,3240840,1569796,1671044
69,2003,Nouvelle-Aquitaine,5431745,2621715,2810030
70,2003,Occitanie,5099077,2463851,2635226
71,2003,Pays de la Loire,3347675,1631258,1716417
72,2003,Provence-Alpes-Côted'Azur,4675056,2234814,2440242
73,2003,France métropolitaine,60101841,29127811,30974030
74,2003,Guadeloupe,394881,187151,207730
75,2003,Martinique,391676,183735,207941
76,2003,Guyane,184792,92273,92519
77,2003,La Réunion,750840,366374,384466
78,2003,DOM,1722189,829533,892656
79,2003,France métropolitaine et DOM,61824030,29957344,31866686
80,2004,Auvergne-Rhône-Alpes,7231833,3519883,3711950
81,2004,Bourgogne-Franche-Comté,2762934,1346391,1416543
82,2004,Bretagne,3037077,1474225,1562852
83,2004,Centre-Val-de-Loire,2494279,1214167,1280112
84,2004,Corse,283972,138054,145918
85,2004,Grand Est,5458878,2666070,2792808
86,2004,Hauts-de-France,5893957,2855930,3038027
87,2004,Île-de-France,11350290,5485818,5864472
88,2004,Normandie,3249220,1572491,1676729
89,2004,Nouvelle-Aquitaine,5476513,2642237,2834276
90,2004,Occitanie,5167552,2495776,2671776
91,2004,Pays de la Loire,3379784,1646839,1732945
92,2004,Provence-Alpes-Côted'Azur,4719132,2254791,2464341
93,2004,France métropolitaine,60505421,29312672,31192749
94,2004,Guadeloupe,396992,187603,209389
95,2004,Martinique,393852,184303,209549
