year,regions,taxes,salary
2000,Auvergne-Rhône-Alpes,2021,8974
2000,Bourgogne-Franche-Comté,1797,8167
2000,Bretagne,1785,7798
2000,Centre-Val de Loire,1991,8737
2000,Corse,1692,6837
2000,Grand Est,1914,8706
2000,Hauts-de-France,1740,7998
2000,Île-de-France,3695,13608
2000,Normandie,1776,8185
2000,Nouvelle-Aquitaine,1798,7781
2000,Occitanie,1780,7515
2000,Pays de la Loire,1824,8253
2000,Provence-Alpes-Côte d'Azur,2096,8240
2000,Guadeloupe,793,5638
2000,Martinique,930,6554
2000,Guyane,719,5053
2000,La Réunion,466,5576
2000,Mayotte,74,1768
2001,Auvergne-Rhône-Alpes,2088,9382
2001,Bourgogne-Franche-Comté,1866,8522
2001,Bretagne,1843,8048
2001,Centre-Val de Loire,2009,9026
2001,Corse,1754,6946
2001,Grand Est,1970,9289
2001,Hauts-de-France,1760,8327
2001,Île-de-France,3856,14096
2001,Normandie,1839,8529
2001,Nouvelle-Aquitaine,1897,8149
2001,Occitanie,1838,7833
2001,Pays de la Loire,1856,8518
2001,Provence-Alpes-Côte d'Azur,2220,8651
2001,Guadeloupe,840,5917
2001,Martinique,1014,6853
2001,Guyane,806,5088
2001,La Réunion,442,5874
2001,Mayotte,72,1781
2002,Auvergne-Rhône-Alpes,2083,9698
2002,Bourgogne-Franche-Comté,1845,8878
2002,Bretagne,1810,8177
2002,Centre-Val de Loire,1965,9368
2002,Corse,1681,7172
2002,Grand Est,1980,9703
2002,Hauts-de-France,1741,8649
2002,Île-de-France,3791,14638
2002,Normandie,1812,8852
2002,Nouvelle-Aquitaine,1853,8439
2002,Occitanie,1813,8070
2002,Pays de la Loire,1812,8703
2002,Provence-Alpes-Côte d'Azur,2199,8943
2002,Guadeloupe,779,6205
2002,Martinique,1025,7368
2002,Guyane,728,5168
2002,La Réunion,450,6125
2002,Mayotte,97,1916
2003,Auvergne-Rhône-Alpes,2150,9848
2003,Bourgogne-Franche-Comté,1915,9082
2003,Bretagne,1874,8283
2003,Centre-Val de Loire,2035,9579
2003,Corse,1761,7282
2003,Grand Est,2055,9877
2003,Hauts-de-France,1822,8859
2003,Île-de-France,3803,14913
2003,Normandie,1882,9091
2003,Nouvelle-Aquitaine,1930,8590
2003,Occitanie,1898,8174
2003,Pays de la Loire,1892,8834
2003,Provence-Alpes-Côte d'Azur,2298,9107
2003,Guadeloupe,855,6539
2003,Martinique,1088,7693
2003,Guyane,696,5073
2003,La Réunion,481,6402
2003,Mayotte,81,2131
2004,Auvergne-Rhône-Alpes,1734,10125
2004,Bourgogne-Franche-Comté,1623,9369
2004,Bretagne,1549,8513
2004,Centre-Val de Loire,1651,9873
2004,Corse,1418,7528
2004,Grand Est,1717,10186
2004,Hauts-de-France,1480,9143
2004,Île-de-France,2295,15365
2004,Normandie,1593,9386
2004,Nouvelle-Aquitaine,1581,8844
2004,Occitanie,1523,8372
2004,Pays de la Loire,1595,9085
2004,Provence-Alpes-Côte d'Azur,1630,9350
2004,Guadeloupe,497,6828
2004,Martinique,661,7931
2004,Guyane,442,5050
2004,La Réunion,572,6649
2004,Mayotte,99,2341
2005,Auvergne-Rhône-Alpes,2318,10484
2005,Bourgogne-Franche-Comté,2069,9612
2005,Bretagne,2065,9180
