Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auvergne-Rhône-Alpes,430178,437236,457554,468531,438335,491093,510558,516269,499705,498122,480182,344550,321744,322011,289684,247143,99825,98567,39260,10204,7000751,220802,223793,234650,238822,220945,246852,255923,257109,247136,246761,240849,172215,156134,148216,125310,99426,35738,29330,8807,1745,3410563,209376,213443,222904,229709,217390,244241,254635,259160,252569,251361,239333,172335,165610,173795,164374,147717,64087,69237,30453,8459,3590188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourgogne-Franche-Comté,158754,163232,178305,182921,160518,181260,187517,192906,195099,198031,187888,129871,134674,137647,125483,107858,44481,44853,18157,4875,2734330,81575,83524,90945,94057,82408,91608,94591,96354,96864,99886,95266,65100,65113,63767,54935,43989,16270,13877,4430,885,1335444,77179,79708,87360,88864,78110,89652,92926,96552,98235,98145,92622,64771,69561,73880,70548,63869,28211,30976,13727,3990,1398886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bretagne,173765,174105,188523,198158,182364,194842,197504,208413,209386,204397,192347,128348,150060,153250,139126,120983,48111,44894,15496,3540,2927612,89375,89269,96509,101303,94141,100374,100010,105408,105998,102924,95749,62212,70594,69145,58869,46643,16290,12464,3381,541,1421199,84390,84836,92014,96855,88223,94468,97494,103005,103388,101473,96598,66136,79466,84105,80257,74340,31821,32430,12115,2999,1506413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centre-Val-de-Loire,143720,148374,159483,160294,139400,163959,169294,174435,177104,177733,166749,113994,118936,122377,111087,97457,40877,42424,17711,4713,2450121,73792,75866,81257,81321,70686,82402,84765,86537,88175,89054,83889,56993,57627,57169,49776,40944,15442,13905,4678,930,1195208,69928,72508,78226,78973,68714,81557,84529,87898,88929,88679,82860,57001,61309,65208,61311,56513,25435,28519,13033,3783,1254913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corse,13597,14999,16043,15847,13259,16869,18973,20002,19529,19158,17472,14961,14386,14441,12676,10642,5374,4315,1532,464,264539,7007,7691,8337,8274,6863,8364,9128,9523,9811,9757,8863,7597,7225,6817,5696,4252,1925,1345,381,101,128957,6590,7308,7706,7573,6396,8505,9845,10479,9718,9401,8609,7364,7161,7624,6980,6390,3449,2970,1151,363,135582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandEst,328486,339441,366567,371908,344247,388187,398382,409337,403213,396709,349947,243239,251089,250515,218168,175794,68320,65584,25599,6139,5400871,168443,174189,187463,190042,175044,196068,201366,204892,200096,199223,178520,122368,121365,115054,92897,66070,23033,18357,5717,1091,2641298,160043,165252,179104,181866,169203,192119,197016,204445,203117,197486,171427,120871,129724,135461,125271,109724,45287,47227,19882,5048,2759573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hauts-de-France,392711,400837,442280,446755,393974,422204,415949,425908,421353,420081,380327,229599,245112,251158,222348,187287,66498,65501,24835,6085,5860802,201492,205257,226118,227821,199535,211038,207590,212256,208731,209708,191353,113911,114271,110485,91937,71210,21866,17840,5412,1095,2848926,191219,195580,216162,218934,194439,211166,208359,213652,212622,210373,188974,115688,130841,140673,130411,116077,44632,47661,19423,4990,3011876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,751992,720297,713923,709720,756816,934863,906717,878801,809754,792544,767694,521500,430985,391004,334783,282945,127847,120898,52163,14745,11019991,385002,368493,364001,357505,369431,459709,446135,430645,393161,385038,381852,264705,209328,176321,139903,107322,43772,35192,12004,2725,5332244,366990,351804,349922,352215,387385,475154,460582,448156,416593,407506,385842,256795,221657,214683,194880,175623,84075,85706,40159,12020,5687747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normandie,202101,206895,226659,229669,195704,219013,223971,232472,234773,232924,212584,138891,147658,150386,132997,113169,46995,43050,17219,4373,3211503,103238,105882,115792,116919,99320,109729,111917,115500,116896,116792,106749,68509,69508,68082,57486,45071,16173,12265,3841,689,1560358,98863,101013,110867,112750,96384,109284,112054,116972,117877,116132,105835,70382,78150,82304,75511,68098,30822,30785,13378,3684,1651145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle-Aquitaine,278162,288924,313949,329876,306893,339094,352290,374520,380839,387124,362322,256848,273613,290941,270042,241158,98722,100380,40688,10465,5296850,142505,148160,161035,169197,155609,170420,174907,185170,188126,191747,179716,124895,131362,136208,119819,100278,37217,31452,10032,1878,2559733,135657,140764,152914,160679,151284,168674,177383,189350,192713,195377,182606,131953,142251,154733,150223,140880,61505,68928,30656,8587,2737117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occitanie,269002,277818,292847,303184,297914,318155,334912,353782,345616,346154,330022,243312,246730,263414,242513,215715,89545,87290,33994,8407,4900326,137738,142485,150075,154661,149817,158755,165812,174741,169887,171603,162328,118344,118232,123653,108851,90740,34669,28868,9071,1643,2371973,131264,135333,142772,148523,148097,159400,169100,179041,175729,174551,167694,124968,128498,139761,133662,124975,54876,58422,24923,6764,2528353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaysdelaLoire,202986,203698,218996,232074,211161,221242,224260,233293,231882,230976,211670,140777,152060,153887,139235,120338,47212,48946,19117,5184,3248994,103709,104367,111522,118659,108531,111885,112978,116809,116024,115631,105543,68407,72015,70845,60802,49102,17161,14902,4510,773,1584175,99277,99331,107474,113415,102630,109357,111282,116484,115858,115345,106127,72370,80045,83042,78433,71236,30051,34044,14607,4411,1664819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provence-Alpes-Côted'Azur,259200,271557,285934,282025,257752,289745,315981,328095,318941,316653,308174,245146,226221,233806,213436,188469,86595,76968,29281,7529,4541508,132775,139524,146650,144077,129734,142549,153394,158380,154055,154184,149990,118963,108244,108149,93189,76713,32147,24328,7373,1485,2175903,126425,132033,139284,137948,128018,147196,162587,169715,164886,162469,158184,126183,117977,125657,120247,111756,54448,52640,21908,6044,2365605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francemétropolitaine,3604654,3647413,3861063,3930962,3698337,4180526,4256308,4348233,4247194,4220606,3967378,2751036,2713268,2734837,2451578,2108958,870402,843670,335052,86723,58858198,1847453,1868500,1974354,2002658,1862064,2089753,2118516,2153324,2094960,2092308,1980667,1364219,1301018,1253911,1059470,841760,311703,254125,79637,15581,28565981,1757201,1778913,1886709,1928304,1836273,2090773,2137792,2194909,2152234,2128298,1986711,1386817,1412250,1480926,1392108,1267198,558699,589545,255415,71142,30292217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,30941,32193,32466,30597,23844,29726,31290,32674,27761,23813,21128,16224,14608,12393,10306,8161,5072,3128,1254,466,388045,15768,16343,16476,15382,12047,13966,14260,15497,13127,10976,9969,7565,6784,5610,4503,3456,2032,1150,380,105,185396,15173,15850,15990,15215,11797,15760,17030,17177,14634,12837,11159,8659,7824,6783,5803,4705,3040,1978,874,361,202649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,26647,29955,32027,28181,21985,28041,31615,33101,28403,24241,20626,16683,16176,13924,11856,9066,5657,3425,1395,571,383575,13488,15027,16174,14333,10961,12916,14544,15386,13387,11087,9557,7859,7502,6312,5202,3790,2240,1142,433,135,181475,13159,14928,15853,13848,11024,15125,17071,17715,15016,13154,11069,8824,8674,7612,6654,5276,3417,2283,962,436,202100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyane,21490,19541,16823,14588,11004,12789,13392,12809,10782,8739,6592,4307,2940,2132,1558,1217,688,409,146,72,162018,10942,9915,8538,7299,5677,5856,6479,6344,5481,4578,3520,2345,1507,1102,767,518,284,150,56,35,81393,10548,9626,8285,7289,5327,6933,6913,6465,5301,4161,3072,1962,1433,1030,791,699,404,259,90,37,80625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaRéunion,65399,69171,68663,63866,54659,54749,62940,60399,48771,41641,31128,25754,21631,16226,12731,9590,4938,2671,1027,360,716314,33654,35184,34912,32012,26914,26454,30381,29715,23991,20528,15535,12631,10186,7419,5474,3778,1628,798,262,99,351555,31745,33987,33751,31854,27745,28295,32559,30684,24780,21113,15593,13123,11445,8807,7257,5812,3310,1873,765,261,364759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,144477,150860,149979,137232,111492,125305,139237,138983,115717,98434,79474,62968,55355,44675,36451,28034,16355,9633,3822,1469,1649952,73852,76469,76100,69026,55599,59192,65664,66942,55986,47169,38581,30400,25979,20443,15946,11542,6184,3240,1131,374,799819,70625,74391,73879,68206,55893,66113,73573,72041,59731,51265,40893,32568,29376,24232,20505,16492,10171,6393,2691,1095,850133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrancemétropolitaineetDOM,3749131,3798273,4011042,4068194,3809829,4305831,4395545,4487216,4362911,4319040,4046852,2814004,2768623,2779512,2488029,2136992,886757,853303,338874,88192,60508150,1921305,1944969,2050454,2071684,1917663,2148945,2184180,2220266,2150946,2139477,2019248,1394619,1326997,1274354,1075416,853302,317887,257365,80768,15955,29365800,1827826,1853304,1960588,1996510,1892166,2156886,2211365,2266950,2211965,2179563,2027604,1419385,1441626,1505158,1412613,1283690,568870,595938,258106,72237,31142350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
