Regions,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total,0à4ans,5à9ans,10à14ans,15à19ans,20à24ans,25à29ans,30à34ans,35à39ans,40à44ans,45à49ans,50à54ans,55à59ans,60à64ans,65à69ans,70à74ans,75à79ans,80à84ans,85à89ans,90à94ans,95ansetplus,Total
Auvergne-Rhône-Alpes,453538,501212,505743,499690,456381,453102,490591,516066,495730,551379,537694,507612,471566,454512,392692,266471,222979,162241,79075,24662,8042936,232018,256501,259223,256929,232334,225984,241124,253257,246419,275355,267393,248167,225542,214521,182864,119724,91465,56667,22197,4952,3912636,221520,244711,246520,242761,224047,227118,249467,262809,249311,276024,270301,259445,246024,239991,209828,146747,131514,105574,56878,19710,4130300
Bourgogne-Franche-Comté,139816,161624,169612,170524,143930,141166,153964,164880,161020,188245,188763,187677,186535,185884,157233,103802,91233,66707,32578,10387,2805580,71050,82973,87133,88687,74885,72099,76195,81591,79798,93888,93740,91577,89911,89175,74417,46559,37562,23320,9231,2148,1365939,68766,78651,82479,81837,69045,69067,77769,83289,81222,94357,95023,96100,96624,96709,82816,57243,53671,43387,23347,8239,1439641
Bretagne,166159,198220,209937,210804,179199,164274,181949,200174,199971,230469,222222,221891,218448,217198,182444,116891,109250,77733,36744,10877,3354854,84985,101682,107413,108700,93346,83701,90397,99790,99919,115786,110840,109094,105811,102622,83875,51097,43237,26154,9830,2159,1630438,81174,96538,102524,102104,85853,80573,91552,100384,100052,114683,111382,112797,112637,114576,98569,65794,66013,51579,26914,8718,1724416
Centre-Val-de-Loire,135049,155627,160863,157045,127601,128264,143417,151071,150452,175403,173093,169293,167027,166046,138957,91148,82966,60402,29804,9652,2573180,68574,79315,82813,80712,65785,64402,69584,73876,74744,87136,85539,82978,80436,79149,65050,40886,34358,21809,8878,2110,1248134,66475,76312,78050,76333,61816,63862,73833,77195,75708,88267,87554,86315,86591,86897,73907,50262,48608,38593,20926,7542,1325046
Corse,16349,18291,18022,16674,16042,17692,20552,22255,21405,24326,24141,22754,21570,22407,19170,15379,11299,7635,3433,1044,340440,8373,9501,9355,8898,8114,8830,9715,10620,10377,12109,11854,11158,10579,10882,9008,7165,4925,2931,1011,240,165645,7976,8790,8667,7776,7928,8862,10837,11635,11028,12217,12287,11596,10991,11525,10162,8214,6374,4704,2422,804,174795
GrandEst,288672,324733,332106,337094,315901,316507,336105,346213,330347,378311,382139,380558,364022,340525,262312,182777,160980,112094,50585,14238,5556219,148270,166418,169915,173973,163026,159992,166444,171031,164439,188197,190273,186110,174560,162948,123732,81657,64287,38307,13303,2729,2709611,140402,158315,162191,163121,152875,156515,169661,175182,165908,190114,191866,194448,189462,177577,138580,101120,96693,73787,37282,11509,2846608
Hauts-de-France,350348,397487,400862,400749,361003,345464,373188,382931,367642,401654,387027,381760,363570,343035,271634,160474,148308,106079,48270,13462,6004947,178978,203259,204489,206042,184405,172373,183252,189029,181608,200364,191383,186848,172512,160117,123529,68309,55709,33700,12423,2546,2910875,171370,194228,196373,194707,176598,173091,189936,193902,186034,201290,195644,194912,191058,182918,148105,92165,92599,72379,35847,10916,3094072
Île-de-France,805233,813100,784811,761092,758097,876115,894296,872520,833752,845648,794658,743699,634705,553294,455375,303146,246118,174413,84370,28102,12262544,410524,415062,400638,387857,373204,422821,426632,421166,412388,418687,387033,357679,299062,255800,209596,133382,99084,60293,24076,5883,5920867,394709,398038,384173,373235,384893,453294,467664,451354,421364,426961,407625,386020,335643,297494,245779,169764,147034,114120,60294,22219,6341677
Normandie,174098,202455,208415,210328,180491,173833,189350,199130,192261,221243,218417,221450,218100,212946,173317,109831,101583,72454,34782,10548,3325032,88470,103539,107480,108890,91872,86901,93442,98045,95099,109495,107845,107879,104426,100701,80229,47795,40003,24679,9498,2046,1608334,85628,98916,100935,101438,88619,86932,95908,101085,97162,111748,110572,113571,113674,112245,93088,62036,61580,47775,25284,8502,1716698
Nouvelle-Aquitaine,279607,328617,345223,352495,308825,296803,323656,356316,354638,412964,405985,402809,402980,409248,344976,230071,202807,151513,75722,25034,6010289,142162,168138,176849,182258,156765,148284,158314,174144,174834,203430,198782,194414,191595,193323,160640,102775,84118,54687,21658,5221,2892391,137445,160479,168374,170237,152060,148519,165342,182172,179804,209534,207203,208395,211385,215925,184336,127296,118689,96826,54064,19813,3117898
Occitanie,297294,336936,347403,351432,330494,315244,335446,359159,350886,399160,399658,388907,375651,378819,328634,221855,185941,139729,68228,22309,5933185,152412,172161,178126,180917,167975,158227,163660,175563,172709,196074,195669,187943,178807,179758,152925,100305,77674,51714,20443,4887,2867949,144882,164775,169277,170515,162519,157017,171786,183596,178177,203086,203989,200964,196844,199061,175709,121550,108267,88015,47785,17422,3065236
PaysdelaLoire,204459,242242,251196,246940,208923,197231,218052,238120,234021,258241,244900,240793,232377,230655,188533,122856,112626,80726,40218,13352,3806461,104389,124271,128706,127077,106991,99229,107954,118022,117054,129176,122023,117594,111702,109013,87632,54214,46277,28466,11658,2819,1854267,100070,117971,122490,119863,101932,98002,110098,120098,116967,129065,122877,123199,120675,121642,100901,68642,66349,52260,28560,10533,1952194
Provence-Alpes-Côted'Azur,268952,290441,292219,293078,260959,263694,291567,309144,300731,340289,346111,335356,317569,314420,285821,208663,165708,119345,57814,19220,5081101,137663,149077,149666,150945,133442,129653,141268,148436,146513,164730,165627,160349,148955,145986,130548,92739,68619,43981,16724,4100,2429021,131289,141364,142553,142133,127517,134041,150299,160708,154218,175559,180484,175007,168614,168434,155273,115924,97089,75364,41090,15120,2652080
Francemétropolitaine,3579574,3970985,4026412,4007945,3647846,3689389,3952133,4117979,3992856,4427332,4324808,4204559,3974120,3828989,3201098,2133364,1841798,1331071,641623,202887,65096768,1827868,2031897,2061806,2061885,1852144,1832496,1927981,2014570,1975901,2194427,2128001,2041790,1893898,1803995,1484045,946607,747318,466708,180930,41840,31516107,1751706,1939088,1964606,1946060,1795702,1856893,2024152,2103409,2016955,2232905,2196807,2162769,2080222,2024994,1717053,1186757,1094480,864363,460693,161047,33580661
Guadeloupe,18943,22981,26776,27019,18920,17705,17819,19731,22702,28891,30790,30571,26573,23355,18641,12866,9507,5861,3216,1372,384239,9454,11450,13646,13738,9607,8416,7430,7851,9423,12407,13539,14220,12329,10807,8469,5593,3808,2133,1025,381,175726,9489,11531,13130,13281,9313,9289,10389,11880,13279,16484,17251,16351,14244,12548,10172,7273,5699,3728,2191,991,208513
Martinique,16806,19574,22172,23593,16886,16909,17291,17988,19414,26497,31509,31494,27222,23163,18255,13411,11084,6553,3272,1415,364508,8562,9748,11307,11925,8672,7697,7370,7504,8195,11569,13883,14558,12679,10498,8511,5900,4531,2529,999,308,166945,8244,9826,10865,11668,8214,9212,9921,10484,11219,14928,17626,16936,14543,12665,9744,7511,6553,4024,2273,1107,197563
Guyane,30355,30423,29938,27452,19123,18883,19706,20076,17623,16554,13944,11790,9467,6506,4328,2567,1522,842,405,174,281678,15152,15273,15207,13531,9298,8696,8847,9471,8558,7997,6888,5889,4766,3209,2167,1136,669,336,116,54,137260,15203,15150,14731,13921,9825,10187,10859,10605,9065,8557,7056,5901,4701,3297,2161,1431,853,506,289,120,144418
LaRéunion,59504,64615,69551,67277,50440,50800,52356,54228,56013,60357,65419,57688,47451,37368,25772,18648,12929,6606,3105,1083,861210,29945,32364,35577,34377,25052,23571,23469,24350,25631,28752,31452,28167,22622,17781,11863,8156,4942,2235,879,208,411393,29559,32251,33974,32900,25388,27229,28887,29878,30382,31605,33967,29521,24829,19587,13909,10492,7987,4371,2226,875,449817
Mayotte,42371,39572,36047,26930,17386,17962,18451,17897,15029,12090,7859,6372,4427,3032,1713,1207,665,338,118,113,269579,21404,19469,17769,13021,7315,7232,7620,7946,7066,6371,4019,3303,2346,1618,828,576,328,146,57,48,128482,20967,20103,18278,13909,10071,10730,10831,9951,7963,5719,3840,3069,2081,1414,885,631,337,192,61,65,141097
DOM,167979,177165,184484,172271,122755,122259,125623,129920,130781,144389,149521,137915,115140,93424,68709,48699,35707,20200,10116,4157,2161214,84517,88304,93506,86592,59944,55612,54736,57122,58873,67096,69781,66137,54742,43913,31838,21361,14278,7379,3076,999,1019806,83462,88861,90978,85679,62811,66647,70887,72798,71908,77293,79740,71778,60398,49511,36871,27338,21429,12821,7040,3158,1141408
FrancemétropolitaineetDOM,3747553,4148150,4210896,4180216,3770601,3811648,4077756,4247899,4123637,4571721,4474329,4342474,4089260,3922413,3269807,2182063,1877505,1351271,651739,207044,67257982,1912385,2120201,2155312,2148477,1912088,1888108,1982717,2071692,2034774,2261523,2197782,2107927,1948640,1847908,1515883,967968,761596,474087,184006,42839,32535913,1835168,2027949,2055584,2031739,1858513,1923540,2095039,2176207,2088863,2310198,2276547,2234547,2140620,2074505,1753924,1214095,1115909,877184,467733,164205,34722069
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:Insee-Estimationsdepopulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
