year;region;total;men;women
2000;Auvergne-Rh�ne-Alpes;7000751;3410563;3590188
2000;Bourgogne-Franche-Comt�;2734330;1335444;1398886
2000;Bretagne;2927612;1421199;1506413
2000;Centre-Val-de-Loire;2450121;1195208;1254913
2000;Corse;264539;128957;135582
2000;Grand Est;5400871;2641298;2759573
2000;Hauts-de-France;5860802;2848926;3011876
2000;�le-de-France;11019991;5332244;5687747
2000;Normandie;3211503;1560358;1651145
2000;Nouvelle-Aquitaine;5296850;2559733;2737117
2000;Occitanie;4900326;2371973;2528353
2000;Pays de la Loire;3248994;1584175;1664819
2000;Provence-Alpes-C�ted'Azur;4541508;2175903;2365605
2000;France m�tropolitaine;58858198;28565981;30292217
2000;Guadeloupe;388045;185396;202649
2000;Martinique;383575;181475;202100
2000;Guyane;162018;81393;80625
2000;La R�union;716314;351555;364759
2000;DOM;1649952;799819;850133
2000;France m�tropolitaine et DOM;60508150;29365800;31142350
2001;Auvergne-Rh�ne-Alpes;7057821;3437566;3620255
2001;Bourgogne-Franche-Comt�;2742346;1338469;1403877
2001;Bretagne;2954324;1434145;1520179
2001;Centre-Val-de-Loire;2461778;1200228;1261550
2001;Corse;269273;131197;138076
2001;Grand Est;5416747;2648034;2768713
2001;Hauts-de-France;5869901;2850776;3019125
2001;�le-de-France;11102824;5370707;5732117
2001;Normandie;3221806;1563847;1657959
2001;Nouvelle-Aquitaine;5340843;2579814;2761029
2001;Occitanie;4962851;2400759;2562092
2001;Pays de la Loire;3281679;1599741;1681938
2001;Provence-Alpes-C�ted'Azur;4584379;2194523;2389856
2001;France m�tropolitaine;59266572;28749806;30516766
2001;Guadeloupe;390672;186164;204508
2001;Martinique;386542;182334;204208
2001;Guyane;168614;84542;84072
2001;La R�union;729010;357171;371839
2001;DOM;1674838;810211;864627
2001;France m�tropolitaine et DOM;60941410;29560017;31381393
2002;Auvergne-Rh�ne-Alpes;7115944;3464799;3651145
2002;Bourgogne-Franche-Comt�;2749892;1341369;1408523
2002;Bretagne;2981765;1447224;1534541
2002;Centre-Val-de-Loire;2472978;1204878;1268100
2002;Corse;274093;133448;140645
2002;Grand Est;5432715;2654928;2777787
2002;Hauts-de-France;5879893;2853417;3026476
2002;�le-de-France;11185563;5409116;5776447
2002;Normandie;3231900;1567057;1664843
2002;Nouvelle-Aquitaine;5386308;2600622;2785686
2002;Occitanie;5030703;2432195;2598508
2002;Pays de la Loire;3314649;1615448;1699201
2002;Provence-Alpes-C�ted'Azur;4629496;2214503;2414993
2002;France m�tropolitaine;59685899;28939004;30746895
2002;Guadeloupe;393024;186827;206197
2002;Martinique;389302;183149;206153
2002;Guyane;176638;88372;88266
2002;La R�union;740207;361981;378226
2002;DOM;1699171;820329;878842
2002;France m�tropolitaine et DOM;61385070;29759333;31625737
2003;Auvergne-Rh�ne-Alpes;7173919;3492239;3681680
2003;Bourgogne-Franche-Comt�;2756739;1343941;1412798
2003;Bretagne;3009249;1460571;1548678
2003;Centre-Val-de-Loire;2484288;1209734;1274554
2003;Corse;279027;135747;143280
2003;Grand Est;5446445;2660772;2785673
2003;Hauts-de-France;5887707;2854849;3032858
2003;�le-de-France;11270074;5448524;5821550
2003;Normandie;3240840;1569796;1671044
2003;Nouvelle-Aquitaine;5431745;2621715;2810030
2003;Occitanie;5099077;2463851;2635226
2003;Pays de la Loire;3347675;1631258;1716417
2003;Provence-Alpes-C�ted'Azur;4675056;2234814;2440242
2003;France m�tropolitaine;60101841;29127811;30974030
2003;Guadeloupe;394881;187151;207730
2003;Martinique;391676;183735;207941
2003;Guyane;184792;92273;92519
2003;La R�union;750840;366374;384466
2003;DOM;1722189;829533;892656
2003;France m�tropolitaine et DOM;61824030;29957344;31866686
2004;Auvergne-Rh�ne-Alpes;7231833;3519883;3711950
2004;Bourgogne-Franche-Comt�;2762934;1346391;1416543
2004;Bretagne;3037077;1474225;1562852
2004;Centre-Val-de-Loire;2494279;1214167;1280112
2004;Corse;283972;138054;145918
2004;Grand Est;5458878;2666070;2792808
2004;Hauts-de-France;5893957;2855930;3038027
2004;�le-de-France;11350290;5485818;5864472
2004;Normandie;3249220;1572491;1676729
2004;Nouvelle-Aquitaine;5476513;2642237;2834276
2004;Occitanie;5167552;2495776;2671776
2004;Pays de la Loire;3379784;1646839;1732945
2004;Provence-Alpes-C�ted'Azur;4719132;2254791;2464341
2004;France m�tropolitaine;60505421;29312672;31192749
2004;Guadeloupe;396992;187603;209389
2004;Martinique;393852;184303;209549
2004;Guyane;193167;96300;96867
2004;La R�union;761630;371055;390575
2004;DOM;1745641;839261;906380
2004;France m�tropolitaine et DOM;62251062;30151933;32099129
2005;Auvergne-Rh�ne-Alpes;7295515;3549211;3746304
2005;Bourgogne-Franche-Comt�;2771934;1349525;1422409
2005;Bretagne;3066585;1488490;1578095
2005;Centre-Val-de-Loire;2507246;1219529;1287717
2005;Corse;289092;140447;148645
2005;Grand Est;5475270;2672623;2802647
2005;Hauts-de-France;5904641;2858868;3045773
2005;�le-de-France;11442143;5527207;5914936
2005;Normandie;3259102;1575674;1683428
2005;Nouvelle-Aquitaine;5526990;2665474;2861516
2005;Occitanie;5240791;2529855;2710936
2005;Pays de la Loire;3415391;1663690;1751701
2005;Provence-Alpes-C�ted'Azur;4768564;2276768;2491796
2005;France m�tropolitaine;60963264;29517361;31445903
2005;Guadeloupe;399178;188158;211020
2005;Martinique;395982;184841;211141
2005;Guyane;199206;99223;99983
2005;La R�union;772907;376009;396898
2005;DOM;1767273;848231;919042
2005;France m�tropolitaine et DOM;62730537;30365592;32364945
