Regions;Salaire;Impots
Auvergne-Rhône-Alpes;73 550,9;16 036,8
Bourgogne-Franche-Comté;25 926,6;5 448,9
Bretagne;25 977,9;5 913,0
Centre-Val de Loire;24 687,6;5 198,7
Corse;2 157,1;533,0
Grand Est;55 685,6;11 513,3
Hauts-de-France;53 942,1;11 050,7
Ile-de-France;175 097,0;43 812,9
Normandie;30 543,0;6 344,6
Nouvelle-Aquitaine;48 656,5;10 940,2
Occitanie;43 571,9;10 157,5
Pays de la Loire;30 870,1;6 619,7
Provence-Alpes-Côte d'Azur;44 356,4;11 248,4
France métropolitaine;635 022,7;144 817,7
France métropolitaine hors Ile-de-France;459 925,7;101 004,8
DOM;12 341,0;1 345,2
Guadeloupe;2 718,2;367,3
Martinique;3 132,5;438,4
Guyane;990,8;133,4
La Réunion;5 101,6;391,5
Mayotte;397,9;14,6
