Date;Valeur;Polluant;Region;Mesure
2021-01-01;18.770679012345678;PM10;Grand Est;µg-m3
2021-01-01;-0.017132867132867137;SO2;Pays de la Loire;µg-m3
2021-01-01;5.6391498881431765;NO;Nouvelle-Aquitaine;µg-m3
2021-01-01;1.1092436974789917;SO2;Nouvelle-Aquitaine;µg-m3
2021-01-01;10.930208333333333;NO;Bretagne;µg-m3
2021-01-01;0.125;SO2;Occitanie;µg-m3
2021-01-01;3.5102661596958176;NO;Pays de la Loire;µg-m3
2021-01-01;2.4666666666666663;NO;Bourgogne-Franche-Comté;µg-m3
2021-01-01;1.192361111111111;SO2;Auvergne-Rhône-Alpes;µg-m3
2021-01-01;6.681127450980393;NO;Centre-Val de Loire;µg-m3
2021-01-01;2.1597222222222223;SO2;Hauts-de-France;µg-m3
2021-01-01;3.3406249999999997;NO;Guadeloupe;µg-m3
2021-01-01;2.04453125;SO2;Normandie;µg-m3
2021-01-01;4.0216666666666665;NO;La Réunion;µg-m3
2021-01-01;7.3166998011928435;NO;Occitanie;µg-m3
2021-01-01;0.9183098591549296;SO2;Île-de-France;µg-m3
2021-01-01;0.31805555555555554;NO;Guyane;µg-m3
2021-01-01;1.6463035019455254;SO2;Provence-Alpes-Côte d'Azur;µg-m3
2021-01-01;1.8744791666666665;NO;Corse;µg-m3
2021-01-01;1.59;SO2;Grand Est;µg-m3
2021-01-01;4.269565217391304;NO;Mayotte;µg-m3
2021-01-01;1.4604347826086954;C6H6;Pays de la Loire;µg-m3
2021-01-01;15.556197576887232;NO2;Grand Est;µg-m3
2021-01-01;12.135420743639921;NO2;Provence-Alpes-Côte d'Azur;µg-m3
2021-01-01;3.7722916666666664;C6H6;Auvergne-Rhône-Alpes;µg-m3
2021-01-01;32.124055666003976;NO2;Île-de-France;µg-m3
2021-01-01;0.6997916666666667;C6H6;Hauts-de-France;µg-m3
2021-01-01;26.933541666666667;NO2;Normandie;µg-m3
2021-01-01;2.9113043478260865;C6H6;Normandie;µg-m3
2021-01-01;2.677310924369748;NO;Martinique;µg-m3
2021-01-01;3.08870765370138;NO;Auvergne-Rhône-Alpes;µg-m3
2021-01-01;2.448571428571429;SO2;Bourgogne-Franche-Comté;µg-m3
2021-01-01;7.727906976744186;NO;Hauts-de-France;µg-m3
2021-01-01;13.596739130434782;PM10;Occitanie;µg-m3
2021-01-01;0.30695833333333333;CO;Pays de la Loire;mg-m3
2021-01-01;15.370595238095238;PM10;Nouvelle-Aquitaine;µg-m3
2021-01-01;0.2844583333333333;CO;Auvergne-Rhône-Alpes;mg-m3
2021-01-01;18.944166666666668;PM10;Bretagne;µg-m3
2021-01-01;0.24816666666666667;CO;Hauts-de-France;mg-m3
2021-01-01;26.764062499999998;PM10;Pays de la Loire;µg-m3
2021-01-01;11.382236842105264;PM10;Bourgogne-Franche-Comté;µg-m3
2021-01-01;0.5541527777777778;CO;Normandie;mg-m3
2021-01-01;28.098484848484848;PM10;Centre-Val de Loire;µg-m3
2021-01-01;0.5307916666666667;CO;Île-de-France;mg-m3
2021-01-01;15.515277777777776;PM10;Guadeloupe;µg-m3
2021-01-01;0.3303333333333333;CO;Provence-Alpes-Côte d'Azur;mg-m3
2021-01-01;16.324113475177302;PM10;La Réunion;µg-m3
2021-01-01;0.26745833333333335;CO;Grand Est;mg-m3
2021-01-01;16.77163120567376;PM10;Martinique;µg-m3
2021-01-01;9.477941176470589;PM10;Guyane;µg-m3
2021-01-01;0.2785714285714286;SO2;Mayotte;µg-m3
2021-01-01;7.573809523809524;PM10;Corse;µg-m3
2021-01-01;1.096875;SO2;Corse;µg-m3
2021-01-01;36.59166666666667;PM10;Mayotte;µg-m3
2021-01-01;-0.775;SO2;Guyane;µg-m3
2021-01-01;5.570643056849954;NO;Grand Est;µg-m3
2021-01-01;3.868884540117417;NO;Provence-Alpes-Côte d'Azur;µg-m3
2021-01-01;0.0;SO2;Martinique;µg-m3
2021-01-01;20.28886679920477;NO;Île-de-France;µg-m3
