date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,-9,-12.6,-4.8,0,0,298,9.6,,1028.3,
2018-01-02,-6.4,-9.3,-2.1,0,0,252,19.9,,1028.5,
2018-01-03,-4.4,-8.2,0.2,0,0,,13,,1024.6,
2018-01-04,-3.3,-6,-0.4,18,0,337,10.5,,,
2018-01-05,-8.5,-11.5,-4.8,0,180,280,9.1,,1009.9,
2018-01-06,-10.2,-13.2,-3.7,0,180,285,13.7,,1024.1,
2018-01-07,-9.5,-14.8,-1.5,0,150,259,13.4,,1033.3,
2018-01-08,-4,-8.2,-1,0,150,248,17.4,,,
2018-01-09,2.2,-1.5,7.9,0,130,276,9.4,,1021.7,
2018-01-10,2.1,-0.4,5.7,0,80,,7.5,,1031,
2018-01-11,6.2,2.4,10.2,0,30,,6.4,,1027.2,
2018-01-12,12.8,7.6,15.2,14,0,137,8.9,,,
2018-01-13,3.3,-6,13.5,1.5,0,299,8.7,,1010.7,
2018-01-14,-5.6,-8.7,-1.5,0,0,350,13.3,,1035.7,
2018-01-15,-3.9,-7.6,0.2,0,0,42,23.2,,1036.2,
2018-01-16,-1.9,-5.8,3,0,0,,8.6,,1031.2,
2018-01-17,0.3,-4.3,2.4,5.8,0,331,9.4,,,
2018-01-18,-4.3,-8.5,1.4,0,0,294,18.4,,1017.7,
2018-01-19,-1.8,-6.9,3.6,0,0,241,13.7,,1016.9,
2018-01-20,4.3,-0.3,12.5,0,0,232,19.8,,1013.2,
2018-01-21,6.1,0.8,12.5,0,0,,7.9,,1020.5,
2018-01-22,7.5,3.6,10.3,0.3,0,,9.4,,1020.6,
2018-01-23,8.5,3.6,16.4,6.4,0,,17.3,,1006.7,
2018-01-24,5.4,-3,6.4,0,0,281,24.5,,1014,
2018-01-25,-1.8,-5.2,1.9,0,0,323,22.3,,1028.5,
2018-01-26,-1.1,-6.9,4.1,0,0,,7.9,,1037.9,
2018-01-27,3.9,-2.4,13.6,0,0,206,15.8,,1029.9,
2018-01-28,10.4,5.3,11.9,5.1,0,287,10.8,,1023.8,
2018-01-29,5.3,2.9,7.4,0,0,42,23,,1020.9,
2018-01-30,0.3,-3.2,2.4,1.3,30,349,10.8,,,
2018-01-31,-4,-8.5,0.3,0,0,,17.3,,1022.4,
2018-02-01,3.1,-0.4,5.7,0.5,0,204,9.7,,1014.4,
2018-02-02,-1.6,-7.6,4,3.6,0,302,8.7,,,
2018-02-03,-4.1,-8.2,0.2,0,0,235,18.2,,1029.2,
2018-02-04,2.7,-1.5,7.4,20.6,0,155,10.4,,1018.6,
2018-02-05,1.2,-2.6,4.6,0,0,,10.2,,1015.2,
2018-02-06,-0.1,-3.2,2.4,0,0,,8.8,,1028.3,
2018-02-07,1.7,-1,7.4,23.9,0,23,19,,,
2018-02-08,-0.6,-3.2,2.4,0,0,295,11.2,,1026.6,
2018-02-09,-0.4,-2.6,2.9,0,0,,11.3,,1032.8,
2018-02-10,6.2,2.9,10.2,16.3,0,,5.5,,,
2018-02-11,10.2,5.7,15.7,30.2,0,,8.5,,,
2018-02-12,8,1.8,16.8,0,0,310,8.7,,1025.8,
2018-02-13,0,-3.5,3,0,0,,14,,1041,
2018-02-14,5.6,1.3,10.7,1.3,0,218,9.8,,1025.8,
2018-02-15,9.7,6.3,14,2.8,0,217,9.1,,1010.6,
2018-02-16,10.1,2.9,13.5,1.5,0,276,7.9,,,
2018-02-17,1.4,-1.5,4.6,12.2,0,36,11.2,,,
