"TIME","GEO","AIRPOL","Value"
"2008","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","27.4"
"2008","Union européenne - 28 pays (2013-2020)","Particules < 10µm","26.4"
"2008","Belgique","Particules < 10µm","26.1"
"2008","Bulgarie","Particules < 10µm","60.4"
"2008","Tchéquie","Particules < 10µm","25.9"
"2008","Danemark","Particules < 10µm","21.4"
"2008","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","21.1"
"2008","Estonie","Particules < 10µm","11.1"
"2008","Irlande","Particules < 10µm","14.1"
"2008","Grèce","Particules < 10µm","41.6"
"2008","Espagne","Particules < 10µm","26.9"
"2008","France","Particules < 10µm","24.1"
"2008","Croatie","Particules < 10µm",":"
"2008","Italie","Particules < 10µm","35.4"
"2008","Chypre","Particules < 10µm",":"
"2008","Lettonie","Particules < 10µm","23.8"
"2008","Lituanie","Particules < 10µm","18.5"
"2008","Luxembourg","Particules < 10µm","14.4"
"2008","Hongrie","Particules < 10µm","29.3"
"2008","Malte","Particules < 10µm",":"
"2008","Pays-Bas","Particules < 10µm","25.3"
"2008","Autriche","Particules < 10µm","22.6"
"2008","Pologne","Particules < 10µm","31.7"
"2008","Portugal","Particules < 10µm","24.8"
"2008","Roumanie","Particules < 10µm","40.1"
"2008","Slovénie","Particules < 10µm","29.1"
"2008","Slovaquie","Particules < 10µm","27.1"
"2008","Finlande","Particules < 10µm","13.4"
"2008","Suède","Particules < 10µm","17.4"
"2008","Islande","Particules < 10µm",":"
"2008","Norvège","Particules < 10µm","18.9"
"2008","Suisse","Particules < 10µm","20.1"
"2009","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","27.4"
"2009","Union européenne - 28 pays (2013-2020)","Particules < 10µm","26.4"
"2009","Belgique","Particules < 10µm","29"
"2009","Bulgarie","Particules < 10µm","54"
"2009","Tchéquie","Particules < 10µm","26.8"
"2009","Danemark","Particules < 10µm","17"
"2009","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","22.3"
"2009","Estonie","Particules < 10µm","13.5"
"2009","Irlande","Particules < 10µm","13.3"
"2009","Grèce","Particules < 10µm","34.2"
"2009","Espagne","Particules < 10µm","25.7"
"2009","France","Particules < 10µm","26.6"
"2009","Croatie","Particules < 10µm",":"
"2009","Italie","Particules < 10µm","33.1"
"2009","Chypre","Particules < 10µm",":"
"2009","Lettonie","Particules < 10µm","20.3"
"2009","Lituanie","Particules < 10µm","23"
"2009","Luxembourg","Particules < 10µm","14.2"
"2009","Hongrie","Particules < 10µm","29.7"
"2009","Malte","Particules < 10µm",":"
"2009","Pays-Bas","Particules < 10µm","25.3"
"2009","Autriche","Particules < 10µm","23.9"
"2009","Pologne","Particules < 10µm","35"
"2009","Portugal","Particules < 10µm","26.3"
"2009","Roumanie","Particules < 10µm","29.9"
"2009","Slovénie","Particules < 10µm","27.5"
"2009","Slovaquie","Particules < 10µm","24.8"
"2009","Finlande","Particules < 10µm","13.1"
"2009","Suède","Particules < 10µm","14.5"
"2009","Islande","Particules < 10µm","8.6"
"2009","Norvège","Particules < 10µm","19.1"
"2009","Suisse","Particules < 10µm","20.5"
"2010","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","27.2"
"2010","Union européenne - 28 pays (2013-2020)","Particules < 10µm","26.3"
"2010","Belgique","Particules < 10µm","27"
"2010","Bulgarie","Particules < 10µm","48.4"
"2010","Tchéquie","Particules < 10µm","29.9"
"2010","Danemark","Particules < 10µm","12.1"
"2010","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","22.9"
"2010","Estonie","Particules < 10µm","15"
"2010","Irlande","Particules < 10µm","15.6"
"2010","Grèce","Particules < 10µm","33.4"
"2010","Espagne","Particules < 10µm","23.9"
"2010","France","Particules < 10µm","25"
"2010","Croatie","Particules < 10µm",":"
"2010","Italie","Particules < 10µm","30.5"
"2010","Chypre","Particules < 10µm","48"
"2010","Lettonie","Particules < 10µm","24.4"
"2010","Lituanie","Particules < 10µm","26.9"
"2010","Luxembourg","Particules < 10µm","17"
"2010","Hongrie","Particules < 10µm","31.3"
"2010","Malte","Particules < 10µm",":"
"2010","Pays-Bas","Particules < 10µm","24.7"
"2010","Autriche","Particules < 10µm","26.9"
"2010","Pologne","Particules < 10µm","39.7"
"2010","Portugal","Particules < 10µm","25.3"
"2010","Roumanie","Particules < 10µm","34.9"
"2010","Slovénie","Particules < 10µm","28.2"
"2010","Slovaquie","Particules < 10µm","29.6"
"2010","Finlande","Particules < 10µm","13.4"
"2010","Suède","Particules < 10µm","14"
"2010","Islande","Particules < 10µm","10.8"
"2010","Norvège","Particules < 10µm","19.7"
"2010","Suisse","Particules < 10µm","20.3"
"2011","Union européenne - 27 pays (à partir de 2020)","Particules < 10µm","28"
"2011","Union européenne - 28 pays (2013-2020)","Particules < 10µm","27.2"
"2011","Belgique","Particules < 10µm","26.7"
"2011","Bulgarie","Particules < 10µm","57.3"
"2011","Tchéquie","Particules < 10µm","29.2"
"2011","Danemark","Particules < 10µm",":"
"2011","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Particules < 10µm","22.8"
"2011","Estonie","Particules < 10µm","12.6"
"2011","Irlande","Particules < 10µm","15.7"
"2011","Grèce","Particules < 10µm","26.4"
"2011","Espagne","Particules < 10µm","23.2"
"2011","France","Particules < 10µm","25.4"
"2011","Croatie","Particules < 10µm",":"
"2011","Italie","Particules < 10µm","35.5"
"2011","Chypre","Particules < 10µm","35.7"
