"TIME","GEO","SEX","AGE","UNIT","Value"
"2006","Andorre","Total","Moins de 1 an","Année",":"
"2006","Albanie","Total","Moins de 1 an","Année",":"
"2006","Arménie","Total","Moins de 1 an","Année","72.9"
"2006","Autriche","Total","Moins de 1 an","Année","80.1"
"2006","Azerbaïdjan","Total","Moins de 1 an","Année","72.8"
"2006","Belgique","Total","Moins de 1 an","Année","79.5"
"2006","Bulgarie","Total","Moins de 1 an","Année","72.7"
"2006","Biélorussie","Total","Moins de 1 an","Année",":"
"2006","Suisse","Total","Moins de 1 an","Année","81.8"
"2006","Chypre","Total","Moins de 1 an","Année","80.1"
"2006","Tchéquie","Total","Moins de 1 an","Année","76.7"
"2006","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Moins de 1 an","Année","79.9"
"2006","Allemagne incluant l'ancienne RDA","Total","Moins de 1 an","Année","79.9"
"2006","Danemark","Total","Moins de 1 an","Année","78.4"
"2006","Zone euro - 18 pays (2014)","Total","Moins de 1 an","Année","80.3"
"2006","Zone euro - 19 pays (à partir de 2015)","Total","Moins de 1 an","Année","80.1"
"2006","Estonie","Total","Moins de 1 an","Année","73.2"
"2006","Espace économique européen (EEE) (UE27 - 2007-2013 et IS, LI, NO)","Total","Moins de 1 an","Année","79.0"
"2006","Espace économique européen (EEE) (UE28 - 2013-2020 et IS, LI, NO)","Total","Moins de 1 an","Année","79.0"
"2006","Association Européenne de Libre Echange (AELE)","Total","Moins de 1 an","Année","81.4"
"2006","Grèce","Total","Moins de 1 an","Année","79.9"
"2006","Espagne","Total","Moins de 1 an","Année","81.1"
"2006","Union européenne - 27 pays (2007-2013)","Total","Moins de 1 an","Année","79.0"
"2006","Union européenne - 27 pays (à partir de 2020)","Total","Moins de 1 an","Année","78.9"
"2006","Union européenne - 28 pays (2013-2020)","Total","Moins de 1 an","Année","78.9"
"2006","Finlande","Total","Moins de 1 an","Année","79.5"
"2006","France","Total","Moins de 1 an","Année","80.9"
"2006","France (métropolitaine)","Total","Moins de 1 an","Année","81.0"
"2006","Géorgie","Total","Moins de 1 an","Année","74.2"
"2006","Croatie","Total","Moins de 1 an","Année","75.9"
"2006","Hongrie","Total","Moins de 1 an","Année","73.5"
"2006","Irlande","Total","Moins de 1 an","Année","79.3"
"2006","Islande","Total","Moins de 1 an","Année","81.2"
"2006","Italie","Total","Moins de 1 an","Année","81.4"
"2006","Liechtenstein","Total","Moins de 1 an","Année","81.0"
"2006","Lituanie","Total","Moins de 1 an","Année","71.0"
"2006","Luxembourg","Total","Moins de 1 an","Année","79.4"
"2006","Lettonie","Total","Moins de 1 an","Année","70.6"
"2006","Moldavie","Total","Moins de 1 an","Année","68.5"
"2006","Monténégro","Total","Moins de 1 an","Année","73.9"
"2006","Macédoine du Nord","Total","Moins de 1 an","Année","73.9"
"2006","Malte","Total","Moins de 1 an","Année","79.5"
"2006","Pays-Bas","Total","Moins de 1 an","Année","80.0"
"2006","Norvège","Total","Moins de 1 an","Année","80.6"
"2006","Pologne","Total","Moins de 1 an","Année","75.3"
"2006","Portugal","Total","Moins de 1 an","Année","79.0"
"2006","Roumanie","Total","Moins de 1 an","Année","72.5"
"2006","Serbie","Total","Moins de 1 an","Année","73.4"
"2006","Russie","Total","Moins de 1 an","Année","66.6"
"2006","Suède","Total","Moins de 1 an","Année","81.0"
