"TIME","GEO","HHTYP","INCGRP","UNIT","Value"
"2008","Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020)","Total","Total","Pourcentage",":"
"2008","Union européenne - 27 pays (à partir de 2020)","Total","Total","Pourcentage",":"
"2008","Union européenne - 28 pays (2013-2020)","Total","Total","Pourcentage",":"
"2008","Union européenne - 27 pays (2007-2013)","Total","Total","Pourcentage","16.1"
"2008","Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Total","Pourcentage",":"
"2008","Zone euro - 19 pays (à partir de 2015)","Total","Total","Pourcentage","17.6"
"2008","Zone euro - 18 pays (2014)","Total","Total","Pourcentage","17.6"
"2008","Belgique","Total","Total","Pourcentage","16.1"
"2008","Bulgarie","Total","Total","Pourcentage","20.2"
"2008","Tchéquie","Total","Total","Pourcentage","17.0"
"2008","Danemark","Total","Total","Pourcentage","7.7"
"2008","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Pourcentage","23.1"
"2008","Estonie","Total","Total","Pourcentage","22.3"
"2008","Irlande","Total","Total","Pourcentage","7.7"
"2008","Grèce","Total","Total","Pourcentage","20.3"
"2008","Espagne","Total","Total","Pourcentage","13.0"
"2008","France","Total","Total","Pourcentage","14.3"
"2008","Croatie","Total","Total","Pourcentage",":"
"2008","Italie","Total","Total","Pourcentage","19.6"
"2008","Chypre","Total","Total","Pourcentage","20.0"
"2008","Lettonie","Total","Total","Pourcentage","34.8"
"2008","Lituanie","Total","Total","Pourcentage","12.8"
"2008","Luxembourg","Total","Total","Pourcentage","16.3"
"2008","Hongrie","Total","Total","Pourcentage","11.0"
"2008","Malte","Total","Total","Pourcentage","35.8"
"2008","Pays-Bas","Total","Total","Pourcentage","13.0"
"2008","Autriche","Total","Total","Pourcentage","8.3"
"2008","Pologne","Total","Total","Pourcentage","11.5"
"2008","Portugal","Total","Total","Pourcentage","16.8"
"2008","Roumanie","Total","Total","Pourcentage","17.0"
"2008","Slovénie","Total","Total","Pourcentage","20.1"
"2008","Slovaquie","Total","Total","Pourcentage","19.3"
"2008","Finlande","Total","Total","Pourcentage","12.7"
"2008","Suède","Total","Total","Pourcentage","9.6"
"2008","Islande","Total","Total","Pourcentage","9.8"
"2008","Norvège","Total","Total","Pourcentage","7.9"
"2008","Suisse","Total","Total","Pourcentage","12.8"
"2008","Royaume-Uni","Total","Total","Pourcentage","12.4"
"2008","Macédoine du Nord","Total","Total","Pourcentage",":"
"2008","Serbie","Total","Total","Pourcentage",":"
"2008","Turquie","Total","Total","Pourcentage","23.5"
"2009","Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020)","Total","Total","Pourcentage",":"
"2009","Union européenne - 27 pays (à partir de 2020)","Total","Total","Pourcentage",":"
"2009","Union européenne - 28 pays (2013-2020)","Total","Total","Pourcentage",":"
"2009","Union européenne - 27 pays (2007-2013)","Total","Total","Pourcentage","16.5"
"2009","Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Total","Pourcentage",":"
"2009","Zone euro - 19 pays (à partir de 2015)","Total","Total","Pourcentage","17.7"
"2009","Zone euro - 18 pays (2014)","Total","Total","Pourcentage","17.7"
"2009","Belgique","Total","Total","Pourcentage","14.6"
"2009","Bulgarie","Total","Total","Pourcentage","20.6"
"2009","Tchéquie","Total","Total","Pourcentage","20.1"
"2009","Danemark","Total","Total","Pourcentage","7.7"
"2009","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Pourcentage","22.8"
"2009","Estonie","Total","Total","Pourcentage","12.3"
"2009","Irlande","Total","Total","Pourcentage","5.5"
"2009","Grèce","Total","Total","Pourcentage","22.9"
"2009","Espagne","Total","Total","Pourcentage","13.6"
"2009","France","Total","Total","Pourcentage","12.9"
"2009","Croatie","Total","Total","Pourcentage",":"
"2009","Italie","Total","Total","Pourcentage","20.7"
"2009","Chypre","Total","Total","Pourcentage","21.1"
"2009","Lettonie","Total","Total","Pourcentage","30.3"
"2009","Lituanie","Total","Total","Pourcentage","13.7"
"2009","Luxembourg","Total","Total","Pourcentage","16.8"
"2009","Hongrie","Total","Total","Pourcentage","11.2"
"2009","Malte","Total","Total","Pourcentage","38.4"
"2009","Pays-Bas","Total","Total","Pourcentage","14.8"
"2009","Autriche","Total","Total","Pourcentage","9.9"
"2009","Pologne","Total","Total","Pourcentage","10.9"
"2009","Portugal","Total","Total","Pourcentage","18.7"
"2009","Roumanie","Total","Total","Pourcentage","24.9"
"2009","Slovénie","Total","Total","Pourcentage","20.6"
"2009","Slovaquie","Total","Total","Pourcentage","23.8"
"2009","Finlande","Total","Total","Pourcentage","9.7"
"2009","Suède","Total","Total","Pourcentage","9.1"
"2009","Islande","Total","Total","Pourcentage","10.5"
"2009","Norvège","Total","Total","Pourcentage","7.3"
"2009","Suisse","Total","Total","Pourcentage","10.9"
"2009","Royaume-Uni","Total","Total","Pourcentage","11.9"
"2009","Macédoine du Nord","Total","Total","Pourcentage",":"
"2009","Serbie","Total","Total","Pourcentage",":"
"2009","Turquie","Total","Total","Pourcentage","30.6"
"2010","Union européenne (UE6-1958, UE9-1973, UE10-1981, UE12-1986, UE15-1995, UE25-2004, UE27-2007, UE28-2013, UE27-2020)","Total","Total","Pourcentage",":"
"2010","Union européenne - 27 pays (à partir de 2020)","Total","Total","Pourcentage","15.2"
"2010","Union européenne - 28 pays (2013-2020)","Total","Total","Pourcentage","14.8"
"2010","Union européenne - 27 pays (2007-2013)","Total","Total","Pourcentage","14.8"
"2010","Zone euro (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","Total","Total","Pourcentage",":"
"2010","Zone euro - 19 pays (à partir de 2015)","Total","Total","Pourcentage","16.0"
"2010","Zone euro - 18 pays (2014)","Total","Total","Pourcentage","16.0"
"2010","Belgique","Total","Total","Pourcentage","13.6"
"2010","Bulgarie","Total","Total","Pourcentage","16.2"
"2010","Tchéquie","Total","Total","Pourcentage","18.5"
"2010","Danemark","Total","Total","Pourcentage","8.1"
"2010","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Pourcentage","21.1"
"2010","Estonie","Total","Total","Pourcentage","11.3"
"2010","Irlande","Total","Total","Pourcentage","5.2"
"2010","Grèce","Total","Total","Pourcentage","25.0"
