DATAFLOW,LAST UPDATE,freq,unit,src_nfr,airpol,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1990,311.4,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1991,307.7,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1992,274.7,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1993,242.2,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1994,215.9,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1995,190.8,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1996,166.3,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1997,142.3,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1998,132.6,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,1999,112.4,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2000,100.0,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2001,92.3,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2002,89.3,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2003,84.1,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2004,78.1,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2005,72.0,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2006,58.8,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2007,53.6,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2008,46.7,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2009,41.7,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2010,38.4,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2011,34.6,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2012,31.3,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2013,29.1,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2014,26.9,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2015,25.5,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2016,22.2,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2017,20.6,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2018,19.6,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,AT,2019,18.4,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1990,204.1,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1991,203.4,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1992,211.0,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1993,196.5,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1994,183.9,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1995,172.9,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1996,160.7,
ESTAT:T2020_RK300(1.0),04/10/21 11:00:00,A,PC,NFR1A_TRA,NMVOC,BE,1997,141.0,
