DATAFLOW,LAST UPDATE,freq,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2000,168.0,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2001,165.6,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2002,164.4,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2003,163.8,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2004,161.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2005,162.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2006,163.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2007,162.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2008,158.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2009,150.2,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2010,144.0,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2011,138.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2012,135.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2013,131.6,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2014,128.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2015,123.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2016,120.4,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2017,120.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2018,123.0,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2019,125.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,AT,2020,113.0,p
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2000,166.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2001,163.7,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2002,161.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2003,158.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2004,156.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2005,155.2,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2006,153.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2007,152.8,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2008,147.8,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2009,142.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2010,133.4,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2011,127.2,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2012,128.0,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2013,124.0,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2014,121.3,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2015,117.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2016,115.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2017,115.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2018,119.4,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2019,121.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BE,2020,107.7,p
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2007,171.6,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2008,171.5,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2009,172.1,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2010,158.9,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2011,151.4,
ESTAT:SDG_12_30(1.0),18/01/22 23:00:00,A,BG,2012,149.2,
