,Year,Area,Variable,Generation (TWh),Share of production (%),Kind of energy
1,2000,Austria,Coal,5.72699999999999,9.56852693455122,Fossil
2,2000,Austria,Hard Coal,4.435,7.40988597079355,Fossil
3,2000,Austria,Lignite,1.292,2.15864096375767,Fossil
4,2000,Austria,Gas,7.851,13.1172524817813,Fossil
5,2000,Austria,Other fossil,2.840859,4.74643545639292,Fossil
6,2000,Austria,Nuclear,0.0,0.0,Fossil
8,2000,Austria,Hydro,41.835352,69.8974493501713,Renewable
10,2000,Austria,Wind,0.066754,0.111530896977306,Renewable
11,2000,Austria,Solar,0.003229,0.00539493163465442,Renewable
12,2000,Austria,Bioenergy,1.528279,2.55340994849118,Renewable
13,2000,Austria,Other renewables,0.0,0.0,Renewable
18,2000,Belgium,Coal,12.916,15.6041221171154,Fossil
19,2000,Belgium,Hard Coal,12.916,15.6041221171154,Fossil
20,2000,Belgium,Lignite,0.0,0.0,Fossil
21,2000,Belgium,Gas,15.977,19.302187911517,Fossil
22,2000,Belgium,Other fossil,4.679,5.6528094910176,Fossil
23,2000,Belgium,Nuclear,48.157,58.1795996278979,Fossil
25,2000,Belgium,Hydro,0.459999999999999,0.555736774068838,Renewable
27,2000,Belgium,Wind,0.016,0.0193299747502204,Renewable
28,2000,Belgium,Solar,0.0,0.0,Renewable
29,2000,Belgium,Bioenergy,0.568,0.686214103632827,Renewable
30,2000,Belgium,Other renewables,0.0,0.0,Renewable
35,2000,Bulgaria,Coal,16.941,41.7224903950349,Fossil
36,2000,Bulgaria,Hard Coal,2.972,7.31947591370308,Fossil
37,2000,Bulgaria,Lignite,13.969,34.4030144813318,Fossil
38,2000,Bulgaria,Gas,1.912,4.70889567530292,Fossil
39,2000,Bulgaria,Other fossil,0.942,2.31996847601221,Fossil
40,2000,Bulgaria,Nuclear,18.178,44.768988277017,Fossil
42,2000,Bulgaria,Hydro,2.631,6.47965717663284,Renewable
44,2000,Bulgaria,Wind,0.0,0.0,Renewable
45,2000,Bulgaria,Solar,0.0,0.0,Renewable
46,2000,Bulgaria,Bioenergy,0.0,0.0,Renewable
47,2000,Bulgaria,Other renewables,0.0,0.0,Renewable
52,2000,Croatia,Coal,1.551,13.7708760621154,Fossil
53,2000,Croatia,Hard Coal,1.546,13.7264825222633,Fossil
54,2000,Croatia,Lignite,0.005,0.0443935398520807,Fossil
55,2000,Croatia,Gas,1.571,13.9484502215237,Fossil
56,2000,Croatia,Other fossil,1.687,14.978380346092,Fossil
57,2000,Croatia,Nuclear,0.0,0.0,Fossil
59,2000,Croatia,Hydro,6.4529,57.2934146622983,Renewable
61,2000,Croatia,Wind,0.0,0.0,Renewable
62,2000,Croatia,Solar,0.0,0.0,Renewable
63,2000,Croatia,Bioenergy,0.001,0.00887870797041614,Renewable
64,2000,Croatia,Other renewables,0.0,0.0,Renewable
69,2000,Cyprus,Coal,0.0,0.0,Fossil
70,2000,Cyprus,Hard Coal,0.0,0.0,Fossil
71,2000,Cyprus,Lignite,0.0,0.0,Fossil
72,2000,Cyprus,Gas,0.0,0.0,Fossil
73,2000,Cyprus,Other fossil,3.37,100.0,Fossil
74,2000,Cyprus,Nuclear,0.0,0.0,Fossil
76,2000,Cyprus,Hydro,0.0,0.0,Renewable
78,2000,Cyprus,Wind,0.0,0.0,Renewable
79,2000,Cyprus,Solar,0.0,0.0,Renewable
80,2000,Cyprus,Bioenergy,0.0,0.0,Renewable
81,2000,Cyprus,Other renewables,0.0,0.0,Renewable
86,2000,Czech Republic,Coal,52.752,72.3522964324277,Fossil
87,2000,Czech Republic,Hard Coal,5.515,7.56412865530859,Fossil
88,2000,Czech Republic,Lignite,47.237,64.7881677771191,Fossil
89,2000,Czech Republic,Gas,1.691,2.31930037282444,Fossil
90,2000,Czech Republic,Other fossil,2.593193,3.55670815594663,Fossil
91,2000,Czech Republic,Nuclear,13.59,18.6394394244141,Fossil
93,2000,Czech Republic,Hydro,1.758,2.41119459220897,Renewable
95,2000,Czech Republic,Wind,0.000885,0.0012138266291837,Renewable
96,2000,Czech Republic,Solar,5e-05,6.8577775660096e-05,Renewable
97,2000,Czech Republic,Bioenergy,0.52479,0.719778617773236,Renewable
98,2000,Czech Republic,Other renewables,0.0,0.0,Renewable
103,2000,Denmark,Coal,16.673,46.2958849336369,Fossil
104,2000,Denmark,Hard Coal,16.673,46.2958849336369,Fossil
105,2000,Denmark,Lignite,0.0,0.0,Fossil
106,2000,Denmark,Gas,8.774,24.3627478202921,Fossil
107,2000,Denmark,Other fossil,4.995,13.8696062642305,Fossil
108,2000,Denmark,Nuclear,0.0,0.0,Fossil
110,2000,Denmark,Hydro,0.03,0.0833009385239073,Renewable
112,2000,Denmark,Wind,4.241,11.7759760093297,Renewable
113,2000,Denmark,Solar,0.001,0.00277669795079691,Renewable
114,2000,Denmark,Bioenergy,1.3,3.60970733603598,Renewable
115,2000,Denmark,Other renewables,0.0,0.0,Renewable
120,2000,Estonia,Coal,0.0,0.0,Fossil
121,2000,Estonia,Hard Coal,0.0,0.0,Fossil
122,2000,Estonia,Lignite,0.0,0.0,Fossil
123,2000,Estonia,Gas,0.596,7.00085161366105,Fossil
124,2000,Estonia,Other fossil,7.899,92.7847766716589,Fossil
125,2000,Estonia,Nuclear,0.0,0.0,Fossil
127,2000,Estonia,Hydro,0.005,0.0587319766246733,Renewable
129,2000,Estonia,Wind,0.0,0.0,Renewable
130,2000,Estonia,Solar,0.0,0.0,Renewable
131,2000,Estonia,Bioenergy,0.01325,0.155639738055384,Renewable
132,2000,Estonia,Other renewables,0.0,0.0,Renewable
137,2000,EU-27,Coal,795.053,30.2391539309489,Fossil
138,2000,EU-27,Hard Coal,455.272,17.3158771659888,Fossil
139,2000,EU-27,Lignite,339.781,12.92327676496,Fossil
140,2000,EU-27,Gas,328.208561,12.4831290461569,Fossil
141,2000,EU-27,Other fossil,235.088813999999,8.94139992426947,Fossil
142,2000,EU-27,Nuclear,859.924,32.7064663675469,Fossil
144,2000,EU-27,Hydro,354.934401,13.4996232794897,Renewable
146,2000,EU-27,Wind,21.423989,0.814842911335415,Renewable
147,2000,EU-27,Solar,0.09322,0.00354554215812412,Renewable
148,2000,EU-27,Bioenergy,29.198788,1.1105506738911,Renewable
149,2000,EU-27,Other renewables,5.292307,0.20128832420334,Renewable
154,2000,EU27+1,Coal,915.002999999999,30.4636240750774,Fossil
155,2000,EU27+1,Hard Coal,575.222,19.1511358626301,Fossil
156,2000,EU27+1,Lignite,339.781,11.3124882124472,Fossil
157,2000,EU27+1,Gas,476.285561,15.8571985913613,Fossil
158,2000,EU27+1,Other fossil,246.403813999999,8.2036377589596,Fossil
159,2000,EU27+1,Nuclear,944.987,31.4618954515288,Fossil
161,2000,EU27+1,Hydro,360.020401,11.9863280835392,Renewable
163,2000,EU27+1,Wind,22.370989,0.744807830229729,Renewable
164,2000,EU27+1,Solar,0.09422,0.0031369106553244,Renewable
165,2000,EU27+1,Bioenergy,33.134788,1.1031720392604,Renewable
166,2000,EU27+1,Other renewables,5.292307,0.176199259388112,Renewable
171,2000,Finland,Coal,8.487,12.1616562252726,Fossil
172,2000,Finland,Hard Coal,8.487,12.1616562252726,Fossil
173,2000,Finland,Lignite,0.0,0.0,Fossil
174,2000,Finland,Gas,10.131,14.5174666216846,Fossil
175,2000,Finland,Other fossil,5.309302,7.60809540711119,Fossil
176,2000,Finland,Nuclear,22.479,32.2118381392605,Fossil
178,2000,Finland,Hydro,14.66,21.0074090093669,Renewable
180,2000,Finland,Wind,0.078,0.111772026107136,Renewable
181,2000,Finland,Solar,0.001576,0.00225836811724163,Renewable
182,2000,Finland,Bioenergy,8.639025,12.3795042030795,Renewable
183,2000,Finland,Other renewables,0.0,0.0,Renewable
188,2000,France,Coal,27.0039999999999,5.04573242484314,Fossil
189,2000,France,Hard Coal,26.595,4.96931024436022,Fossil
190,2000,France,Lignite,0.409,0.0764221804829227,Fossil
191,2000,France,Gas,11.514,2.15140583393734,Fossil
192,2000,France,Other fossil,12.102,2.2612743965876,Fossil
193,2000,France,Nuclear,415.162,77.5735581751862,Fossil
195,2000,France,Hydro,66.363249,12.4000591503939,Renewable
197,2000,France,Wind,0.04816,0.0089987584646884,Renewable
198,2000,France,Solar,0.005223,0.000975924324357715,Renewable
199,2000,France,Bioenergy,2.479,0.463204365323143,Renewable
200,2000,France,Other renewables,0.507307,0.0947909709394867,Renewable
205,2000,Germany,Coal,291.4,50.9494002867433,Fossil
206,2000,Germany,Hard Coal,143.1,25.0201070042312,Fossil
207,2000,Germany,Lignite,148.3,25.9292932825121,Fossil
208,2000,Germany,Gas,49.2,8.60230094065811,Fossil
209,2000,Germany,Other fossil,23.9,4.17876000979123,Fossil
210,2000,Germany,Nuclear,169.6,29.6534601531629,Fossil
212,2000,Germany,Hydro,24.9,4.35360352484526,Renewable
214,2000,Germany,Wind,9.5,1.66101339301325,Renewable
215,2000,Germany,Solar,0.04,0.00699374060216106,Renewable
216,2000,Germany,Bioenergy,3.4,0.59446795118369,Renewable
217,2000,Germany,Other renewables,0.0,0.0,Renewable
222,2000,Greece,Coal,34.313,64.2264857276556,Fossil
223,2000,Greece,Hard Coal,0.014,0.0262049602246139,Fossil
224,2000,Greece,Lignite,34.299,64.2002807674309,Fossil
225,2000,Greece,Gas,5.92,11.0809546092653,Fossil
226,2000,Greece,Other fossil,9.048,16.9358914365933,Fossil
227,2000,Greece,Nuclear,0.0,0.0,Fossil
229,2000,Greece,Hydro,3.69299999999999,6.91249415067852,Renewable
231,2000,Greece,Wind,0.451,0.844174075807206,Renewable
232,2000,Greece,Solar,0.0,0.0,Renewable
233,2000,Greece,Bioenergy,0.0,0.0,Renewable
234,2000,Greece,Other renewables,0.0,0.0,Renewable
239,2000,Hungary,Coal,9.59,27.251457754074,Fossil
240,2000,Hungary,Hard Coal,0.067,0.190390789314177,Fossil
241,2000,Hungary,Lignite,9.523,27.0610669647599,Fossil
242,2000,Hungary,Gas,6.602,18.7605968813761,Fossil
243,2000,Hungary,Other fossil,4.576,13.0034067448011,Fossil
244,2000,Hungary,Nuclear,14.18,40.2946476488811,Fossil
246,2000,Hungary,Hydro,0.178,0.505814335789904,Renewable
248,2000,Hungary,Wind,0.0,0.0,Renewable
249,2000,Hungary,Solar,0.0,0.0,Renewable
250,2000,Hungary,Bioenergy,0.0647779999999999,0.184076635077519,Renewable
251,2000,Hungary,Other renewables,0.0,0.0,Renewable
256,2000,Ireland,Coal,6.817,28.7953028639013,Fossil
257,2000,Ireland,Hard Coal,6.817,28.7953028639013,Fossil
258,2000,Ireland,Lignite,0.0,0.0,Fossil
259,2000,Ireland,Gas,9.263,39.1273126636816,Fossil
260,2000,Ireland,Other fossil,6.408,27.0676691729323,Fossil
261,2000,Ireland,Nuclear,0.0,0.0,Fossil
263,2000,Ireland,Hydro,0.847,3.57776463630987,Renewable
265,2000,Ireland,Wind,0.244,1.03066655402551,Renewable
266,2000,Ireland,Solar,0.0,0.0,Renewable
267,2000,Ireland,Bioenergy,0.095,0.401284109149277,Renewable
268,2000,Ireland,Other renewables,0.0,0.0,Renewable
273,2000,Italy,Coal,26.272,9.76091676170916,Fossil
274,2000,Italy,Hard Coal,26.266,9.75868756330134,Fossil
275,2000,Italy,Lignite,0.006,0.0022291984078203,Fossil
276,2000,Italy,Gas,101.36,37.6585917694442,Fossil
277,2000,Italy,Other fossil,90.6438819999999,33.6771995721752,Fossil
278,2000,Italy,Nuclear,0.0,0.0,Fossil
280,2000,Italy,Hydro,44.1994459999999,16.4215557749565,Renewable
282,2000,Italy,Wind,0.563,0.209173117267138,Renewable
283,2000,Italy,Solar,0.018,0.0066875952234609,Renewable
284,2000,Italy,Bioenergy,1.39371799999999,0.517812324425082,Renewable
285,2000,Italy,Other renewables,4.705,1.74806308479908,Renewable
290,2000,Latvia,Coal,0.0,0.0,Fossil
291,2000,Latvia,Hard Coal,0.0,0.0,Fossil
292,2000,Latvia,Lignite,0.0,0.0,Fossil
293,2000,Latvia,Gas,1.128,27.2689428498075,Fossil
294,2000,Latvia,Other fossil,0.185,4.47230002412624,Fossil
295,2000,Latvia,Nuclear,0.0,0.0,Fossil
297,2000,Latvia,Hydro,2.819157,68.1519779411658,Renewable
299,2000,Latvia,Wind,0.004417,0.106779184900354,Renewable
300,2000,Latvia,Solar,0.0,0.0,Renewable
301,2000,Latvia,Bioenergy,0.0,0.0,Renewable
302,2000,Latvia,Other renewables,0.0,0.0,Renewable
307,2000,Lithuania,Coal,0.0,0.0,Fossil
308,2000,Lithuania,Hard Coal,0.0,0.0,Fossil
309,2000,Lithuania,Lignite,0.0,0.0,Fossil
310,2000,Lithuania,Gas,1.616,14.6514274896682,Fossil
311,2000,Lithuania,Other fossil,0.655,5.93854270156728,Fossil
312,2000,Lithuania,Nuclear,8.419,76.3306732893053,Fossil
314,2000,Lithuania,Hydro,0.339641999999999,3.0793565194591,Renewable
316,2000,Lithuania,Wind,0.0,0.0,Renewable
317,2000,Lithuania,Solar,0.0,0.0,Renewable
318,2000,Lithuania,Bioenergy,0.0,0.0,Renewable
319,2000,Lithuania,Other renewables,0.0,0.0,Renewable
324,2000,Luxembourg,Coal,0.0,0.0,Fossil
325,2000,Luxembourg,Hard Coal,0.0,0.0,Fossil
326,2000,Luxembourg,Lignite,0.0,0.0,Fossil
327,2000,Luxembourg,Gas,0.214561,51.1877184402323,Fossil
328,2000,Luxembourg,Other fossil,0.033965,8.10301432610069,Fossil
329,2000,Luxembourg,Nuclear,0.0,0.0,Fossil
331,2000,Luxembourg,Hydro,0.123504,29.4642921045411,Renewable
333,2000,Luxembourg,Wind,0.0247429999999999,5.90292605537198,Renewable
334,2000,Luxembourg,Solar,4e-05,0.00954278148223253,Renewable
335,2000,Luxembourg,Bioenergy,0.022352,5.33250629227154,Renewable
336,2000,Luxembourg,Other renewables,0.0,0.0,Renewable
341,2000,Malta,Coal,0.0,0.0,Fossil
342,2000,Malta,Hard Coal,0.0,0.0,Fossil
343,2000,Malta,Lignite,0.0,0.0,Fossil
344,2000,Malta,Gas,0.0,0.0,Fossil
345,2000,Malta,Other fossil,1.917,100.0,Fossil
346,2000,Malta,Nuclear,0.0,0.0,Fossil
348,2000,Malta,Hydro,0.0,0.0,Renewable
350,2000,Malta,Wind,0.0,0.0,Renewable
351,2000,Malta,Solar,0.0,0.0,Renewable
352,2000,Malta,Bioenergy,0.0,0.0,Renewable
353,2000,Malta,Other renewables,0.0,0.0,Renewable
358,2000,Netherlands,Coal,24.276,27.1595187753039,Fossil
359,2000,Netherlands,Hard Coal,24.276,27.1595187753039,Fossil
360,2000,Netherlands,Lignite,0.0,0.0,Fossil
361,2000,Netherlands,Gas,51.522,57.6418160463507,Fossil
362,2000,Netherlands,Other fossil,6.68801699999999,7.48242392820283,Fossil
363,2000,Netherlands,Nuclear,3.926,4.39233278595499,Fossil
365,2000,Netherlands,Hydro,0.14243,0.159347926312676,Renewable
367,2000,Netherlands,Wind,0.829029999999999,0.927502712567566,Renewable
368,2000,Netherlands,Solar,0.00768399999999999,0.00859671042467604,Renewable
369,2000,Netherlands,Bioenergy,1.991866,2.22846111488258,Renewable
370,2000,Netherlands,Other renewables,0.0,0.0,Renewable
375,2000,Poland,Coal,135.888,94.9106921174759,Fossil
376,2000,Poland,Hard Coal,82.419,57.5653798247839,Fossil
377,2000,Poland,Lignite,53.469,37.3453122926919,Fossil
378,2000,Poland,Gas,0.928,0.648159677712657,Fossil
379,2000,Poland,Other fossil,4.026596,2.81236763538693,Fossil
380,2000,Poland,Nuclear,0.0,0.0,Fossil
382,2000,Poland,Hydro,2.106,1.47093133756773,Renewable
384,2000,Poland,Wind,0.005,0.00349223964284837,Renewable
385,2000,Poland,Solar,0.0,0.0,Renewable
386,2000,Poland,Bioenergy,0.221,0.154356992213898,Renewable
387,2000,Poland,Other renewables,0.0,0.0,Renewable
392,2000,Portugal,Coal,14.595,33.6507424144609,Fossil
393,2000,Portugal,Hard Coal,14.595,33.6507424144609,Fossil
394,2000,Portugal,Lignite,0.0,0.0,Fossil
395,2000,Portugal,Gas,7.138,16.457622429217,Fossil
