club_name,age
Arsenal FC,21.285714285714285
Aston Villa,24.676470588235293
Blackburn Rovers,22.96078431372549
Bolton Wanderers,25.3
Chelsea FC,24.25
Everton FC,23.625
Fulham FC,25.455882352941178
Hull City,27.75
Liverpool FC,21.56140350877193
Manchester City,23.454545454545453
Manchester United,21.289473684210527
Middlesbrough FC,22.416666666666668
Newcastle United,22.216216216216218
Portsmouth FC,22.88679245283019
Stoke City,23.647058823529413
Sunderland AFC,24.544117647058822
Tottenham Hotspur,22.458333333333332
West Bromwich Albion,23.878048780487806
West Ham United,24.25
Wigan Athletic,24.163265306122447
