club_name,age
Athletic Bilbao,26.90909090909091
Atlético de Madrid,24.20689655172414
CA Osasuna,24.178571428571427
CD Numancia,26.52
Deportivo de La Coruña,24.285714285714285
FC Barcelona,25.714285714285715
Getafe CF,24.5
Málaga CF,26.93548387096774
RCD Espanyol Barcelona,25.0
RCD Mallorca,25.675675675675677
Racing Santander,24.057142857142857
Real Betis Balompié,27.25925925925926
Real Madrid,23.217391304347824
Real Valladolid CF,25.423076923076923
Recreativo Huelva,24.633333333333333
Sevilla FC,25.6
Sporting Gijón,24.833333333333332
UD Almería,25.608695652173914
Valencia CF,24.488372093023255
Villarreal CF,23.823529411764707
