club_name,age
FC Köln,23.9
FC Nuremberg,23.166666666666668
FSV Mainz 05,25.8
Bayer 04 Leverkusen,23.7
Bayern Munich,25.0
Borussia Dortmund,23.772727272727273
Borussia Mönchengladbach,25.272727272727273
Eintracht Frankfurt,23.26086956521739
FC Schalke 04,23.242424242424242
Hamburger SV,24.083333333333332
Hannover 96,26.31578947368421
Hertha BSC,26.06451612903226
SC Freiburg,23.136363636363637
SV Werder Bremen,23.1875
TSG 1899 Hoffenheim,22.15
VfB Stuttgart,23.75
VfL Bochum,25.761904761904763
VfL Wolfsburg,26.17241379310345
