club_name,age
AJ Auxerre,22.814814814814813
AS Monaco,24.384615384615383
AS Nancy-Lorraine,23.785714285714285
AS Saint-Étienne,24.576923076923077
FC Girondins Bordeaux,21.655172413793103
FC Lorient,25.27777777777778
FC Sochaux-Montbéliard,24.970588235294116
FC Toulouse,25.043478260869566
Grenoble Foot 38,26.482758620689655
LOSC Lille,24.225806451612904
Le Mans Union Club 72,22.9
Montpellier HSC,25.055555555555557
OGC Nice,26.391304347826086
Olympique Lyon,22.53846153846154
Olympique Marseille,24.395833333333332
Paris Saint-Germain,25.78125
RC Lens,22.884615384615383
Stade Rennais FC,22.82051282051282
US Boulogne,24.733333333333334
Valenciennes FC,26.863636363636363
