club_name,age
AC Milan,24.58823529411765
AC Siena,23.907692307692308
ACF Fiorentina,23.291666666666668
AS Bari,24.264705882352942
AS Livorno,24.844444444444445
AS Roma,23.651162790697676
Atalanta BC,23.612244897959183
Bologna FC 1909,27.545454545454547
Cagliari Calcio,23.04
Calcio Catania,25.24137931034483
Chievo Verona,24.491525423728813
Inter Milan,23.59016393442623
Genoa CFC,22.977777777777778
Juventus FC,23.325
Parma FC,24.027027027027028
SS Lazio,23.82051282051282
SSC Napoli,25.40625
UC Sampdoria,23.846153846153847
US Palermo,23.08
Udinese Calcio,22.644736842105264
