club_name,age
FC Köln,25.606060606060606
FC Kaiserslautern,25.2
FC Nuremberg,25.428571428571427
FSV Mainz 05,26.6
Arminia Bielefeld,24.96875
Bayer 04 Leverkusen,22.5
Bayern Munich,27.692307692307693
Borussia Dortmund,25.08
Borussia Mönchengladbach,26.756756756756758
Eintracht Frankfurt,26.178571428571427
FC Schalke 04,23.857142857142858
Hamburger SV,23.387096774193548
Hannover 96,24.516129032258064
Hertha BSC,24.57894736842105
MSV Duisburg,26.555555555555557
SV Werder Bremen,24.0
VfB Stuttgart,24.62962962962963
VfL Wolfsburg,26.36
