club_name,age
AC Cesena,24.329113924050635
AC Milan,23.365079365079364
AC Siena,24.175675675675677
ACF Fiorentina,23.75925925925926
AS Roma,23.5
Atalanta BC,25.41304347826087
Bologna FC 1909,24.466666666666665
Cagliari Calcio,23.676470588235293
Calcio Catania,25.0
Chievo Verona,23.74390243902439
FC Internazionale,23.44
Genoa CFC,23.424242424242426
Juventus FC,24.2
Novara Calcio 1908,25.5531914893617
Parma FC,23.176470588235293
SS Lazio,25.153846153846153
SSC Napoli,25.17241379310345
US Lecce,25.41304347826087
US Palermo,24.333333333333332
Udinese Calcio,23.486842105263158
