club_name,age
AFC Bournemouth,25.866666666666667
Arsenal FC,25.20689655172414
Brighton & Hove Albion,24.666666666666668
Burnley FC,27.473684210526315
Cardiff City,26.114285714285714
Chelsea FC,23.885245901639344
Crystal Palace,26.333333333333332
Everton FC,25.11904761904762
Fulham FC,25.06896551724138
Huddersfield Town,25.125
Leicester City,24.91176470588235
Liverpool FC,23.18421052631579
Manchester City,22.0
Manchester United,24.05263157894737
Newcastle United,25.0
Southampton FC,25.11764705882353
Tottenham Hotspur,22.375
Watford FC,23.830188679245282
West Ham United,24.6875
Wolverhampton Wanderers,24.02469135802469
