club_name,age
Athletic Bilbao,25.3
Atlético de Madrid,23.75
CD Leganés,24.75438596491228
Celta de Vigo,24.51219512195122
Deportivo Alavés,24.52
FC Barcelona,24.236842105263158
Getafe CF,26.25
Girona FC,24.90909090909091
Levante UD,25.41025641025641
RCD Espanyol Barcelona,26.0
Rayo Vallecano,26.12727272727273
Real Betis Balompié,25.82051282051282
Real Madrid,22.633333333333333
Real Sociedad,25.615384615384617
Real Valladolid CF,24.069767441860463
SD Eibar,26.0
SD Huesca,26.044444444444444
Sevilla FC,24.714285714285715
Valencia CF,24.65909090909091
Villarreal CF,25.0
