club_name,age
AS Monaco,22.71212121212121
AS Saint-Étienne,22.9
Amiens SC,25.458333333333332
Dijon FCO,25.3
EA Guingamp,25.84
FC Girondins Bordeaux,22.594594594594593
FC Nantes,25.060606060606062
FC Toulouse,23.43243243243243
LOSC Lille,24.37142857142857
Montpellier HSC,24.26086956521739
Nîmes Olympique,24.666666666666668
OGC Nice,22.52
Olympique Lyon,21.558823529411764
Olympique Marseille,24.347826086956523
Paris Saint-Germain,23.307692307692307
RC Strasbourg Alsace,25.892857142857142
SCO Angers,25.205128205128204
SM Caen,24.862745098039216
Stade Reims,24.344827586206897
Stade Rennais FC,24.0
