,Challenger_WinRate,Grandmaster_WinRate,Master_WinRate
aatrox,0.4790794979079498,0.4697125256673511,0.47884334792412786
ahri,0.503461918892186,0.5132075471698113,0.5225394833176445
akali,0.4677804295942721,0.52625,0.5
akshan,0.44551282051282054,0.49761336515513127,0.5188924141909432
alistar,0.5526315789473685,0.5166204986149584,0.5020116227089853
amumu,0.5853658536585366,0.18032786885245902,0.35058823529411764
anivia,0.5769230769230769,0.49099099099099097,0.49625595643294756
annie,0.5111111111111111,0.4312977099236641,0.49963045084996305
aphelios,0.40594059405940597,0.41103603603603606,0.46944
ashe,0.4712041884816754,0.43127147766323026,0.5101793504604945
aurelion sol,0.6875,0.5,0.43107769423558895
azir,0.4391891891891892,0.5146067415730337,0.49065420560747663
bard,0.6228571428571429,0.4945226917057903,0.5236131934032984
blitzcrank,0.5347721822541966,0.5817351598173516,0.5216341316160193
brand,0.4444444444444444,0.4326923076923077,0.44858156028368795
braum,0.4148936170212766,0.4767123287671233,0.4831899921813917
caitlyn,0.4327731092436975,0.45997088791848617,0.4717169200099676
camille,0.4904891304347826,0.5064615384615384,0.5121879154971192
cassiopeia,0.5431472081218274,0.5942028985507246,0.532462229481421
cho'gath,0.5148514851485149,0.5358490566037736,0.5164634146341464
corki,0.49,0.4879032258064516,0.474524248004911
darius,0.4666666666666667,0.4716202270381837,0.49544193420531113
diana,0.45524691358024694,0.49034749034749037,0.4903114683507966
dr. mundo,0.4766536964980545,0.5451936872309899,0.5077593722755013
draven,0.43478260869565216,0.5056179775280899,0.4626865671641791
ekko,0.4828711256117455,0.513184584178499,0.5194705050764683
elise,0.5423728813559322,0.5245901639344263,0.48242811501597443
evelynn,0.4016393442622951,0.5472868217054263,0.5128644939965694
ezreal,0.46975806451612906,0.4816127603012849,0.4877790608160123
fiddlesticks,0.48370927318295737,0.5629770992366412,0.549740932642487
fiora,0.4413702239789196,0.5138221153846154,0.51392938127632
fizz,0.45484949832775917,0.49230769230769234,0.5188843695525857
galio,0.5300751879699248,0.5553571428571429,0.4868217054263566
gangplank,0.586427656850192,0.5303970223325062,0.5115276476101218
garen,0.5029411764705882,0.5590631364562119,0.4879692011549567
gnar,0.5368421052631579,0.553623188405797,0.4796006944444444
