,GoldDiff
0,8870
1,5293
2,14313
3,9570
4,11630
5,7265
6,14130
7,12067
8,10094
9,10875
10,11214
11,10125
12,6861
13,10426
14,8849
15,7562
16,8781
17,8916
18,6661
19,1858
20,2150
21,6409
22,6926
23,8455
24,14603
25,8169
26,14948
27,8348
28,10107
29,10282
30,12161
31,7383
32,8342
33,8980
34,11866
35,14225
36,12998
37,6603
38,6515
39,12798
40,2795
41,10741
42,13090
43,5647
44,5103
45,7225
46,5205
47,14651
48,9974
49,13153
50,13464
51,14785
52,4423
53,6172
54,14268
55,7813
56,7117
57,6684
58,10251
59,11940
60,6730
61,11587
62,11234
63,6176
64,12331
65,10742
66,1982
67,14420
68,11380
69,9577
70,14823
71,12705
72,18290
73,12390
74,3731
75,8338
76,10032
77,13777
78,10755
79,16504
80,9811
81,14836
82,14970
83,5540
84,12113
85,12681
86,11288
87,10673
88,1413
89,10524
90,8311
91,9788
92,7477
93,3798
94,11385
95,7699
96,9110
97,10513
98,9597
99,9944
100,15712
101,4108
102,8739
103,8300
104,8771
105,9546
106,14523
107,4910
108,6884
109,10119
110,9813
111,11670
112,13387
113,12514
114,6141
115,9514
116,12832
117,8042
118,9636
119,7354
120,11508
121,6867
122,8155
123,8284
124,13412
125,9306
126,11111
127,18030
128,11482
129,10599
130,7179
131,16979
132,5363
133,9207
134,2790
135,9001
136,13869
137,9468
138,4587
139,13945
140,4795
141,6944
142,9690
143,8666
144,6403
145,13037
146,5369
147,6655
148,6792
149,12182
150,9370
151,5080
152,7337
153,10009
154,7266
155,4660
156,8456
157,16069
158,1216
159,12598
160,15368
161,6755
162,10265
163,11771
164,14176
165,7574
166,14056
167,8638
168,19813
169,17726
170,5387
171,9091
172,8890
173,12855
174,4549
175,9082
176,5352
177,7790
178,13452
179,9850
180,6984
181,15822
182,9451
183,7859
184,8337
185,5407
186,7744
187,11096
188,16652
189,3328
190,7400
191,12816
192,9903
193,4837
194,9097
195,5958
196,4240
197,5073
198,16882
199,5707
200,9247
201,18335
202,3915
203,8993
204,13115
205,12008
206,14503
207,11699
208,6446
209,12521
210,12633
211,2123
212,13517
213,9113
214,12116
215,2601
216,8555
217,12534
218,554
219,9799
220,10862
221,15039
222,11653
223,8934
224,8226
225,6595
226,7690
227,4370
228,9545
229,16530
230,14449
231,8179
232,8146
233,11279
234,7595
235,8245
236,4948
237,15523
238,13177
239,5827
240,9127
241,11990
242,961
243,9991
244,8177
245,12417
246,12350
247,14066
248,12296
249,5957
250,8140
251,4377
252,10419
253,4991
254,3276
255,5537
256,13280
257,7015
258,8285
259,13707
260,12455
261,8730
262,13664
263,9419
264,9624
265,8735
266,14923
267,16679
268,4954
269,11753
270,9846
271,14977
272,6432
273,8247
274,12108
275,9710
276,7580
277,5039
278,12947
279,9730
280,15621
281,7837
282,6761
283,12457
284,9941
285,5790
286,10560
287,9563
288,4729
289,14991
290,11765
291,9873
292,13759
293,7972
294,9067
295,13234
296,4810
297,9580
298,6398
299,8663
300,14373
301,4616
302,11471
303,10408
304,6810
305,9372
306,11055
307,13065
308,8601
309,9433
310,9133
311,14208
312,15593
313,7772
314,15333
315,6413
316,5581
317,2200
318,8889
319,14296
320,12301
321,8345
322,10307
323,9011
324,11957
325,4446
326,10113
327,3998
328,11766
329,5936
330,16090
331,3732
332,13073
333,8247
334,13869
335,9165
336,5430
337,7790
338,7817
339,17923
340,9763
341,11193
342,11231
343,16665
344,11950
345,9243
346,13635
347,9045
348,7173
349,5549
350,9334
351,4458
352,9358
353,7409
354,10982
355,12143
356,13976
357,9248
358,7926
359,8645
360,5504
361,12830
362,11203
363,8775
364,12516
365,13501
366,13706
367,10521
