REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
80000200,1993,1, 1,420,30,18,11,8,29,46,58,37,28,21,28,16,23,24,12,14,7,1,9
80000200,1993,1, 2,12,0,1,0,0,1,0,0,1,3,2,1,1,1,1,0,0,0,0,0
80000200,1993,1, 3,21,0,0,0,0,0,0,0,0,2,2,5,2,5,2,0,2,0,1,0
80000200,1993,1, 4,14,0,0,0,1,1,1,0,0,2,2,2,1,3,1,0,0,0,0,0
80000200,1993,1, 5,6,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0
80000200,1993,1, 6,5,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0
80000200,1993,1, 7,16,0,0,0,0,2,2,2,4,2,0,1,3,0,0,0,0,0,0,0
80000200,1993,1, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1, 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
80000200,1993,1,11,10,0,0,0,0,0,0,0,3,1,0,2,0,1,2,1,0,0,0,0
80000200,1993,1,12,9,0,1,0,2,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0
80000200,1993,1,13,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
80000200,1993,1,14,7,0,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
80000200,1993,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,19,46,0,0,0,0,0,0,0,0,1,3,4,1,7,10,5,10,4,0,1
80000200,1993,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,21,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
80000200,1993,1,22,4,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
80000200,1993,1,23,15,4,1,1,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0
80000200,1993,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,26,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,1,27,20,9,3,2,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
80000200,1993,1,28,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,1,29,4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 1,389,17,9,8,16,39,55,41,34,32,29,24,14,26,7,16,4,2,6,10
80000200,1993,2, 2,13,0,0,0,0,1,1,0,3,0,2,1,0,4,0,1,0,0,0,0
80000200,1993,2, 3,10,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,2,1,0,0
80000200,1993,2, 4,11,0,0,0,0,0,0,2,2,1,0,2,0,3,0,1,0,0,0,0
80000200,1993,2, 5,8,0,0,0,0,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0
80000200,1993,2, 6,8,0,0,0,0,1,1,1,1,1,0,2,0,0,0,1,0,0,0,0
80000200,1993,2, 7,12,0,0,0,1,0,1,2,1,3,0,1,0,0,1,1,0,0,0,1
80000200,1993,2, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2, 9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,2,10,4,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0
80000200,1993,2,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80000200,1993,2,12,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
80000200,1993,2,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80000200,1993,2,14,8,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,15,40,0,0,0,1,3,3,3,3,4,7,5,2,4,0,4,0,1,0,0
80000200,1993,2,16,68,0,0,0,0,3,3,9,9,12,9,5,2,6,2,2,1,0,3,2
80000200,1993,2,17,5,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0
80000200,1993,2,18,16,0,2,1,2,0,1,3,0,1,1,1,2,1,0,1,0,0,0,0
80000200,1993,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,21,8,3,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
80000200,1993,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,23,10,2,0,0,1,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1
80000200,1993,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,25,9,0,0,1,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,1
80000200,1993,2,26,5,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1993,2,27,16,2,5,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
80000200,1993,2,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1993,2,29,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80000200,1994,1, 1,354,14,14,11,7,20,35,56,46,26,12,19,16,14,9,16,13,12,6,8
80000200,1994,1, 2,9,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,2
80000200,1994,1, 3,17,0,0,0,0,0,0,0,1,2,1,5,1,1,0,2,3,1,0,0
80000200,1994,1, 4,6,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0
80000200,1994,1, 5,11,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,2,0,2,0
80000200,1994,1, 6,8,0,0,0,0,0,0,1,0,2,0,1,1,1,0,0,1,0,1,0
80000200,1994,1, 7,16,0,0,1,0,1,1,0,2,1,1,2,1,1,0,3,0,1,0,1
80000200,1994,1, 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1, 9,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
80000200,1994,1,10,5,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0
80000200,1994,1,11,5,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0
80000200,1994,1,12,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
80000200,1994,1,14,5,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
80000200,1994,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000200,1994,1,19,29,0,0,0,0,0,0,0,0,0,0,0,6,4,3,4,2,8,2,0
