CONTINENT,AREA,REGISTRY,NAME,YEAR1,YEAR2
2,99, 7600200,Brazil_Goiania,1993,2012
2,99,15200100,Chile_Valdivia,1998,2012
2,99,17000100,Colombia_Cali,1983,2012
2,99,18800000,Costa_Rica,1982,2011
2,99,21800100,Ecuador_Quito,1985,2012
2,99,25009100,France_Martinique,1998,2012
3,99,12400000,Canada_(excl._Nunavut_Quebec_Yukon),1983,2012
3,99,84000100,USA_California_Los_Angeles,1973,2012
3,99,84000101,USA_California_Los_Angeles-White,1973,2012
3,99,84000117,USA_California_Los_Angeles-Hispanic-White,1973,2012
3,99,84000119,USA_California_Los_Angeles-Non-Hispanic-White,1973,2012
3,99,84000102,USA_California_Los_Angeles-Black,1973,2012
3,99,84000104,USA_California_Los_Angeles-Chinese,1973,2012
3,99,84000105,USA_California_Los_Angeles-Japanese,1973,2012
3,99,84000106,USA_California_Los_Angeles-Filipino,1973,2012
3,99,84000108,USA_California_Los_Angeles-Korean,1973,2012
3,99,84002000,USA_SEER,1978,2012
3,99,84002001,USA_SEER-White,1978,2012
3,99,84002002,USA_SEER-Black,1978,2012
3,99,84008000,USA_NPCR,1998,2012
3,99,84008001,USA_NPCR-White,1998,2012
3,99,84008002,USA_NPCR-Black,1998,2012
3,99,84008003,USA_NPCR-American-Indian-Alaskan-Native,1998,2012
3,99,84008090,USA_NPCR-Asian-Pacific-Islander,1998,2012
