REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
 7600200,1993,1, 1,490,9,2,5,8,6,11,17,16,28,29,39,54,67,54,64,40,22,18,1
 7600200,1993,1, 2,46,0,0,0,1,0,1,2,1,6,6,6,8,7,3,2,2,1,0,0
 7600200,1993,1, 3,19,0,0,0,0,0,0,0,0,2,2,1,3,2,4,2,2,0,1,0
 7600200,1993,1, 4,43,0,0,0,0,0,0,1,1,3,2,3,4,9,4,6,5,3,2,0
 7600200,1993,1, 5,12,0,0,0,0,0,0,1,1,0,0,0,1,3,1,2,0,2,1,0
 7600200,1993,1, 6,10,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,1,0,1,0
 7600200,1993,1, 7,5,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0
 7600200,1993,1, 8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
 7600200,1993,1, 9,12,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,3,0,1,0
 7600200,1993,1,10,27,0,0,0,0,0,0,0,1,1,1,6,7,1,5,3,1,1,0,0
 7600200,1993,1,11,45,0,0,0,0,0,0,0,1,0,5,8,7,9,5,4,1,5,0,0
 7600200,1993,1,12,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,13,6,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0
 7600200,1993,1,14,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
 7600200,1993,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,19,77,0,0,0,0,0,0,0,0,4,2,0,3,11,10,21,15,5,5,1
 7600200,1993,1,20,6,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
 7600200,1993,1,21,11,1,0,0,0,0,0,0,0,0,0,2,1,3,1,2,0,0,1,0
 7600200,1993,1,22,27,0,0,0,0,0,0,0,0,0,1,2,2,4,3,7,5,1,2,0
 7600200,1993,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,1,24,31,1,1,0,1,2,0,3,2,6,3,2,1,3,2,4,0,0,0,0
 7600200,1993,1,25,4,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
 7600200,1993,1,26,18,0,1,1,2,1,5,1,0,0,1,2,3,0,1,0,0,0,0,0
 7600200,1993,1,27,15,2,0,1,0,0,0,0,3,1,2,0,3,1,1,1,0,0,0,0
 7600200,1993,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 7600200,1993,1,29,20,4,0,2,1,1,2,1,1,1,0,0,1,0,0,1,2,1,2,0
 7600200,1993,2, 1,656,7,5,5,3,13,24,36,56,72,71,69,65,63,60,43,25,23,14,2
 7600200,1993,2, 2,5,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
 7600200,1993,2, 3,4,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
 7600200,1993,2, 4,33,0,0,0,0,0,1,0,3,4,3,6,3,2,5,5,1,0,0,0
 7600200,1993,2, 5,24,0,0,0,0,0,1,0,3,1,1,1,0,1,3,5,0,5,1,2
 7600200,1993,2, 6,23,0,0,0,0,0,0,0,2,4,3,1,3,2,2,1,2,1,2,0
 7600200,1993,2, 7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0
 7600200,1993,2, 8,11,0,0,0,0,0,0,0,1,1,0,1,0,1,3,1,2,0,1,0
 7600200,1993,2, 9,7,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0
 7600200,1993,2,10,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0
 7600200,1993,2,11,28,0,0,0,0,0,0,1,1,0,1,1,5,5,6,2,2,1,3,0
 7600200,1993,2,12,5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 7600200,1993,2,13,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
 7600200,1993,2,14,9,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0
 7600200,1993,2,15,156,0,0,0,0,1,1,6,15,25,24,21,18,16,9,6,6,6,2,0
 7600200,1993,2,16,175,0,0,0,0,6,13,22,20,19,22,14,15,18,9,9,6,1,1,0
 7600200,1993,2,17,11,0,0,0,0,0,0,0,0,1,0,1,3,1,3,2,0,0,0,0
 7600200,1993,2,18,17,0,0,0,0,1,1,1,0,1,2,3,3,1,1,1,1,1,0,0
 7600200,1993,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 7600200,1993,2,21,9,1,0,1,0,0,0,1,1,0,0,1,2,2,0,0,0,0,0,0
 7600200,1993,2,22,8,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0,0
