REGISTRY,YEAR,SEX,TOTAL,P0_4,P5_9,P10_14,P15_19,P20_24,P25_29,P30_34,P35_39,P40_44,P45_49,P50_54,P55_59,P60_64,P65_69,P70_74,P75_79,P80_84,P85+
 7600200,1993,1,457485,49043,50690,51067,49537,49494,44534,37714,31341,25113,19394,15261,11486,8725,5888,3763,2456,1979,0
 7600200,1994,1,465084,49856,51532,51915,50361,50316,45274,38341,31862,25530,19716,15515,11677,8870,5986,3825,2496,2012,0
 7600200,1995,1,472495,50650,52354,52743,51163,51118,45995,38952,32369,25937,20030,15762,11863,9011,6082,3886,2536,2044,0
 7600200,1996,1,478939,44442,46621,50120,53823,51582,45163,41453,35130,29978,22982,17738,13096,9920,6983,4699,2711,2498,0
 7600200,1997,1,488095,45279,47514,51083,54858,52580,46042,42240,35810,30560,23421,18063,13345,10099,7108,4786,2762,2545,0
 7600200,1998,1,496289,46040,48312,51939,55779,53463,46815,42949,36411,31073,23814,18366,13569,10269,7228,4866,2808,2588,0
 7600200,1999,1,504120,46766,49075,52758,56660,54306,47553,43627,36986,31563,24190,18656,13783,10431,7342,4943,2852,2629,0
 7600200,2000,1,521055,46184,46170,49446,56945,58554,49082,43478,39904,34095,27541,21601,15318,11884,8282,5769,3555,3247,0
 7600200,2001,1,529928,46971,46956,50288,57915,59551,49918,44219,40583,34675,28010,21969,15579,12087,8423,5867,3615,3302,0
 7600200,2002,1,538347,47718,47702,51087,58835,60497,50710,44921,41228,35227,28455,22318,15826,12278,8557,5960,3673,3355,0
 7600200,2003,1,546368,48428,48414,51849,59712,61398,51467,45590,41842,35751,28879,22650,16062,12462,8684,6049,3727,3404,0
 7600200,2004,1,554369,49138,49121,52607,60586,62298,52221,46258,42455,36275,29302,22982,16297,12645,8811,6137,3782,3454,0
 7600200,2005,1,572539,50748,50733,54331,62571,64339,53932,47774,43847,37463,30263,23735,16832,13059,9100,6339,3906,3567,0
 7600200,2006,1,581792,51568,51552,55211,63582,65379,54803,48546,44555,38069,30751,24119,17104,13270,9248,6441,3969,3625,0
 7600200,2007,1,588132,47094,48644,49530,52473,59342,63044,53905,44437,40356,35128,28221,21878,15627,11101,7670,4810,4872,0
 7600200,2008,1,599896,46170,49656,50001,52749,58575,63757,56980,45783,41070,36365,29474,22853,16687,11485,8114,5012,5165,0
 7600200,2009,1,607281,44828,50100,50129,52772,57480,63757,59461,47052,41554,37288,30528,23694,17631,11876,8494,5208,5429,0
 7600200,2010,1,620857,42933,44189,50019,55171,64221,64092,58341,49000,43686,38572,32488,25325,18723,12997,9459,5804,5837,0
 7600200,2011,1,628555,43465,44737,50639,55855,65017,64887,59065,49608,44228,39050,32891,25639,18955,13158,9576,5876,5909,0
 7600200,2012,1,636006,43981,45268,51239,56517,65788,65656,59764,50195,44752,39513,33281,25943,19180,13314,9690,5946,5979,0
 7600200,1993,2,500081,47077,49756,52115,57256,55775,51021,43564,35919,28151,21277,16235,13251,10368,7514,4848,3210,2744,0
 7600200,1994,2,508393,47859,50583,52982,58208,56701,51869,44288,36516,28619,21631,16505,13471,10540,7639,4928,3264,2790,0
 7600200,1995,2,516498,48622,51390,53826,59136,57605,52696,44994,37098,29075,21976,16768,13686,10708,7761,5007,3316,2834,0
 7600200,1996,2,523242,43144,44963,50868,58677,57323,50782,47407,40859,34145,26249,19541,14662,12087,8950,6085,3835,3665,0
 7600200,1997,2,533343,43943,45814,51843,59811,58441,51778,48327,41656,34808,26761,19923,14947,12317,9125,6205,3906,3738,0
 7600200,1998,2,542297,44681,46584,52713,60814,59422,52647,49138,42355,35393,27210,20258,15198,12524,9278,6309,3972,3801,0
 7600200,1999,2,550847,45386,47318,53544,61773,60359,53478,49913,43023,35951,27639,20577,15438,12721,9424,6408,4035,3860,0
 7600200,2000,2,571952,44536,45053,48911,61085,63681,54211,49325,46432,40210,32429,24882,17750,14464,10863,7945,5045,5130,0
 7600200,2001,2,581695,45294,45821,49744,62126,64766,55134,50165,47223,40895,32981,25306,18052,14710,11048,8081,5131,5218,0
 7600200,2002,2,590927,46013,46548,50533,63112,65794,56010,50961,47973,41544,33505,25707,18339,14944,11223,8209,5212,5300,0
 7600200,2003,2,599735,46699,47241,51286,64051,66775,56844,51721,48688,42164,34004,26091,18612,15166,11391,8331,5291,5380,0
 7600200,2004,2,608528,47384,47935,52038,64991,67753,57677,52479,49402,42781,34503,26473,18885,15388,11558,8454,5368,5459,0
 7600200,2005,2,628468,48936,49504,53745,67121,69974,59567,54199,51020,44184,35633,27341,19503,15892,11937,8730,5544,5638,0
 7600200,2006,2,638620,49727,50304,54612,68206,71104,60530,55074,51845,44897,36209,27782,19819,16149,12129,8872,5633,5728,0
 7600200,2007,2,651519,45276,47755,49510,52560,63625,69317,59387,51066,47973,42468,34785,27285,19756,14639,10830,7370,7917,0
 7600200,2008,2,665498,44388,48724,50053,52999,61809,70271,62663,52359,48750,44040,36447,28842,21302,15193,11454,7737,8467,0
 7600200,2009,2,674692,43102,49139,50237,53235,59691,70320,65357,53521,49211,45246,37826,30220,22743,15776,12010,8077,8981,0
 7600200,2010,2,681144,41532,42642,49326,56556,67610,68361,63089,53809,49936,45628,39301,31492,23737,16597,12904,8791,9833,0
 7600200,2011,2,689594,42048,43172,49938,57257,68449,69209,63871,54476,50555,46194,39788,31883,24031,16803,13064,8900,9956,0
 7600200,2012,2,697761,42545,43681,50530,57937,69259,70028,64629,55122,51154,46741,40260,32260,24316,17002,13219,9005,10073,0
15200100,1998,1,179939,16832,18749,18184,16342,14379,13745,14450,14510,11653,9459,7763,6504,5242,4496,3219,2299,2113,0
15200100,1999,1,180990,16279,18736,18538,16582,13916,13548,14179,14891,12149,9773,7951,6711,5335,4559,3300,2349,2194,0
15200100,2000,1,181979,15730,18721,18895,16824,13452,13357,13912,15270,12640,10090,8145,6921,5426,4627,3381,2393,2195,0
15200100,2001,1,182877,15387,18102,18830,17093,13837,13215,13693,14922,13083,10532,8483,7099,5654,4691,3506,2463,2287,0
15200100,2002,1,183764,15046,17485,18767,17358,14219,13072,13472,14574,13524,10982,8822,7281,5865,4757,3629,2531,2380,0
15200100,2003,1,184689,14707,16868,18704,17635,14608,12926,13254,14227,13967,11423,9162,7462,6088,4829,3757,2596,2476,0
15200100,2004,1,185575,14367,16255,18631,17904,14987,12787,13038,13882,14409,11869,9496,7643,6301,4893,3883,2662,2568,0
15200100,2005,1,186479,14030,15634,18570,18172,15371,12638,12820,13537,14847,12316,9837,7823,6527,4961,4006,2728,2662,0
15200100,2006,1,187174,14009,15298,17956,18118,15609,12990,12691,13314,14505,12737,10263,8150,6702,5166,4073,2836,2757,0
15200100,2007,1,187828,13996,14960,17344,18059,15832,13333,12553,13094,14166,13157,10676,8477,6878,5368,4138,2940,2857,0
15200100,2008,1,188225,13806,14521,16728,18006,16067,13680,12420,12870,13818,13574,11101,8804,7054,5575,4203,3044,2954,0
15200100,2009,1,188846,13777,14156,16118,17935,16297,14027,12295,12652,13474,13988,11519,9128,7224,5782,4270,3151,3053,0
15200100,2010,1,189489,13753,13785,15501,17892,16526,14371,12159,12429,13126,14406,11947,9459,7404,5986,4337,3259,3149,0
15200100,2011,1,189803,13689,13749,15123,17285,16490,14549,12472,12305,12905,14067,12337,9853,7717,6152,4519,3317,3274,0
15200100,2012,1,190156,13631,13718,14752,16681,16442,14733,12794,12187,12686,13722,12738,10247,8031,6318,4702,3378,3396,0
15200100,1998,2,177988,16193,17954,17221,15574,13765,13438,14234,13768,11209,9105,8042,6766,5916,5183,3886,2897,2837,0
15200100,1999,2,179315,15751,17915,17525,15834,13396,13264,13962,14150,11659,9384,8213,6982,6033,5293,4015,2984,2955,0
15200100,2000,2,180636,15313,17873,17825,16086,13023,13088,13692,14530,12108,9666,8391,7198,6154,5403,4144,3075,3067,0
15200100,2001,2,181706,14957,17334,17781,16273,13372,12970,13514,14308,12519,10124,8635,7415,6331,5493,4304,3172,3204,0
15200100,2002,2,182777,14602,16799,17739,16459,13722,12852,13331,14079,12937,10578,8879,7638,6507,5585,4464,3267,3339,0
15200100,2003,2,183852,14242,16267,17695,16644,14063,12726,13151,13861,13353,11036,9123,7859,6683,5683,4624,3368,3474,0
15200100,2004,2,184922,13884,15733,17657,16824,14414,12610,12972,13642,13770,11494,9365,8072,6863,5769,4779,3464,3610,0
15200100,2005,2,185997,13529,15193,17612,17011,14756,12486,12796,13419,14183,11949,9610,8296,7045,5864,4945,3560,3743,0
15200100,2006,2,186912,13510,14836,17083,16977,14916,12812,12676,13236,13961,12354,10062,8541,7264,6035,5040,3709,3900,0
15200100,2007,2,187819,13498,14475,16550,16944,15078,13137,12560,13061,13737,12757,10505,8780,7476,6216,5137,3850,4058,0
15200100,2008,2,188479,13312,14027,16017,16908,15240,13460,12448,12880,13520,13161,10953,9032,7699,6392,5219,3997,4214,0
15200100,2009,2,189347,13286,13635,15486,16873,15404,13788,12330,12704,13295,13561,11402,9269,7916,6568,5317,4143,4370,0
