CONTINENT,AREA,REGISTRY,NAME,YEAR1,YEAR2
4,99, 4800046,Bahrain-Bahraini,1998,2012
4,99,15603000,China_HongKong,1983,2012
4,99,15600700,China_Jiashan,1993,2012
4,99,15600300,China_Shanghai,1988,2012
4,99,15601500,China_Harbin,1998,2012
4,99,15601400,China_Zhongshan,1998,2012
4,99,35600400,India_Chennai,1983,2012
4,99,37600000,Israel,1963,2012
4,99,37600051,Israel-Jews,1963,2012
4,99,37600055,Israel-non-Jews,1988,2012
4,99,39200200,Japan_Miyagi,1978,2010
4,99,39200300,Japan_Nagasaki,1988,2012
4,99,39200400,Japan_Osaka,1973,2012
4,99,39200900,Japan_Fukui,1998,2012
4,99,41000200,Korea_Busan,1998,2012
4,99,41000300,Korea_Seoul,1993,2012
4,99,41000800,Korea_Ulsan,1999,2012
4,99,41001000,Korea_Gwangju,1998,2012
4,99,41001100,Korea_Incheon,1998,2012
4,99,41400042,Kuwait-Kuwaiti,1998,2012
4,99,60800200,Philippines_Manila,1983,2012
4,99,76400200,Thailand_ChiangMai,1983,2012
4,99,76400300,Thailand_KhonKaen,1993,2012
4,99,76400400,Thailand_Songkhla,1993,2012
4,99,76400500,Thailand_Lampang,1993,2012
4,99,79200200,Turkey_Antalya,1998,2012
4,99,79200100,Turkey_Izmir,1998,2012
