REGISTRY,YEAR,SEX,CANCER,TOTAL,N0_4,N5_9,N10_14,N15_19,N20_24,N25_29,N30_34,N35_39,N40_44,N45_49,N50_54,N55_59,N60_64,N65_69,N70_74,N75_79,N80_84,N85+,N_UNK
 4800046,1998,1, 1,179,4,5,2,4,2,2,3,3,11,9,12,19,18,17,25,25,8,10,0
 4800046,1998,1, 2,7,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,1,0
 4800046,1998,1, 3,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0
 4800046,1998,1, 4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0
 4800046,1998,1, 5,8,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,0,0
 4800046,1998,1, 6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0
 4800046,1998,1, 7,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
 4800046,1998,1, 8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 4800046,1998,1, 9,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
 4800046,1998,1,10,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0
 4800046,1998,1,11,37,0,0,0,0,0,0,1,0,0,1,4,4,5,5,5,7,4,1,0
 4800046,1998,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 4800046,1998,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,14,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
 4800046,1998,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,19,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,1,1,0
 4800046,1998,1,20,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,21,8,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0
 4800046,1998,1,22,14,0,0,0,0,0,0,0,1,0,1,1,2,2,1,3,1,2,0,0
 4800046,1998,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,24,5,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 4800046,1998,1,25,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 4800046,1998,1,26,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 4800046,1998,1,27,7,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0,0
 4800046,1998,1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
 4800046,1998,1,29,20,1,1,2,1,0,0,1,0,1,4,1,2,2,1,0,2,0,1,0
 4800046,1998,2, 1,176,2,1,3,4,2,3,9,15,22,20,14,22,16,13,12,10,2,6,0
