Date;Region;Polluant;Industrielle;Fond;Trafic
2021-01-01;Grand Est;PM10;4797;19748;4408
2021-01-01;Grand Est;NO;2852;21555;8071
2021-01-01;Grand Est;NO2;2852;21537;8071
2021-01-01;Grand Est;O3;0;20250;744
2021-01-01;Grand Est;NOX as NO2;2852;21667;5868
2021-01-01;Grand Est;PM2.5;0;7856;3589
2021-01-01;Grand Est;C6H6;561;0;0
2021-01-01;Grand Est;SO2;2410;2854;0
2021-01-01;Grand Est;CO;0;0;742
2021-01-01;Provence-Alpes-Côte d'Azur;PM10;2943;12422;4455
2021-01-01;Provence-Alpes-Côte d'Azur;NO;0;12958;4331
2021-01-01;Provence-Alpes-Côte d'Azur;NO2;0;12958;4331
2021-01-01;Provence-Alpes-Côte d'Azur;O3;0;20795;0
2021-01-01;Provence-Alpes-Côte d'Azur;NOX as NO2;0;12958;4331
2021-01-01;Provence-Alpes-Côte d'Azur;PM2.5;2209;10297;2213
2021-01-01;Provence-Alpes-Côte d'Azur;C6H6;2172;0;0
2021-01-01;Provence-Alpes-Côte d'Azur;SO2;6474;1304;0
2021-01-01;Provence-Alpes-Côte d'Azur;CO;0;744;0
2021-01-01;Île-de-France;PM10;0;11836;6416
2021-01-01;Île-de-France;NO;0;20849;10433
2021-01-01;Île-de-France;NO2;0;20849;10426
2021-01-01;Île-de-France;O3;0;19672;0
2021-01-01;Île-de-France;NOX as NO2;0;20853;10433
2021-01-01;Île-de-France;PM2.5;0;7743;2138
2021-01-01;Île-de-France;SO2;2072;2136;0
2021-01-01;Île-de-France;CO;0;0;744
2021-01-01;Normandie;PM10;2828;9367;4420
2021-01-01;Normandie;NO;1480;8891;3043
2021-01-01;Normandie;NO2;1480;8891;4264
2021-01-01;Normandie;O3;0;15276;0
2021-01-01;Normandie;NOX as NO2;0;5188;826
2021-01-01;Normandie;PM2.5;0;3716;2930
2021-01-01;Normandie;C6H6;0;688;0
2021-01-01;Normandie;SO2;5150;6672;0
2021-01-01;Normandie;CO;1354;0;740
2021-01-01;Hauts-de-France;PM10;2111;18428;3437
2021-01-01;Hauts-de-France;NO;1313;16653;2450
2021-01-01;Hauts-de-France;NO2;1313;16653;2450
2021-01-01;Hauts-de-France;O3;0;19106;0
2021-01-01;Hauts-de-France;NOX as NO2;0;4173;555
