LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,Value,Flag Codes,Flags
AUS,Australia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4647.885031,,
AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3827.469567,,
BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3874.078248,,
CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4590.894775,,
DNK,Denmark,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4246.106521,,
FIN,Finland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3381.403387,,
FRA,France,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3691.608386,,
DEU,Germany,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4043.013358,,
GRC,Greece,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3097.304751,,
ISL,Iceland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3854.76103,,
IRL,Ireland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,2457.287797,,
ITA,Italy,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3630.217346,,
JPN,Japan,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3423.4527,,
KOR,Korea,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,600.506994,,
LUX,Luxembourg,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,5480.765098,,
MEX,Mexico,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,1821.231813,,
NLD,Netherlands,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4417.004927,,
NZL,New Zealand,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3922.035461,,
NOR,Norway,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3362.991744,,
PRT,Portugal,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,2076.990414,,
ESP,Spain,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,2767.318184,,
SWE,Sweden,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,4903.017997,,
CHE,Switzerland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,7366.417584,,
TUR,Turkey,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,1772.556071,,
GBR,United Kingdom,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1970,1970,USD,US Dollar,3635.107708,,
