Country,ISO,region,Score,Rank,interval
Argentina,ARG,AME,3,61,0.6
Australia,AUS,AP,8.7,11,0.7
Austria,AUT,WE/EU,7.5,17,0.8
Belarus,BLR,ECA,3.9,47,1.9
Belgium,BEL,WE/EU,5.4,28,1.4
Bolivia,BOL,AME,2.8,69,1.2
Botswana,BWA,SSA,6.1,23,2.2
Brazil,BRA,AME,4,46,0.4
Bulgaria,BGR,WE/EU,2.9,66,2.3
Cameroon,CMR,SSA,1.4,85,0.5
Canada,CAN,AME,9.2,6,0.5
Chile,CHL,AME,6.8,20,0.9
China,CHN,AP,3.5,52,0.7
Colombia,COL,AME,2.2,79,0.8
Costa Rica,CRI,AME,5.6,27,1.6
Czech Republic,CZE,WE/EU,4.8,37,0.8
Denmark,DNK,WE/EU,10,1,0.7
Ecuador,ECU,AME,2.3,77,1.5
Egypt,EGY,MENA,2.9,66,0.6
El Salvador,SLV,AME,3.6,51,2.3
Estonia,EST,WE/EU,5.7,26,0.5
Finland,FIN,WE/EU,9.6,2,0.5
France,FRA,WE/EU,6.7,21,0.6
Germany,DEU,WE/EU,7.9,15,0.4
Ghana,GHA,SSA,3.3,55,1
Greece,GRC,WE/EU,4.9,36,1.7
Guatemala,GTM,AME,3.1,59,2.5
Honduras,HND,AME,1.7,83,0.5
Hong Kong,HKG,AP,7.8,16,1.1
Hungary,HUN,WE/EU,5,33,1.2
Iceland,ISL,WE/EU,9.3,5,0.9
India,IND,AP,2.9,66,0.6
Indonesia,IDN,AP,2,80,0.9
Ireland,IRL,WE/EU,8.2,14,1.4
Israel,ISR,MENA,7.1,19,1.4
Italy,ITA,WE/EU,4.6,39,0.8
Ivory Coast,CIV,AF,3.1,59,1.7
Jamaica,JAM,AME,3.8,49,0.4
Japan,JPN,AP,5.8,25,1.6
Jordan,JOR,MENA,4.7,38,1.1
Kenya,KEN,SSA,2.5,74,0.6
Latvia,LVA,WE/EU,2.7,71,1.9
Luxembourg,LUX,WE/EU,8.7,11,0.9
Malawi,MWI,SSA,4.1,45,0.6
Malaysia,MYS,AP,5.3,29,0.4
Mauritius,MUS,SSA,5,33,0.8
Mexico,MEX,AME,3.3,55,0.6
Morocco,MAR,MENA,3.7,50,1.8
Namibia,NAM,SSA,5.3,29,1
Netherlands,NLD,WE/EU,9,8,0.7
New Zealand,NZL,AP,9.4,4,0.7
Nicaragua,NIC,AME,3,61,2.5
Nigeria,NGA,SSA,1.9,81,0.5
Norway,NOR,WE/EU,9,8,0.7
Pakistan,PAK,AP,2.7,71,1.4
Paraguay,PRY,AME,1.5,84,0.5
Peru,PER,AME,4.5,41,0.8
Philippines,PHL,AP,3.3,55,1.1
Poland,POL,WE/EU,4.6,39,1.6
Portugal,PRT,WE/EU,6.5,22,1
Romania,ROU,WE/EU,3,61,1.5
Russia,RUS,ECA,2.4,76,0.9
Senegal,SEN,SSA,3.3,55,0.8
Singapore,SGP,AP,9.1,7,1
Slovak Republic,SVK,WE/EU,3.9,47,1.6
South Africa,ZAF,SSA,5.2,32,0.8
South Korea,KOR,AP,4.2,43,1.2
Spain,ESP,WE/EU,6.1,23,1.3
Sweden,SWE,WE/EU,9.5,3,0.5
Switzerland,CHE,WE/EU,8.9,10,0.6
Taiwan,TWN,AP,5.3,29,0.7
Tanzania,TZA,SSA,1.9,81,1.1
Thailand,THA,AP,3,61,0.7
Tunisia,TUN,MENA,5,33,2.1
Turkey,TUR,ECA,3.4,54,1
Uganda,UGA,SSA,2.6,73,0.8
Ukraine,UKR,ECA,2.8,69,1.6
United Kingdom,GBR,WE/EU,8.7,11,0.5
United States,USA,AME,7.5,17,0.9
Uruguay,URY,AME,4.3,42,0.9
Venezuela,VEN,AME,2.3,77,0.8
Vietnam,VNM,AP,2.5,74,0.5
Yugoslavia,YUG,ECA,3,61,1.5
Zambia,ZMB,SSA,3.5,52,1.6
Zimbabwe,ZWE,SSA,4.2,43,2.2
