Country,ISO,region,Rank,Score,interval
Albania,ALB,ECA,84,2.3,0.3
Argentina,ARG,AME,71,3,0.8
Armenia,ARM,ECA,80,2.5,0.4
Australia,AUS,AP,12,8.7,0.7
Austria,AUT,WE/EU,17,7.6,0.8
Azerbaijan,AZE,ECA,96,1.7,0.6
Belarus,BLR,ECA,58,3.4,1.4
Belgium,BEL,WE/EU,29,5.3,1.3
Bolivia,BOL,AME,80,2.5,1.1
Botswana,BWA,SSA,24,6.1,1.7
Brazil,BRA,AME,45,4.1,0.8
Bulgaria,BGR,WE/EU,63,3.3,1.4
Cameroon,CMR,SSA,99,1.5,0.5
Canada,CAN,AME,5,9.2,0.5
Chile,CHL,AME,19,6.9,1
China,CHN,AP,58,3.4,0.7
Colombia,COL,AME,72,2.9,0.5
Costa Rica,CRI,AME,32,5.1,1.5
Croatia,HRV,WE/EU,74,2.7,0.9
Czech Republic,CZE,WE/EU,39,4.6,0.8
Denmark,DNK,WE/EU,1,10,0.8
Ecuador,ECU,AME,82,2.4,1.3
Egypt,EGY,MENA,63,3.3,0.6
El Salvador,SLV,AME,49,3.9,1.9
Estonia,EST,WE/EU,27,5.7,1.2
Finland,FIN,WE/EU,2,9.8,0.5
France,FRA,WE/EU,22,6.6,1
Georgia,GEO,ECA,84,2.3,0.7
Germany,DEU,WE/EU,14,8,0.5
Ghana,GHA,SSA,63,3.3,1
Greece,GRC,WE/EU,36,4.9,1.7
Guatemala,GTM,AME,68,3.2,2.5
Honduras,HND,AME,94,1.8,0.5
Hong Kong,HKG,AP,15,7.7,1.6
Hungary,HUN,WE/EU,31,5.2,1.1
Iceland,ISL,WE/EU,5,9.2,1.2
India,IND,AP,72,2.9,0.6
Indonesia,IDN,AP,96,1.7,0.9
Ireland,IRL,WE/EU,15,7.7,1.9
Israel,ISR,MENA,20,6.8,1.3
Italy,ITA,WE/EU,38,4.7,0.6
Ivory Coast,CIV,AF,75,2.6,1
Jamaica,JAM,AME,50,3.8,0.4
Japan,JPN,AP,25,6,1.6
Jordan,JOR,MENA,41,4.4,0.8
Kazakhstan,KAZ,ECA,84,2.3,1.3
Kenya,KEN,SSA,90,2,0.5
Kyrgyz Republic,KGZ,ECA,87,2.2,0.4
Latvia,LVA,WE/EU,58,3.4,1.3
Lithuania,LTU,WE/EU,50,3.8,0.5
Luxembourg,LUX,WE/EU,11,8.8,0.9
Macedonia,MKD,ECA,63,3.3,1.2
Malawi,MWI,SSA,45,4.1,0.5
Malaysia,MYS,AP,32,5.1,0.5
Mauritius,MUS,SSA,36,4.9,0.7
Mexico,MEX,AME,58,3.4,0.5
Moldova,MDA,ECA,75,2.6,0.8
Mongolia,MNG,AP,43,4.3,1
Morocco,MAR,MENA,45,4.1,1.7
Mozambique,MOZ,SSA,56,3.5,2.2
Namibia,NAM,SSA,29,5.3,0.9
Netherlands,NLD,WE/EU,8,9,0.5
New Zealand,NZL,AP,3,9.4,0.8
Nicaragua,NIC,AME,70,3.1,2.5
Nigeria,NGA,SSA,98,1.6,0.8
Norway,NOR,WE/EU,9,8.9,0.8
Pakistan,PAK,AP,87,2.2,0.7
Paraguay,PRY,AME,90,2,0.8
Peru,PER,AME,40,4.5,0.8
Philippines,PHL,AP,54,3.6,1.4
Poland,POL,WE/EU,44,4.2,0.8
Portugal,PRT,WE/EU,21,6.7,1
Romania,ROU,WE/EU,63,3.3,1
Russia,RUS,ECA,82,2.4,1
Senegal,SEN,SSA,58,3.4,0.8
Singapore,SGP,AP,7,9.1,0.9
Slovak Republic,SVK,WE/EU,53,3.7,1.5
Slovenia,SVN,WE/EU,25,6,1.3
South Africa,ZAF,SSA,34,5,0.8
South Korea,KOR,AP,50,3.8,0.9
Spain,ESP,WE/EU,22,6.6,0.7
Sweden,SWE,WE/EU,3,9.4,0.6
Switzerland,CHE,WE/EU,9,8.9,0.6
Taiwan,TWN,AP,28,5.6,0.9
Tanzania,TZA,SSA,93,1.9,1.1
Thailand,THA,AP,68,3.2,0.7
Tunisia,TUN,MENA,34,5,1.9
Turkey,TUR,ECA,54,3.6,1
Uganda,UGA,SSA,87,2.2,0.7
Ukraine,UKR,ECA,75,2.6,1.4
United Kingdom,GBR,WE/EU,13,8.6,0.5
Uruguay,URY,AME,41,4.4,0.9
USA,USA,AME,18,7.5,0.8
Uzbekistan,UZB,ECA,94,1.8,0.4
Venezuela,VEN,AME,75,2.6,0.8
Vietnam,VNM,AP,75,2.6,0.5
Yugoslavia,YUG,ECA,90,2,1.1
Zambia,ZMB,SSA,56,3.5,1.5
Zimbabwe,ZWE,SSA,45,4.1,1.4
