Rank,Country,Region,Score,ISO,Surveys Used
1,Denmark,EU,90,DNK,7
1,Finland,EU,90,FIN,7
1,New Zealand,AP,90,NZL,7
4,Sweden,EU,88,SWE,7
5,Singapore,AP,87,SGP,9
6,Switzerland,EU,86,CHE,6
7,Australia,AP,85,AUS,8
7,Norway,EU,85,NOR,7
9,Canada,AM,84,CAN,7
9,Netherlands,EU,84,NLD,7
11,Iceland,EU,82,ISL,6
12,Luxembourg,EU,80,LUX,6
13,Germany,EU,79,DEU,8
14,Hong Kong,AP,77,HKG,8
15,Barbados,AM,76,BRB,3
16,Belgium,EU,75,BEL,7
17,Japan,AP,74,JPN,9
17,United Kingdom,EU,74,GBR,8
19,United States,AM,73,USA,9
20,Chile,AM,72,CHL,9
20,Uruguay,AM,72,URY,6
22,Bahamas,AM,71,BHS,3
22,France,EU,71,FRA,8
22,Saint Lucia,AM,71,LCA,3
25,Austria,EU,69,AUT,8
25,Ireland,EU,69,IRL,6
27,Qatar,ME,68,QAT,6
27,United Arab Emirates,ME,68,ARE,7
29,Cyprus,EU,66,CYP,4
30,Botswana,AF,65,BWA,7
30,Spain,EU,65,ESP,7
32,Estonia,EU,64,EST,8
33,Bhutan,AP,63,BTN,3
33,Portugal,EU,63,PRT,7
33,Puerto Rico,AM,63,PRI,3
36,Saint Vincent and the Grenadines,AM,62,VCT,3
37,Slovenia,EU,61,SVN,8
37,Taiwan,AP,61,TWN,7
39,Cape Verde,AF,60,CPV,4
39,Israel,ME,60,ISR,5
41,Dominica,AM,58,DMA,3
41,Poland,EU,58,POL,10
43,Malta,EU,57,MLT,4
43,Mauritius,AF,57,MUS,5
45,Korea (South),AP,56,KOR,10
46,Brunei,AP,55,BRN,3
46,Hungary,EU,55,HUN,10
48,Costa Rica,AM,54,CRI,5
48,Lithuania,EU,54,LTU,7
50,Rwanda,AF,53,RWA,5
51,Georgia,EE,52,GEO,6
51,Seychelles,AF,52,SYC,4
53,Bahrain,ME,51,BHR,5
54,Czech Republic,EU,49,CZE,10
54,Latvia,EU,49,LVA,6
54,Malaysia,AP,49,MYS,9
54,Turkey,EE,49,TUR,9
58,Cuba,AM,48,CUB,4
58,Jordan,ME,48,JOR,7
58,Namibia,AF,48,NAM,6
61,Oman,ME,47,OMN,5
62,Croatia,EE,46,HRV,8
62,Slovakia,EU,46,SVK,8
64,Ghana,AF,45,GHA,9
64,Lesotho,AF,45,LSO,5
66,Kuwait,ME,44,KWT,5
66,Romania,EU,44,ROU,8
66,Saudi Arabia,ME,44,SAU,5
69,Brazil,AM,43,BRA,8
