Rank,Country,ISO,IFS Code,Region,Country Rank,Score
1,Denmark,DNK,128,EU,1,91
1,New Zealand,NZL,196,AP,1,91
3,Finland,FIN,172,EU,3,89
3,Sweden,SWE,144,EU,3,89
5,Norway,NOR,142,EU,5,86
5,Singapore,SGP,576,AP,5,86
7,Switzerland,CHE,146,EU,7,85
8,Netherlands,NLD,138,EU,8,83
9,Australia,AUS,193,AP,9,81
9,Canada,CAN,156,AM,9,81
11,Luxembourg,LUX,137,EU,11,80
12,Germany,DEU,134,EU,12,78
12,Iceland,ISL,176,EU,12,78
14,United Kingdom,GBR,112,EU,14,76
15,Barbados,BRB,316,AM,15,75
15,Belgium,BEL,124,EU,15,75
15,Hong Kong,HKG,532,AP,15,75
18,Japan,JPN,158,AP,18,74
19,Uruguay,URY,298,AM,19,73
19,United States,USA,111,AM,19,73
21,Ireland,IRL,178,EU,21,72
22,Bahamas,BHS,313,AM,22,71
22,Chile,CHL,228,AM,22,71
22,France,FRA,132,EU,22,71
22,Saint Lucia,LCA,362,AM,22,71
26,Austria,AUT,122,EU,26,69
26,United Arab Emirates,ARE,466,ME,26,69
28,Estonia,EST,939,EU,28,68
28,Qatar,QAT,453,ME,28,68
30,Botswana,BWA,616,AF,30,64
31,Bhutan,BTN,514,AP,31,63
31,Cyprus,CYP,423,EU,31,63
33,Portugal,PRT,182,EU,33,62
33,Puerto Rico,PRI,AM,33,62
33,Saint Vincent and the Grenadines,VCT,364,AM,33,62
36,Israel,ISR,436,ME,36,61
36,Taiwan,TWN,528,AP,36,61
38,Brunei,BRN,516,AP,38,60
38,Poland,POL,964,EU,38,60
40,Spain,ESP,184,EU,40,59
41,Cape Verde,CPV,624,AF,41,58
41,Dominica,DMA,321,AM,41,58
43,Lithuania,LTU,946,EU,43,57
43,Slovenia,SVN,961,EU,43,57
45,Malta,MLT,181,EU,45,56
46,Korea (South),KOR,542,AP,46,55
47,Hungary,HUN,944,EU,47,54
47,Seychelles,SYC,718,AF,47,54
49,Costa Rica,CRI,238,AM,49,53
49,Latvia,LVA,941,EU,49,53
49,Rwanda,RWA,714,AF,49,53
52,Mauritius,MUS,684,AF,52,52
53,Malaysia,MYS,548,AP,53,50
53,Turkey,TUR,186,EE,53,50
55,Georgia,GEO,915,EE,55,49
55,Lesotho,LSO,666,AF,55,49
57,Bahrain,BHR,419,ME,57,48
57,Croatia,HRV,960,EU,57,48
57,Czech Republic,CZE,935,EU,57,48
57,Namibia,NAM,728,AF,57,48
61,Oman,OMN,449,ME,61,47
61,Slovakia,SVK,936,EU,61,47
63,Cuba,CUB,AM,63,46
63,Ghana,GHA,652,AF,63,46
63,Saudi Arabia,SAU,456,ME,63,46
66,Jordan,JOR,439,ME,66,45
67,Macedonia,MKD,962,EE,67,44
67,Montenegro,MON,943,EE,67,44
69,Italy,ITA,136,EU,69,43
69,Kuwait,KWT,443,ME,69,43
69,Romania,ROM,968,EU,69,43
72,Bosnia and Herzegovina,BIH,963,EE,72,42
72,Brazil,BRA,223,AM,72,42
72,Sao Tome and Principe,STP,716,AF,72,42
72,Serbia,SCG,965,EE,72,42
72,South Africa,ZAF,199,AF,72,42
77,Bulgaria,BGR,918,EU,77,41
77,Senegal,SEN,722,AF,77,41
77,Tunisia,TUN,744,ME,77,41
80,China,CHN,924,AP,80,40
80,Greece,GRC,174,EU,80,40
82,Swaziland,SWZ,734,AF,82,39
83,Burkina Faso,BFA,748,AF,83,38
83,El Salvador,SLV,253,AM,83,38
83,Jamaica,JAM,343,AM,83,38
83,Liberia,LBR,668,AF,83,38
83,Mongolia,MNG,948,AP,83,38
83,Peru,PER,293,AM,83,38
83,Trinidad and Tobago,TTO,369,AM,83,38
83,Zambia,ZMB,754,AF,83,38
91,Malawi,MWI,676,AF,91,37
91,Morocco,MAR,686,ME,91,37
