Country,ISO,Score,CPI 2015,CPI Score difference (2016-2015),Rank,CPI 2015 Rank,Rank difference (2015-2016)
Qatar,QAT,61,71,-10,31,22,-9
Bahrain,BHR,43,51,-8,70,50,-20
Kuwait,KWT,41,49,-8,75,55,-20
Cyprus,CYP,55,61,-6,47,32,-15
Saudi Arabia,SAU,46,52,-6,62,48,-14
Malta,MLT,55,60,-5,47,34,-13
Jordan,JOR,48,53,-5,57,45,-12
Lesotho,LSO,39,44,-5,83,61,-22
The FYR of Macedonia,MKD,37,42,-5,90,66,-24
Syria,SYR,13,18,-5,173,154,-19
Luxembourg,LUX,81,85,-4,10,7,-3
Chile,CHL,66,70,-4,24,23,-1
United Arab Emirates,ARE,66,70,-4,24,23,-1
Ghana,GHA,43,47,-4,70,56,-14
Trinidad and Tobago,TTO,35,39,-4,101,72,-29
Djibouti,DJI,30,34,-4,123,98,-25
Mauritania,MRT,27,31,-4,142,111,-31
Mozambique,MOZ,27,31,-4,142,111,-31
Central African Republic,CAF,20,24,-4,159,145,-14
Yemen,YEM,14,18,-4,170,154,-16
South Sudan,SSD,11,15,-4,175,163,-12
Norway,NOR,85,88,-3,6,5,-1
Japan,JPN,72,75,-3,20,18,-2
Uruguay,URY,71,74,-3,21,21,0
Botswana,BWA,60,63,-3,35,29,-6
Hungary,HUN,48,51,-3,57,50,-7
El Salvador,SLV,36,39,-3,95,72,-23
Thailand,THA,35,38,-3,101,76,-25
Mali,MLI,32,35,-3,116,95,-21
Moldova,MDA,30,33,-3,123,102,-21
Republic of Congo,COG,20,23,-3,159,146,-13
The United States of America,USA,74,76,-2,18,16,-2
Ireland,IRL,73,75,-2,19,18,-1
Portugal,PRT,62,64,-2,29,28,-1
Croatia,HRV,49,51,-2,55,50,-5
Greece,GRC,44,46,-2,69,58,-11
Jamaica,JAM,39,41,-2,83,69,-14
Algeria,DZA,34,36,-2,108,88,-20
Egypt,EGY,34,36,-2,108,88,-20
Armenia,ARM,33,35,-2,113,95,-18
Dominican Republic,DOM,31,33,-2,120,102,-18
Gambia,GMB,26,28,-2,145,123,-22
Madagascar,MDG,26,28,-2,145,123,-22
Comoros,COM,24,26,-2,153,136,-17
Chad,TCD,20,22,-2,159,147,-12
Libya,LBY,14,16,-2,170,161,-9
New Zealand,NZL,90,91,-1,1,1,0
Denmark,DNK,90,91,-1,1,1,0
Finland,FIN,89,90,-1,3,3,0
Sweden,SWE,88,89,-1,4,4,0
Singapore,SGP,84,85,-1,7,7,0
Netherlands,NLD,83,84,-1,8,9,1
Canada,CAN,82,83,-1,9,10,1
Iceland,ISL,78,79,-1,14,13,-1
Austria,AUT,75,76,-1,17,16,-1
France,FRA,69,70,-1,23,23,0
Poland,POL,62,63,-1,29,29,0
Taiwan,TWN,61,62,-1,31,31,0
Czech Republic,CZE,55,56,-1,47,38,-9
Korea (South),KOR,53,54,-1,52,43,-9
Namibia,NAM,52,53,-1,53,45,-8
Malaysia,MYS,49,50,-1,55,54,-1
Turkey,TUR,41,42,-1,75,66,-9
Panama,PAN,38,39,-1,87,72,-15
Mongolia,MNG,38,39,-1,87,72,-15
Sri Lanka,LKA,36,37,-1,95,83,-12
Benin,BEN,36,37,-1,95,83,-12
Peru,PER,35,36,-1,101,88,-13
Bolivia,BOL,33,34,-1,113,98,-15
Ecuador,ECU,31,32,-1,120,106,-14
Honduras,HND,30,31,-1,123,111,-12
Mexico,MEX,30,31,-1,123,111,-12
Nicaragua,NIC,26,27,-1,145,130,-15
Cameroon,CMR,26,27,-1,145,130,-15
