Country,ISO,Region,Score,Rank
New Zealand,NZL,AP,89,1
Denmark,DNK,WE/EU,88,2
Finland,FIN,WE/EU,85,3
Norway,NOR,WE/EU,85,3
Switzerland,CHE,WE/EU,85,3
Singapore,SGP,AP,84,6
Sweden,SWE,WE/EU,84,6
Canada,CAN,AME,82,8
Luxembourg,LUX,WE/EU,82,8
Netherlands,NLD,WE/EU,82,8
United Kingdom,GBR,WE/EU,82,8
Germany,DEU,WE/EU,81,12
Australia,AUS,AP,77,13
Hong Kong,HKG,AP,77,13
Iceland,ISL,WE/EU,77,13
Austria,AUT,WE/EU,75,16
Belgium,BEL,WE/EU,75,16
United States of America,USA,AME,75,16
Ireland,IRL,WE/EU,74,19
Japan,JPN,AP,73,20
Estonia,EST,WE/EU,71,21
United Arab Emirates,ARE,MENA,71,21
France,FRA,WE/EU,70,23
Uruguay,URY,AME,70,23
Barbados,BRB,AME,68,25
Bhutan,BTN,AP,67,26
Chile,CHL,AME,67,26
Bahamas,BHS,AME,65,28
Portugal,PRT,WE/EU,63,29
Qatar,QAT,MENA,63,29
Taiwan,TWN,AP,63,29
Brunei Darussalam,BRN,AP,62,32
Israel,ISR,MENA,62,32
Botswana,BWA,SSA,61,34
Slovenia,SVN,WE/EU,61,34
Poland,POL,WE/EU,60,36
Seychelles,SYC,SSA,60,36
Costa Rica,CRI,AME,59,38
Lithuania,LTU,WE/EU,59,38
Latvia,LVA,WE/EU,58,40
Saint Vincent and the Grenadines,VCT,AME,58,40
Cyprus,CYP,WE/EU,57,42
Czech Republic,CZE,WE/EU,57,42
Dominica,DMA,AME,57,42
Spain,ESP,WE/EU,57,42
Georgia,GEO,ECA,56,46
Malta,MLT,WE/EU,56,46
Cabo Verde,CPV,SSA,55,48
Rwanda,RWA,SSA,55,48
Saint Lucia,LCA,AME,55,48
Korea South,KOR,AP,54,51
Grenada,GRD,AME,52,52
Namibia,NAM,SSA,51,53
Italy,ITA,WE/EU,50,54
Mauritius,MUS,SSA,50,54
Slovakia,SVK,WE/EU,50,54
Croatia,HRV,WE/EU,49,57
Saudi Arabia,SAU,MENA,49,57
Greece,GRC,WE/EU,48,59
Jordan,JOR,MENA,48,59
Romania,ROU,WE/EU,48,59
Cuba,CUB,AME,47,62
Malaysia,MYS,AP,47,62
Montenegro,MNE,ECA,46,64
Sao Tome and Principe,STP,SSA,46,64
