Country,ISO,Region,Score,Rank,standard error ,Number of sources,
Denmark,DNK,WE/EU,87,1,2,54,8
New Zealand,NZL,AP,87,1,2,29,8
Finland,FIN,WE/EU,86,3,2,92,8
Singapore,SGP,AP,85,4,2,05,9
Sweden,SWE,WE/EU,85,4,1,98,8
Switzerland,CHE,WE/EU,85,4,1,58,7
Norway,NOR,WE/EU,84,7,1,65,7
Netherlands,NLD,WE/EU,82,8,2,25,8
Germany,DEU,WE/EU,80,9,3,31,8
Luxembourg,LUX,WE/EU,80,9,1,95,7
Iceland,ISL,WE/EU,78,11,4,63,7
Australia,AUS,AP,77,12,1,32,9
Austria,AUT,WE/EU,77,12,1,57,8
Canada,CAN,AME,77,12,2,80,8
United Kingdom,GBR,WE/EU,77,12,3,34,8
Hong Kong,HKG,AP,76,16,3,15,8
Belgium,BEL,WE/EU,75,17,1,09,7
Estonia,EST,WE/EU,74,18,1,21,10
Ireland,IRL,WE/EU,74,18,3,61,7
Japan,JPN,AP,73,20,3,51,9
United Arab Emirates,ARE,MENA,71,21,5,13,8
Uruguay,URY,AME,71,21,2,47,7
France,FRA,WE/EU,69,23,2,28,8
United States of America,USA,AME,69,23,4,12,9
Bhutan,BTN,AP,68,25,2,76,4
Chile,CHL,AME,67,26,2,55,9
Seychelles,SYC,SSA,66,27,3,40,4
Taiwan,TWN,AP,65,28,3,03,8
Bahamas,BHS,AME,64,29,5,83,3
Barbados,BRB,AME,62,30,6,06,4
Portugal,PRT,WE/EU,62,30,2,82,8
Qatar,QAT,MENA,62,30,8,00,7
Spain,ESP,WE/EU,62,30,3,17,8
Botswana,BWA,SSA,61,34,3,73,7
Brunei Darussalam,BRN,AP,60,35,6,12,3
Israel,ISR,MENA,60,35,1,99,7
Lithuania,LTU,WE/EU,60,35,2,32,9
Slovenia,SVN,WE/EU,60,35,2,28,10
Korea South,KOR,AP,59,39,2,44,10
Saint Vincent and the Grenadines,VCT,AME,59,39,4,14,3
Cabo Verde,CPV,SSA,58,41,4,30,4
Cyprus,CYP,WE/EU,58,41,3,41,7
Poland,POL,WE/EU,58,41,1,85,10
Costa Rica,CRI,AME,56,44,3,97,7
Czech Republic,CZE,WE/EU,56,44,1,87,10
Georgia,GEO,ECA,56,44,3,84,5
Latvia,LVA,WE/EU,56,44,3,53,9
Dominica,DMA,AME,55,48,2,16,3
Saint Lucia,LCA,AME,55,48,4,15,3
Malta,MLT,WE/EU,54,50,1,55,6
Grenada,GRD,AME,53,51,4,37,3
Italy,ITA,WE/EU,53,51,3,22,8
Malaysia,MYS,AP,53,51,2,29,9
Rwanda,RWA,SSA,53,51,4,75,7
Saudi Arabia,SAU,MENA,53,51,7,56,7
Mauritius,MUS,SSA,52,56,3,12,6
Namibia,NAM,SSA,52,56,3,13,7
Oman,OMN,MENA,52,56,9,78,6
Slovakia,SVK,WE/EU,50,59,4,57,9
Cuba,CUB,AME,48,60,1,87,5
Greece,GRC,WE/EU,48,60,2,57,8
Jordan,JOR,MENA,48,60,3,29,8
Croatia,HRV,WE/EU,47,63,2,42,10
Sao Tome and Principe,STP,SSA,46,64,5,36,4
Vanuatu,VUT,AP,46,64,6,38,3
Argentina,ARG,AME,45,66,3,29,8
Belarus,BLR,ECA,45,66,4,20,7
Montenegro,MNE,ECA,45,66,4,84,5
Senegal,SEN,SSA,45,66,2,06,9
Hungary,HUN,WE/EU,44,70,2,58,10
Romania,ROU,WE/EU,44,70,2,76,10
South Africa,ZAF,SSA,44,70,3,44,8
Suriname,SUR,AME,44,70,4,76,4
Bulgaria,BGR,WE/EU,43,74,2,77,10
Jamaica,JAM,AME,43,74,3,58,7
Tunisia,TUN,MENA,43,74,3,94,7
