country;variable;percentile;year;value;age;pop
AT;shweal992j;p86p100;1995;0.6821;992;j
AT;shweal992j;p86p100;1996;0.6826;992;j
AT;shweal992j;p86p100;1997;0.6844;992;j
AT;shweal992j;p86p100;1998;0.686;992;j
AT;shweal992j;p86p100;1999;0.6833;992;j
AT;shweal992j;p86p100;2000;0.6855;992;j
AT;shweal992j;p86p100;2001;0.6829;992;j
AT;shweal992j;p86p100;2002;0.6855;992;j
AT;shweal992j;p86p100;2003;0.6887;992;j
AT;shweal992j;p86p100;2004;0.6864;992;j
AT;shweal992j;p86p100;2005;0.6906;992;j
AT;shweal992j;p86p100;2006;0.6935;992;j
AT;shweal992j;p86p100;2007;0.6899;992;j
AT;shweal992j;p86p100;2008;0.6917;992;j
AT;shweal992j;p86p100;2009;0.688;992;j
AT;shweal992j;p86p100;2010;0.6894;992;j
AT;shweal992j;p86p100;2011;0.6845;992;j
AT;shweal992j;p86p100;2012;0.6823;992;j
AT;shweal992j;p86p100;2013;0.6795;992;j
AT;shweal992j;p86p100;2014;0.6767;992;j
AT;shweal992j;p86p100;2015;0.6793;992;j
AT;shweal992j;p86p100;2016;0.6791;992;j
AT;shweal992j;p86p100;2017;0.683;992;j
AT;shweal992j;p86p100;2018;0.6842;992;j
AT;shweal992j;p86p100;2019;0.6843;992;j
AT;shweal992j;p86p100;2020;0.6843;992;j
AT;shweal992j;p86p100;2021;0.6882;992;j
AT;shweal992j;p94p95;1995;0.0356;992;j
AT;shweal992j;p94p95;1996;0.0356;992;j
AT;shweal992j;p94p95;1997;0.0356;992;j
AT;shweal992j;p94p95;1998;0.0356;992;j
AT;shweal992j;p94p95;1999;0.0354;992;j
AT;shweal992j;p94p95;2000;0.0356;992;j
AT;shweal992j;p94p95;2001;0.0356;992;j
AT;shweal992j;p94p95;2002;0.0356;992;j
AT;shweal992j;p94p95;2003;0.0356;992;j
AT;shweal992j;p94p95;2004;0.0354;992;j
AT;shweal992j;p94p95;2005;0.0353;992;j
AT;shweal992j;p94p95;2006;0.0353;992;j
AT;shweal992j;p94p95;2007;0.0353;992;j
AT;shweal992j;p94p95;2008;0.0351;992;j
AT;shweal992j;p94p95;2009;0.0352;992;j
AT;shweal992j;p94p95;2010;0.0352;992;j
AT;shweal992j;p94p95;2011;0.0338;992;j
AT;shweal992j;p94p95;2012;0.0325;992;j
AT;shweal992j;p94p95;2013;0.0311;992;j
AT;shweal992j;p94p95;2014;0.0303;992;j
AT;shweal992j;p94p95;2015;0.0307;992;j
AT;shweal992j;p94p95;2016;0.0311;992;j
AT;shweal992j;p94p95;2017;0.0313;992;j
AT;shweal992j;p94p95;2018;0.0311;992;j
AT;shweal992j;p94p95;2019;0.0311;992;j
AT;shweal992j;p94p95;2020;0.0311;992;j
AT;shweal992j;p94p95;2021;0.0307;992;j
AT;shweal992j;p99.97p99.98;1995;0.0055;992;j
AT;shweal992j;p99.97p99.98;1996;0.0055;992;j
AT;shweal992j;p99.97p99.98;1997;0.0056;992;j
AT;shweal992j;p99.97p99.98;1998;0.0057;992;j
AT;shweal992j;p99.97p99.98;1999;0.0055;992;j
AT;shweal992j;p99.97p99.98;2000;0.0056;992;j
AT;shweal992j;p99.97p99.98;2001;0.0056;992;j
AT;shweal992j;p99.97p99.98;2002;0.0057;992;j
AT;shweal992j;p99.97p99.98;2003;0.0058;992;j
AT;shweal992j;p99.97p99.98;2004;0.0056;992;j
AT;shweal992j;p99.97p99.98;2005;0.0057;992;j
AT;shweal992j;p99.97p99.98;2006;0.0058;992;j
AT;shweal992j;p99.97p99.98;2007;0.0057;992;j
AT;shweal992j;p99.97p99.98;2008;0.0056;992;j
AT;shweal992j;p99.97p99.98;2009;0.0055;992;j
AT;shweal992j;p99.97p99.98;2010;0.0056;992;j
AT;shweal992j;p99.97p99.98;2011;0.008;992;j
AT;shweal992j;p99.97p99.98;2012;0.0091;992;j
AT;shweal992j;p99.97p99.98;2013;0.0102;992;j
AT;shweal992j;p99.97p99.98;2014;0.011;992;j
AT;shweal992j;p99.97p99.98;2015;0.0111;992;j
AT;shweal992j;p99.97p99.98;2016;0.011;992;j
AT;shweal992j;p99.97p99.98;2017;0.011;992;j
AT;shweal992j;p99.97p99.98;2018;0.0108;992;j
AT;shweal992j;p99.97p99.98;2019;0.0108;992;j
AT;shweal992j;p99.97p99.98;2020;0.0108;992;j
AT;shweal992j;p99.97p99.98;2021;0.0107;992;j
AT;shweal992j;p28p100;1995;1.0323;992;j
AT;shweal992j;p28p100;1996;1.0323;992;j
AT;shweal992j;p28p100;1997;1.0323;992;j
AT;shweal992j;p28p100;1998;1.0323;992;j
AT;shweal992j;p28p100;1999;1.0322;992;j
AT;shweal992j;p28p100;2000;1.0323;992;j
AT;shweal992j;p28p100;2001;1.0323;992;j
AT;shweal992j;p28p100;2002;1.0323;992;j
AT;shweal992j;p28p100;2003;1.0322;992;j
AT;shweal992j;p28p100;2004;1.0321;992;j
AT;shweal992j;p28p100;2005;1.0319;992;j
AT;shweal992j;p28p100;2006;1.032;992;j
AT;shweal992j;p28p100;2007;1.032;992;j
AT;shweal992j;p28p100;2008;1.0318;992;j
AT;shweal992j;p28p100;2009;1.0319;992;j
AT;shweal992j;p28p100;2010;1.0319;992;j
AT;shweal992j;p28p100;2011;1.029;992;j
AT;shweal992j;p28p100;2012;1.0253;992;j
AT;shweal992j;p28p100;2013;1.0208;992;j
AT;shweal992j;p28p100;2014;1.0182;992;j
AT;shweal992j;p28p100;2015;1.0176;992;j
AT;shweal992j;p28p100;2016;1.0162;992;j
AT;shweal992j;p28p100;2017;1.0129;992;j
AT;shweal992j;p28p100;2018;1.0129;992;j
AT;shweal992j;p28p100;2019;1.0129;992;j
AT;shweal992j;p28p100;2020;1.0129;992;j
AT;shweal992j;p28p100;2021;1.0127;992;j
AT;shweal992j;p46p47;1995;0.0032;992;j
AT;shweal992j;p46p47;1996;0.0032;992;j
AT;shweal992j;p46p47;1997;0.0032;992;j
AT;shweal992j;p46p47;1998;0.0031;992;j
AT;shweal992j;p46p47;1999;0.0032;992;j
AT;shweal992j;p46p47;2000;0.0031;992;j
AT;shweal992j;p46p47;2001;0.0032;992;j
AT;shweal992j;p46p47;2002;0.0031;992;j
AT;shweal992j;p46p47;2003;0.0031;992;j
AT;shweal992j;p46p47;2004;0.0031;992;j
AT;shweal992j;p46p47;2005;0.0031;992;j
AT;shweal992j;p46p47;2006;0.0031;992;j
