country;variable;percentile;year;value;age;pop
BR;shweal992j;p18p19;1995;0.0003;992;j
BR;shweal992j;p18p19;1996;0.0003;992;j
BR;shweal992j;p18p19;1997;0.0003;992;j
BR;shweal992j;p18p19;1998;0.0003;992;j
BR;shweal992j;p18p19;1999;0.0003;992;j
BR;shweal992j;p18p19;2000;0.0003;992;j
BR;shweal992j;p18p19;2001;0.0003;992;j
BR;shweal992j;p18p19;2002;0.0004;992;j
BR;shweal992j;p18p19;2003;0.0003;992;j
BR;shweal992j;p18p19;2004;0.0003;992;j
BR;shweal992j;p18p19;2005;0.0002;992;j
BR;shweal992j;p18p19;2006;0.0003;992;j
BR;shweal992j;p18p19;2007;0.0003;992;j
BR;shweal992j;p18p19;2008;0.0003;992;j
BR;shweal992j;p18p19;2009;0.0002;992;j
BR;shweal992j;p18p19;2010;0.0003;992;j
BR;shweal992j;p18p19;2011;0.0002;992;j
BR;shweal992j;p18p19;2012;0.0002;992;j
BR;shweal992j;p18p19;2013;0.0003;992;j
BR;shweal992j;p18p19;2014;0.0003;992;j
BR;shweal992j;p18p19;2015;0.0003;992;j
BR;shweal992j;p18p19;2016;0.0003;992;j
BR;shweal992j;p18p19;2017;0.0003;992;j
BR;shweal992j;p18p19;2018;0.0002;992;j
BR;shweal992j;p18p19;2019;0.0002;992;j
BR;shweal992j;p18p19;2020;0.0002;992;j
BR;shweal992j;p18p19;2021;0.0002;992;j
BR;shweal992j;p5p6;1995;-0.0005;992;j
BR;shweal992j;p5p6;1996;-0.0005;992;j
BR;shweal992j;p5p6;1997;-0.0005;992;j
BR;shweal992j;p5p6;1998;-0.0005;992;j
BR;shweal992j;p5p6;1999;-0.0005;992;j
BR;shweal992j;p5p6;2000;-0.0005;992;j
BR;shweal992j;p5p6;2001;-0.0005;992;j
BR;shweal992j;p5p6;2002;-0.0005;992;j
BR;shweal992j;p5p6;2003;-0.0005;992;j
BR;shweal992j;p5p6;2004;-0.0006;992;j
BR;shweal992j;p5p6;2005;-0.0006;992;j
BR;shweal992j;p5p6;2006;-0.0005;992;j
BR;shweal992j;p5p6;2007;-0.0005;992;j
BR;shweal992j;p5p6;2008;-0.0005;992;j
BR;shweal992j;p5p6;2009;-0.0006;992;j
BR;shweal992j;p5p6;2010;-0.0006;992;j
BR;shweal992j;p5p6;2011;-0.0006;992;j
BR;shweal992j;p5p6;2012;-0.0006;992;j
BR;shweal992j;p5p6;2013;-0.0005;992;j
BR;shweal992j;p5p6;2014;-0.0005;992;j
BR;shweal992j;p5p6;2015;-0.0005;992;j
BR;shweal992j;p5p6;2016;-0.0005;992;j
BR;shweal992j;p5p6;2017;-0.0005;992;j
BR;shweal992j;p5p6;2018;-0.0006;992;j
BR;shweal992j;p5p6;2019;-0.0006;992;j
BR;shweal992j;p5p6;2020;-0.0006;992;j
BR;shweal992j;p5p6;2021;-0.0006;992;j
BR;shweal992j;p85p86;1995;0.0121;992;j
BR;shweal992j;p85p86;1996;0.0121;992;j
BR;shweal992j;p85p86;1997;0.0122;992;j
BR;shweal992j;p85p86;1998;0.0121;992;j
BR;shweal992j;p85p86;1999;0.0122;992;j
BR;shweal992j;p85p86;2000;0.0121;992;j
BR;shweal992j;p85p86;2001;0.0122;992;j
BR;shweal992j;p85p86;2002;0.0124;992;j
BR;shweal992j;p85p86;2003;0.0121;992;j
BR;shweal992j;p85p86;2004;0.0117;992;j
BR;shweal992j;p85p86;2005;0.0114;992;j
BR;shweal992j;p85p86;2006;0.0117;992;j
BR;shweal992j;p85p86;2007;0.0119;992;j
BR;shweal992j;p85p86;2008;0.0116;992;j
BR;shweal992j;p85p86;2009;0.0112;992;j
BR;shweal992j;p85p86;2010;0.0113;992;j
BR;shweal992j;p85p86;2011;0.011;992;j
BR;shweal992j;p85p86;2012;0.0109;992;j
BR;shweal992j;p85p86;2013;0.0115;992;j
BR;shweal992j;p85p86;2014;0.0111;992;j
BR;shweal992j;p85p86;2015;0.0113;992;j
BR;shweal992j;p85p86;2016;0.0117;992;j
BR;shweal992j;p85p86;2017;0.0112;992;j
BR;shweal992j;p85p86;2018;0.0107;992;j
BR;shweal992j;p85p86;2019;0.0107;992;j
BR;shweal992j;p85p86;2020;0.0109;992;j
BR;shweal992j;p85p86;2021;0.0106;992;j
BR;shweal992j;p99.998p100;1995;0.0623;992;j
BR;shweal992j;p99.998p100;1996;0.0645;992;j
BR;shweal992j;p99.998p100;1997;0.0561;992;j
BR;shweal992j;p99.998p100;1998;0.0585;992;j
BR;shweal992j;p99.998p100;1999;0.057;992;j
BR;shweal992j;p99.998p100;2000;0.0628;992;j
BR;shweal992j;p99.998p100;2001;0.0565;992;j
BR;shweal992j;p99.998p100;2002;0.0555;992;j
BR;shweal992j;p99.998p100;2003;0.0525;992;j
BR;shweal992j;p99.998p100;2004;0.0562;992;j
BR;shweal992j;p99.998p100;2005;0.0608;992;j
BR;shweal992j;p99.998p100;2006;0.0691;992;j
BR;shweal992j;p99.998p100;2007;0.0728;992;j
BR;shweal992j;p99.998p100;2008;0.0811;992;j
BR;shweal992j;p99.998p100;2009;0.0648;992;j
BR;shweal992j;p99.998p100;2010;0.0808;992;j
BR;shweal992j;p99.998p100;2011;0.0916;992;j
BR;shweal992j;p99.998p100;2012;0.0948;992;j
BR;shweal992j;p99.998p100;2013;0.1029;992;j
BR;shweal992j;p99.998p100;2014;0.1027;992;j
BR;shweal992j;p99.998p100;2015;0.1001;992;j
BR;shweal992j;p99.998p100;2016;0.0869;992;j
BR;shweal992j;p99.998p100;2017;0.1013;992;j
BR;shweal992j;p99.998p100;2018;0.1051;992;j
BR;shweal992j;p99.998p100;2019;0.1043;992;j
BR;shweal992j;p99.998p100;2020;0.0879;992;j
BR;shweal992j;p99.998p100;2021;0.1112;992;j
BR;shweal992j;p99.98p100;1995;0.1295;992;j
BR;shweal992j;p99.98p100;1996;0.1315;992;j
BR;shweal992j;p99.98p100;1997;0.1238;992;j
BR;shweal992j;p99.98p100;1998;0.126;992;j
BR;shweal992j;p99.98p100;1999;0.1246;992;j
BR;shweal992j;p99.98p100;2000;0.13;992;j
BR;shweal992j;p99.98p100;2001;0.1242;992;j
BR;shweal992j;p99.98p100;2002;0.1203;992;j
BR;shweal992j;p99.98p100;2003;0.1214;992;j
BR;shweal992j;p99.98p100;2004;0.1295;992;j
BR;shweal992j;p99.98p100;2005;0.1364;992;j
BR;shweal992j;p99.98p100;2006;0.1389;992;j
BR;shweal992j;p99.98p100;2007;0.1396;992;j
BR;shweal992j;p99.98p100;2008;0.1505;992;j
BR;shweal992j;p99.98p100;2009;0.1414;992;j
BR;shweal992j;p99.98p100;2010;0.1532;992;j
BR;shweal992j;p99.98p100;2011;0.1646;992;j
BR;shweal992j;p99.98p100;2012;0.168;992;j
BR;shweal992j;p99.98p100;2013;0.1685;992;j
BR;shweal992j;p99.98p100;2014;0.1725;992;j
BR;shweal992j;p99.98p100;2015;0.1676;992;j
BR;shweal992j;p99.98p100;2016;0.1531;992;j
BR;shweal992j;p99.98p100;2017;0.1705;992;j
BR;shweal992j;p99.98p100;2018;0.179;992;j
BR;shweal992j;p99.98p100;2019;0.1783;992;j
BR;shweal992j;p99.98p100;2020;0.1632;992;j
BR;shweal992j;p99.98p100;2021;0.1845;992;j
BR;shweal992j;p24p100;1995;1.0165;992;j
BR;shweal992j;p24p100;1996;1.0165;992;j
BR;shweal992j;p24p100;1997;1.0167;992;j
BR;shweal992j;p24p100;1998;1.0166;992;j
BR;shweal992j;p24p100;1999;1.0166;992;j
BR;shweal992j;p24p100;2000;1.0165;992;j
BR;shweal992j;p24p100;2001;1.0167;992;j
BR;shweal992j;p24p100;2002;1.0146;992;j
BR;shweal992j;p24p100;2003;1.0175;992;j
BR;shweal992j;p24p100;2004;1.0212;992;j
BR;shweal992j;p24p100;2005;1.0234;992;j
BR;shweal992j;p24p100;2006;1.0188;992;j
BR;shweal992j;p24p100;2007;1.0166;992;j
BR;shweal992j;p24p100;2008;1.0189;992;j
BR;shweal992j;p24p100;2009;1.0246;992;j
BR;shweal992j;p24p100;2010;1.0215;992;j
BR;shweal992j;p24p100;2011;1.0225;992;j
BR;shweal992j;p24p100;2012;1.0229;992;j
BR;shweal992j;p24p100;2013;1.0168;992;j
BR;shweal992j;p24p100;2014;1.0202;992;j
BR;shweal992j;p24p100;2015;1.0182;992;j
BR;shweal992j;p24p100;2016;1.0166;992;j
BR;shweal992j;p24p100;2017;1.0196;992;j
BR;shweal992j;p24p100;2018;1.0241;992;j
BR;shweal992j;p24p100;2019;1.0241;992;j
BR;shweal992j;p24p100;2020;1.0246;992;j
BR;shweal992j;p24p100;2021;1.0239;992;j
BR;shweal992j;p44p100;1995;0.9974;992;j
BR;shweal992j;p44p100;1996;0.9975;992;j
BR;shweal992j;p44p100;1997;0.9975;992;j
BR;shweal992j;p44p100;1998;0.9975;992;j
BR;shweal992j;p44p100;1999;0.9975;992;j
BR;shweal992j;p44p100;2000;0.9975;992;j
BR;shweal992j;p44p100;2001;0.9976;992;j
BR;shweal992j;p44p100;2002;0.9939;992;j
BR;shweal992j;p44p100;2003;0.9988;992;j
BR;shweal992j;p44p100;2004;1.0052;992;j
BR;shweal992j;p44p100;2005;1.0089;992;j
BR;shweal992j;p44p100;2006;1.0016;992;j
BR;shweal992j;p44p100;2007;0.998;992;j
BR;shweal992j;p44p100;2008;1.0022;992;j
BR;shweal992j;p44p100;2009;1.0109;992;j
BR;shweal992j;p44p100;2010;1.0065;992;j
BR;shweal992j;p44p100;2011;1.0084;992;j
BR;shweal992j;p44p100;2012;1.0092;992;j
BR;shweal992j;p44p100;2013;0.9993;992;j
BR;shweal992j;p44p100;2014;1.005;992;j
BR;shweal992j;p44p100;2015;1.0016;992;j
BR;shweal992j;p44p100;2016;0.9985;992;j
BR;shweal992j;p44p100;2017;1.004;992;j
BR;shweal992j;p44p100;2018;1.0114;992;j
BR;shweal992j;p44p100;2019;1.0114;992;j
BR;shweal992j;p44p100;2020;1.0117;992;j
BR;shweal992j;p44p100;2021;1.0113;992;j
BR;shweal992j;p89p100;1995;0.7536;992;j
BR;shweal992j;p89p100;1996;0.7543;992;j
BR;shweal992j;p89p100;1997;0.7523;992;j
BR;shweal992j;p89p100;1998;0.753;992;j
BR;shweal992j;p89p100;1999;0.7524;992;j
BR;shweal992j;p89p100;2000;0.754;992;j
BR;shweal992j;p89p100;2001;0.7526;992;j
BR;shweal992j;p89p100;2002;0.7392;992;j
BR;shweal992j;p89p100;2003;0.7561;992;j
BR;shweal992j;p89p100;2004;0.779;992;j
BR;shweal992j;p89p100;2005;0.7928;992;j
BR;shweal992j;p89p100;2006;0.7699;992;j
BR;shweal992j;p89p100;2007;0.7581;992;j
BR;shweal992j;p89p100;2008;0.7751;992;j
BR;shweal992j;p89p100;2009;0.8004;992;j
BR;shweal992j;p89p100;2010;0.7897;992;j
BR;shweal992j;p89p100;2011;0.7989;992;j
BR;shweal992j;p89p100;2012;0.8022;992;j
BR;shweal992j;p89p100;2013;0.7706;992;j
BR;shweal992j;p89p100;2014;0.7902;992;j
BR;shweal992j;p89p100;2015;0.7779;992;j
