country;variable;percentile;year;value;age;pop
KH;shweal992j;p16p17;1995;0.0006;992;j
KH;shweal992j;p16p17;1996;0.0006;992;j
KH;shweal992j;p16p17;1997;0.0006;992;j
KH;shweal992j;p16p17;1998;0.0006;992;j
KH;shweal992j;p16p17;1999;0.0006;992;j
KH;shweal992j;p16p17;2000;0.0006;992;j
KH;shweal992j;p16p17;2001;0.0006;992;j
KH;shweal992j;p16p17;2002;0.0006;992;j
KH;shweal992j;p16p17;2003;0.0006;992;j
KH;shweal992j;p16p17;2004;0.0006;992;j
KH;shweal992j;p16p17;2005;0.0006;992;j
KH;shweal992j;p16p17;2006;0.0006;992;j
KH;shweal992j;p16p17;2007;0.0006;992;j
KH;shweal992j;p16p17;2008;0.0006;992;j
KH;shweal992j;p16p17;2009;0.0006;992;j
KH;shweal992j;p16p17;2010;0.0006;992;j
KH;shweal992j;p16p17;2011;0.0006;992;j
KH;shweal992j;p16p17;2012;0.0006;992;j
KH;shweal992j;p16p17;2013;0.0006;992;j
KH;shweal992j;p16p17;2014;0.0006;992;j
KH;shweal992j;p16p17;2015;0.0006;992;j
KH;shweal992j;p16p17;2016;0.0006;992;j
KH;shweal992j;p16p17;2017;0.0006;992;j
KH;shweal992j;p16p17;2018;0.0006;992;j
KH;shweal992j;p16p17;2019;0.0006;992;j
KH;shweal992j;p16p17;2020;0.0006;992;j
KH;shweal992j;p16p17;2021;0.0006;992;j
KH;shweal992j;p42p43;1995;0.0028;992;j
KH;shweal992j;p42p43;1996;0.0027;992;j
KH;shweal992j;p42p43;1997;0.0027;992;j
KH;shweal992j;p42p43;1998;0.0028;992;j
KH;shweal992j;p42p43;1999;0.0028;992;j
KH;shweal992j;p42p43;2000;0.0028;992;j
KH;shweal992j;p42p43;2001;0.0028;992;j
KH;shweal992j;p42p43;2002;0.0028;992;j
KH;shweal992j;p42p43;2003;0.0028;992;j
KH;shweal992j;p42p43;2004;0.0028;992;j
KH;shweal992j;p42p43;2005;0.0028;992;j
KH;shweal992j;p42p43;2006;0.0028;992;j
KH;shweal992j;p42p43;2007;0.0028;992;j
KH;shweal992j;p42p43;2008;0.0028;992;j
KH;shweal992j;p42p43;2009;0.0027;992;j
KH;shweal992j;p42p43;2010;0.0027;992;j
KH;shweal992j;p42p43;2011;0.0028;992;j
KH;shweal992j;p42p43;2012;0.0028;992;j
KH;shweal992j;p42p43;2013;0.0028;992;j
KH;shweal992j;p42p43;2014;0.0028;992;j
KH;shweal992j;p42p43;2015;0.0028;992;j
KH;shweal992j;p42p43;2016;0.0028;992;j
KH;shweal992j;p42p43;2017;0.0028;992;j
KH;shweal992j;p42p43;2018;0.0028;992;j
KH;shweal992j;p42p43;2019;0.0028;992;j
KH;shweal992j;p42p43;2020;0.0028;992;j
KH;shweal992j;p42p43;2021;0.0028;992;j
KH;shweal992j;p99.93p100;1995;0.1007;992;j
KH;shweal992j;p99.93p100;1996;0.1015;992;j
KH;shweal992j;p99.93p100;1997;0.102;992;j
KH;shweal992j;p99.93p100;1998;0.1001;992;j
KH;shweal992j;p99.93p100;1999;0.0997;992;j
KH;shweal992j;p99.93p100;2000;0.1002;992;j
KH;shweal992j;p99.93p100;2001;0.1004;992;j
KH;shweal992j;p99.93p100;2002;0.1004;992;j
KH;shweal992j;p99.93p100;2003;0.1002;992;j
KH;shweal992j;p99.93p100;2004;0.1;992;j
KH;shweal992j;p99.93p100;2005;0.0981;992;j
KH;shweal992j;p99.93p100;2006;0.097;992;j
KH;shweal992j;p99.93p100;2007;0.0977;992;j
KH;shweal992j;p99.93p100;2008;0.0982;992;j
KH;shweal992j;p99.93p100;2009;0.1022;992;j
KH;shweal992j;p99.93p100;2010;0.1039;992;j
KH;shweal992j;p99.93p100;2011;0.1003;992;j
KH;shweal992j;p99.93p100;2012;0.0973;992;j
KH;shweal992j;p99.93p100;2013;0.0966;992;j
KH;shweal992j;p99.93p100;2014;0.0958;992;j
KH;shweal992j;p99.93p100;2015;0.0965;992;j
KH;shweal992j;p99.93p100;2016;0.0968;992;j
KH;shweal992j;p99.93p100;2017;0.0969;992;j
KH;shweal992j;p99.93p100;2018;0.0969;992;j
KH;shweal992j;p99.93p100;2019;0.0969;992;j
KH;shweal992j;p99.93p100;2020;0.0969;992;j
KH;shweal992j;p99.93p100;2021;0.0969;992;j
KH;shweal992j;p40p100;1995;0.9765;992;j
KH;shweal992j;p40p100;1996;0.9766;992;j
KH;shweal992j;p40p100;1997;0.9767;992;j
KH;shweal992j;p40p100;1998;0.9764;992;j
KH;shweal992j;p40p100;1999;0.9763;992;j
KH;shweal992j;p40p100;2000;0.9764;992;j
KH;shweal992j;p40p100;2001;0.9764;992;j
KH;shweal992j;p40p100;2002;0.9764;992;j
KH;shweal992j;p40p100;2003;0.9764;992;j
KH;shweal992j;p40p100;2004;0.9763;992;j
KH;shweal992j;p40p100;2005;0.976;992;j
KH;shweal992j;p40p100;2006;0.9758;992;j
KH;shweal992j;p40p100;2007;0.9759;992;j
KH;shweal992j;p40p100;2008;0.976;992;j
KH;shweal992j;p40p100;2009;0.9768;992;j
KH;shweal992j;p40p100;2010;0.9771;992;j
KH;shweal992j;p40p100;2011;0.9764;992;j
KH;shweal992j;p40p100;2012;0.9758;992;j
KH;shweal992j;p40p100;2013;0.9757;992;j
KH;shweal992j;p40p100;2014;0.9756;992;j
KH;shweal992j;p40p100;2015;0.9757;992;j
KH;shweal992j;p40p100;2016;0.9758;992;j
KH;shweal992j;p40p100;2017;0.9758;992;j
KH;shweal992j;p40p100;2018;0.9758;992;j
KH;shweal992j;p40p100;2019;0.9758;992;j
KH;shweal992j;p40p100;2020;0.9758;992;j
KH;shweal992j;p40p100;2021;0.9758;992;j
KH;shweal992j;p3p100;1995;1.0097;992;j
KH;shweal992j;p3p100;1996;1.0098;992;j
KH;shweal992j;p3p100;1997;1.0098;992;j
KH;shweal992j;p3p100;1998;1.0097;992;j
KH;shweal992j;p3p100;1999;1.0097;992;j
KH;shweal992j;p3p100;2000;1.0097;992;j
KH;shweal992j;p3p100;2001;1.0097;992;j
KH;shweal992j;p3p100;2002;1.0097;992;j
KH;shweal992j;p3p100;2003;1.0097;992;j
KH;shweal992j;p3p100;2004;1.0097;992;j
KH;shweal992j;p3p100;2005;1.0098;992;j
KH;shweal992j;p3p100;2006;1.0098;992;j
KH;shweal992j;p3p100;2007;1.0098;992;j
KH;shweal992j;p3p100;2008;1.0098;992;j
KH;shweal992j;p3p100;2009;1.0098;992;j
KH;shweal992j;p3p100;2010;1.0098;992;j
KH;shweal992j;p3p100;2011;1.0097;992;j
KH;shweal992j;p3p100;2012;1.0098;992;j
KH;shweal992j;p3p100;2013;1.0098;992;j
KH;shweal992j;p3p100;2014;1.0098;992;j
KH;shweal992j;p3p100;2015;1.0098;992;j
KH;shweal992j;p3p100;2016;1.0098;992;j
KH;shweal992j;p3p100;2017;1.0098;992;j
KH;shweal992j;p3p100;2018;1.0098;992;j
