country;variable;percentile;year;value;age;pop
KW;shweal992j;p53p54;1995;0.0023;992;j
KW;shweal992j;p53p54;1996;0.0023;992;j
KW;shweal992j;p53p54;1997;0.0023;992;j
KW;shweal992j;p53p54;1998;0.0023;992;j
KW;shweal992j;p53p54;1999;0.0023;992;j
KW;shweal992j;p53p54;2000;0.0023;992;j
KW;shweal992j;p53p54;2001;0.0023;992;j
KW;shweal992j;p53p54;2002;0.0023;992;j
KW;shweal992j;p53p54;2003;0.0023;992;j
KW;shweal992j;p53p54;2004;0.0023;992;j
KW;shweal992j;p53p54;2005;0.0023;992;j
KW;shweal992j;p53p54;2006;0.0023;992;j
KW;shweal992j;p53p54;2007;0.0023;992;j
KW;shweal992j;p53p54;2008;0.0023;992;j
KW;shweal992j;p53p54;2009;0.0023;992;j
KW;shweal992j;p53p54;2010;0.0023;992;j
KW;shweal992j;p53p54;2011;0.0023;992;j
KW;shweal992j;p53p54;2012;0.0024;992;j
KW;shweal992j;p53p54;2013;0.0024;992;j
KW;shweal992j;p53p54;2014;0.0024;992;j
KW;shweal992j;p53p54;2015;0.0025;992;j
KW;shweal992j;p53p54;2016;0.0025;992;j
KW;shweal992j;p53p54;2017;0.0025;992;j
KW;shweal992j;p53p54;2018;0.0025;992;j
KW;shweal992j;p53p54;2019;0.0025;992;j
KW;shweal992j;p53p54;2020;0.0025;992;j
KW;shweal992j;p53p54;2021;0.0025;992;j
KW;shweal992j;p75p100;1995;0.8968;992;j
KW;shweal992j;p75p100;1996;0.8967;992;j
KW;shweal992j;p75p100;1997;0.8966;992;j
KW;shweal992j;p75p100;1998;0.8965;992;j
KW;shweal992j;p75p100;1999;0.8964;992;j
KW;shweal992j;p75p100;2000;0.8958;992;j
KW;shweal992j;p75p100;2001;0.8954;992;j
KW;shweal992j;p75p100;2002;0.8953;992;j
KW;shweal992j;p75p100;2003;0.8956;992;j
KW;shweal992j;p75p100;2004;0.8949;992;j
KW;shweal992j;p75p100;2005;0.8947;992;j
KW;shweal992j;p75p100;2006;0.8948;992;j
KW;shweal992j;p75p100;2007;0.8941;992;j
KW;shweal992j;p75p100;2008;0.8948;992;j
KW;shweal992j;p75p100;2009;0.8957;992;j
KW;shweal992j;p75p100;2010;0.8956;992;j
KW;shweal992j;p75p100;2011;0.8963;992;j
KW;shweal992j;p75p100;2012;0.8926;992;j
KW;shweal992j;p75p100;2013;0.8914;992;j
KW;shweal992j;p75p100;2014;0.8908;992;j
KW;shweal992j;p75p100;2015;0.8893;992;j
KW;shweal992j;p75p100;2016;0.8877;992;j
KW;shweal992j;p75p100;2017;0.889;992;j
KW;shweal992j;p75p100;2018;0.8888;992;j
KW;shweal992j;p75p100;2019;0.8879;992;j
KW;shweal992j;p75p100;2020;0.888;992;j
KW;shweal992j;p75p100;2021;0.8879;992;j
KW;shweal992j;p99.5p100;1995;0.3987;992;j
KW;shweal992j;p99.5p100;1996;0.3976;992;j
KW;shweal992j;p99.5p100;1997;0.3966;992;j
KW;shweal992j;p99.5p100;1998;0.396;992;j
KW;shweal992j;p99.5p100;1999;0.3952;992;j
KW;shweal992j;p99.5p100;2000;0.3933;992;j
KW;shweal992j;p99.5p100;2001;0.3917;992;j
KW;shweal992j;p99.5p100;2002;0.3908;992;j
