country;variable;percentile;year;value;age;pop
MW;shweal992j;p48p49;1995;0.0012;992;j
MW;shweal992j;p48p49;1996;0.0012;992;j
MW;shweal992j;p48p49;1997;0.0012;992;j
MW;shweal992j;p48p49;1998;0.0012;992;j
MW;shweal992j;p48p49;1999;0.0012;992;j
MW;shweal992j;p48p49;2000;0.0012;992;j
MW;shweal992j;p48p49;2001;0.0013;992;j
MW;shweal992j;p48p49;2002;0.0015;992;j
MW;shweal992j;p48p49;2003;0.0019;992;j
MW;shweal992j;p48p49;2004;0.0027;992;j
MW;shweal992j;p48p49;2005;0.0025;992;j
MW;shweal992j;p48p49;2006;0.0023;992;j
MW;shweal992j;p48p49;2007;0.0022;992;j
MW;shweal992j;p48p49;2008;0.0021;992;j
MW;shweal992j;p48p49;2009;0.0019;992;j
MW;shweal992j;p48p49;2010;0.0018;992;j
MW;shweal992j;p48p49;2011;0.0018;992;j
MW;shweal992j;p48p49;2012;0.0018;992;j
MW;shweal992j;p48p49;2013;0.0018;992;j
MW;shweal992j;p48p49;2014;0.0018;992;j
MW;shweal992j;p48p49;2015;0.0017;992;j
MW;shweal992j;p48p49;2016;0.0017;992;j
MW;shweal992j;p48p49;2017;0.0017;992;j
MW;shweal992j;p48p49;2018;0.0017;992;j
MW;shweal992j;p48p49;2019;0.0017;992;j
MW;shweal992j;p48p49;2020;0.0017;992;j
MW;shweal992j;p48p49;2021;0.0017;992;j
MW;shweal992j;p78p79;1995;0.0062;992;j
MW;shweal992j;p78p79;1996;0.0062;992;j
MW;shweal992j;p78p79;1997;0.0062;992;j
MW;shweal992j;p78p79;1998;0.0062;992;j
MW;shweal992j;p78p79;1999;0.0062;992;j
MW;shweal992j;p78p79;2000;0.0062;992;j
MW;shweal992j;p78p79;2001;0.0063;992;j
MW;shweal992j;p78p79;2002;0.0067;992;j
MW;shweal992j;p78p79;2003;0.0075;992;j
MW;shweal992j;p78p79;2004;0.0093;992;j
MW;shweal992j;p78p79;2005;0.0089;992;j
MW;shweal992j;p78p79;2006;0.0084;992;j
MW;shweal992j;p78p79;2007;0.0082;992;j
MW;shweal992j;p78p79;2008;0.0079;992;j
MW;shweal992j;p78p79;2009;0.0077;992;j
MW;shweal992j;p78p79;2010;0.0075;992;j
MW;shweal992j;p78p79;2011;0.0074;992;j
MW;shweal992j;p78p79;2012;0.0074;992;j
MW;shweal992j;p78p79;2013;0.0073;992;j
MW;shweal992j;p78p79;2014;0.0073;992;j
MW;shweal992j;p78p79;2015;0.0073;992;j
MW;shweal992j;p78p79;2016;0.0072;992;j
MW;shweal992j;p78p79;2017;0.0072;992;j
MW;shweal992j;p78p79;2018;0.0072;992;j
MW;shweal992j;p78p79;2019;0.0072;992;j
MW;shweal992j;p78p79;2020;0.0072;992;j
MW;shweal992j;p78p79;2021;0.0072;992;j
MW;shweal992j;p8p9;1995;-0.0003;992;j
MW;shweal992j;p8p9;1996;-0.0003;992;j
MW;shweal992j;p8p9;1997;-0.0003;992;j
MW;shweal992j;p8p9;1998;-0.0003;992;j
MW;shweal992j;p8p9;1999;-0.0003;992;j
MW;shweal992j;p8p9;2000;-0.0003;992;j
MW;shweal992j;p8p9;2001;-0.0003;992;j
MW;shweal992j;p8p9;2002;-0.0002;992;j
MW;shweal992j;p8p9;2003;-0.0001;992;j
MW;shweal992j;p8p9;2004;0.0;992;j
MW;shweal992j;p8p9;2005;0.0;992;j
MW;shweal992j;p8p9;2006;0.0;992;j
MW;shweal992j;p8p9;2007;0.0;992;j
MW;shweal992j;p8p9;2008;-0.0001;992;j
MW;shweal992j;p8p9;2009;-0.0001;992;j
MW;shweal992j;p8p9;2010;-0.0001;992;j
MW;shweal992j;p8p9;2011;-0.0001;992;j
MW;shweal992j;p8p9;2012;-0.0001;992;j
MW;shweal992j;p8p9;2013;-0.0001;992;j
MW;shweal992j;p8p9;2014;-0.0001;992;j
MW;shweal992j;p8p9;2015;-0.0002;992;j
MW;shweal992j;p8p9;2016;-0.0002;992;j
MW;shweal992j;p8p9;2017;-0.0002;992;j
MW;shweal992j;p8p9;2018;-0.0002;992;j
MW;shweal992j;p8p9;2019;-0.0002;992;j
MW;shweal992j;p8p9;2020;-0.0002;992;j
MW;shweal992j;p8p9;2021;-0.0002;992;j
MW;shweal992j;p99.97p100;1995;0.1617;992;j
MW;shweal992j;p99.97p100;1996;0.1617;992;j
MW;shweal992j;p99.97p100;1997;0.1618;992;j
MW;shweal992j;p99.97p100;1998;0.1615;992;j
MW;shweal992j;p99.97p100;1999;0.1615;992;j
MW;shweal992j;p99.97p100;2000;0.1609;992;j
MW;shweal992j;p99.97p100;2001;0.1593;992;j
MW;shweal992j;p99.97p100;2002;0.1541;992;j
MW;shweal992j;p99.97p100;2003;0.1409;992;j
MW;shweal992j;p99.97p100;2004;0.1085;992;j
MW;shweal992j;p99.97p100;2005;0.116;992;j
MW;shweal992j;p99.97p100;2006;0.1252;992;j
MW;shweal992j;p99.97p100;2007;0.1288;992;j
MW;shweal992j;p99.97p100;2008;0.1338;992;j
MW;shweal992j;p99.97p100;2009;0.138;992;j
MW;shweal992j;p99.97p100;2010;0.1413;992;j
