country;variable;percentile;year;value;age;pop
NZ;shweal992j;p99.3p100;1995;0.1914;992;j
NZ;shweal992j;p99.3p100;1996;0.1894;992;j
NZ;shweal992j;p99.3p100;1997;0.1913;992;j
NZ;shweal992j;p99.3p100;1998;0.1953;992;j
NZ;shweal992j;p99.3p100;1999;0.1959;992;j
NZ;shweal992j;p99.3p100;2000;0.1901;992;j
NZ;shweal992j;p99.3p100;2001;0.1918;992;j
NZ;shweal992j;p99.3p100;2002;0.1918;992;j
NZ;shweal992j;p99.3p100;2003;0.1928;992;j
NZ;shweal992j;p99.3p100;2004;0.193;992;j
NZ;shweal992j;p99.3p100;2005;0.1898;992;j
NZ;shweal992j;p99.3p100;2006;0.1865;992;j
NZ;shweal992j;p99.3p100;2007;0.188;992;j
NZ;shweal992j;p99.3p100;2008;0.1915;992;j
NZ;shweal992j;p99.3p100;2009;0.1895;992;j
NZ;shweal992j;p99.3p100;2010;0.1932;992;j
NZ;shweal992j;p99.3p100;2011;0.1966;992;j
NZ;shweal992j;p99.3p100;2012;0.2001;992;j
NZ;shweal992j;p99.3p100;2013;0.1944;992;j
NZ;shweal992j;p99.3p100;2014;0.1944;992;j
NZ;shweal992j;p99.3p100;2015;0.1941;992;j
NZ;shweal992j;p99.3p100;2016;0.1919;992;j
NZ;shweal992j;p99.3p100;2017;0.1948;992;j
NZ;shweal992j;p99.3p100;2018;0.1949;992;j
NZ;shweal992j;p99.3p100;2019;0.194;992;j
NZ;shweal992j;p99.3p100;2020;0.1953;992;j
NZ;shweal992j;p99.3p100;2021;0.1934;992;j
NZ;shweal992j;p99.994p99.995;1995;0.002;992;j
NZ;shweal992j;p99.994p99.995;1996;0.0019;992;j
NZ;shweal992j;p99.994p99.995;1997;0.002;992;j
NZ;shweal992j;p99.994p99.995;1998;0.002;992;j
NZ;shweal992j;p99.994p99.995;1999;0.0021;992;j
NZ;shweal992j;p99.994p99.995;2000;0.002;992;j
NZ;shweal992j;p99.994p99.995;2001;0.002;992;j
NZ;shweal992j;p99.994p99.995;2002;0.002;992;j
NZ;shweal992j;p99.994p99.995;2003;0.002;992;j
NZ;shweal992j;p99.994p99.995;2004;0.002;992;j
NZ;shweal992j;p99.994p99.995;2005;0.002;992;j
NZ;shweal992j;p99.994p99.995;2006;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2007;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2008;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2009;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2010;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2011;0.0019;992;j
NZ;shweal992j;p99.994p99.995;2012;0.002;992;j
NZ;shweal992j;p99.994p99.995;2013;0.002;992;j
NZ;shweal992j;p99.994p99.995;2014;0.002;992;j
NZ;shweal992j;p99.994p99.995;2015;0.002;992;j
NZ;shweal992j;p99.994p99.995;2016;0.002;992;j
NZ;shweal992j;p99.994p99.995;2017;0.002;992;j
NZ;shweal992j;p99.994p99.995;2018;0.002;992;j
NZ;shweal992j;p99.994p99.995;2019;0.002;992;j
NZ;shweal992j;p99.994p99.995;2020;0.002;992;j
NZ;shweal992j;p99.994p99.995;2021;0.002;992;j
NZ;shweal992j;p12p13;1995;0.0004;992;j
NZ;shweal992j;p12p13;1996;0.0004;992;j
NZ;shweal992j;p12p13;1997;0.0004;992;j
NZ;shweal992j;p12p13;1998;0.0004;992;j
NZ;shweal992j;p12p13;1999;0.0004;992;j
NZ;shweal992j;p12p13;2000;0.0004;992;j
NZ;shweal992j;p12p13;2001;0.0004;992;j
NZ;shweal992j;p12p13;2002;0.0004;992;j
NZ;shweal992j;p12p13;2003;0.0004;992;j
NZ;shweal992j;p12p13;2004;0.0004;992;j
NZ;shweal992j;p12p13;2005;0.0004;992;j
NZ;shweal992j;p12p13;2006;0.0004;992;j
NZ;shweal992j;p12p13;2007;0.0004;992;j
NZ;shweal992j;p12p13;2008;0.0004;992;j
NZ;shweal992j;p12p13;2009;0.0004;992;j
NZ;shweal992j;p12p13;2010;0.0004;992;j
NZ;shweal992j;p12p13;2011;0.0004;992;j
NZ;shweal992j;p12p13;2012;0.0004;992;j
NZ;shweal992j;p12p13;2013;0.0004;992;j
NZ;shweal992j;p12p13;2014;0.0004;992;j
NZ;shweal992j;p12p13;2015;0.0004;992;j
NZ;shweal992j;p12p13;2016;0.0004;992;j
NZ;shweal992j;p12p13;2017;0.0004;992;j
NZ;shweal992j;p12p13;2018;0.0004;992;j
NZ;shweal992j;p12p13;2019;0.0004;992;j
NZ;shweal992j;p12p13;2020;0.0004;992;j
NZ;shweal992j;p12p13;2021;0.0004;992;j
NZ;shweal992j;p5p100;1995;1.0121;992;j
NZ;shweal992j;p5p100;1996;1.0121;992;j
NZ;shweal992j;p5p100;1997;1.0121;992;j
NZ;shweal992j;p5p100;1998;1.012;992;j
NZ;shweal992j;p5p100;1999;1.012;992;j
NZ;shweal992j;p5p100;2000;1.0121;992;j
NZ;shweal992j;p5p100;2001;1.0121;992;j
NZ;shweal992j;p5p100;2002;1.0121;992;j
NZ;shweal992j;p5p100;2003;1.012;992;j
NZ;shweal992j;p5p100;2004;1.012;992;j
NZ;shweal992j;p5p100;2005;1.0121;992;j
NZ;shweal992j;p5p100;2006;1.0121;992;j
NZ;shweal992j;p5p100;2007;1.0121;992;j
NZ;shweal992j;p5p100;2008;1.012;992;j
NZ;shweal992j;p5p100;2009;1.0121;992;j
NZ;shweal992j;p5p100;2010;1.012;992;j
NZ;shweal992j;p5p100;2011;1.012;992;j
NZ;shweal992j;p5p100;2012;1.0119;992;j
NZ;shweal992j;p5p100;2013;1.012;992;j
NZ;shweal992j;p5p100;2014;1.012;992;j
NZ;shweal992j;p5p100;2015;1.012;992;j
NZ;shweal992j;p5p100;2016;1.0121;992;j
NZ;shweal992j;p5p100;2017;1.012;992;j
NZ;shweal992j;p5p100;2018;1.012;992;j
NZ;shweal992j;p5p100;2019;1.012;992;j
NZ;shweal992j;p5p100;2020;1.012;992;j
NZ;shweal992j;p5p100;2021;1.012;992;j
NZ;shweal992j;p91p92;1995;0.0235;992;j
NZ;shweal992j;p91p92;1996;0.0235;992;j
NZ;shweal992j;p91p92;1997;0.0235;992;j
NZ;shweal992j;p91p92;1998;0.0234;992;j
NZ;shweal992j;p91p92;1999;0.0234;992;j
NZ;shweal992j;p91p92;2000;0.0235;992;j
NZ;shweal992j;p91p92;2001;0.0234;992;j
NZ;shweal992j;p91p92;2002;0.0234;992;j
NZ;shweal992j;p91p92;2003;0.0234;992;j
NZ;shweal992j;p91p92;2004;0.0234;992;j
NZ;shweal992j;p91p92;2005;0.0235;992;j
NZ;shweal992j;p91p92;2006;0.0236;992;j
NZ;shweal992j;p91p92;2007;0.0235;992;j
NZ;shweal992j;p91p92;2008;0.0234;992;j
NZ;shweal992j;p91p92;2009;0.0235;992;j
NZ;shweal992j;p91p92;2010;0.0234;992;j
NZ;shweal992j;p91p92;2011;0.0233;992;j
NZ;shweal992j;p91p92;2012;0.0232;992;j
NZ;shweal992j;p91p92;2013;0.0234;992;j
NZ;shweal992j;p91p92;2014;0.0234;992;j
NZ;shweal992j;p91p92;2015;0.0234;992;j
NZ;shweal992j;p91p92;2016;0.0234;992;j
NZ;shweal992j;p91p92;2017;0.0234;992;j
NZ;shweal992j;p91p92;2018;0.0234;992;j
NZ;shweal992j;p91p92;2019;0.0234;992;j
NZ;shweal992j;p91p92;2020;0.0234;992;j
NZ;shweal992j;p91p92;2021;0.0234;992;j
NZ;shweal992j;p41p100;1995;0.9701;992;j
NZ;shweal992j;p41p100;1996;0.9699;992;j
NZ;shweal992j;p41p100;1997;0.9701;992;j
NZ;shweal992j;p41p100;1998;0.9704;992;j
NZ;shweal992j;p41p100;1999;0.9705;992;j
NZ;shweal992j;p41p100;2000;0.97;992;j
NZ;shweal992j;p41p100;2001;0.9701;992;j
NZ;shweal992j;p41p100;2002;0.9701;992;j
NZ;shweal992j;p41p100;2003;0.9702;992;j
NZ;shweal992j;p41p100;2004;0.9702;992;j
NZ;shweal992j;p41p100;2005;0.97;992;j
NZ;shweal992j;p41p100;2006;0.9697;992;j
NZ;shweal992j;p41p100;2007;0.9698;992;j
NZ;shweal992j;p41p100;2008;0.9699;992;j
NZ;shweal992j;p41p100;2009;0.9699;992;j
NZ;shweal992j;p41p100;2010;0.97;992;j
NZ;shweal992j;p41p100;2011;0.9702;992;j
NZ;shweal992j;p41p100;2012;0.9705;992;j
NZ;shweal992j;p41p100;2013;0.9702;992;j
NZ;shweal992j;p41p100;2014;0.9702;992;j
NZ;shweal992j;p41p100;2015;0.9702;992;j
NZ;shweal992j;p41p100;2016;0.9701;992;j
NZ;shweal992j;p41p100;2017;0.9703;992;j
NZ;shweal992j;p41p100;2018;0.9703;992;j
NZ;shweal992j;p41p100;2019;0.9703;992;j
NZ;shweal992j;p41p100;2020;0.9703;992;j
NZ;shweal992j;p41p100;2021;0.9702;992;j
NZ;shweal992j;p57p100;1995;0.9049;992;j
NZ;shweal992j;p57p100;1996;0.9043;992;j
NZ;shweal992j;p57p100;1997;0.9049;992;j
NZ;shweal992j;p57p100;1998;0.9061;992;j
NZ;shweal992j;p57p100;1999;0.9063;992;j
NZ;shweal992j;p57p100;2000;0.9045;992;j
NZ;shweal992j;p57p100;2001;0.9051;992;j
NZ;shweal992j;p57p100;2002;0.905;992;j
NZ;shweal992j;p57p100;2003;0.9054;992;j
NZ;shweal992j;p57p100;2004;0.9054;992;j
NZ;shweal992j;p57p100;2005;0.9044;992;j
NZ;shweal992j;p57p100;2006;0.9034;992;j
NZ;shweal992j;p57p100;2007;0.9036;992;j
NZ;shweal992j;p57p100;2008;0.904;992;j
NZ;shweal992j;p57p100;2009;0.904;992;j
NZ;shweal992j;p57p100;2010;0.9044;992;j
NZ;shweal992j;p57p100;2011;0.9052;992;j
NZ;shweal992j;p57p100;2012;0.9062;992;j
NZ;shweal992j;p57p100;2013;0.9051;992;j
NZ;shweal992j;p57p100;2014;0.9051;992;j
NZ;shweal992j;p57p100;2015;0.9052;992;j
NZ;shweal992j;p57p100;2016;0.9049;992;j
NZ;shweal992j;p57p100;2017;0.9056;992;j
NZ;shweal992j;p57p100;2018;0.9058;992;j
NZ;shweal992j;p57p100;2019;0.9056;992;j
NZ;shweal992j;p57p100;2020;0.9058;992;j
NZ;shweal992j;p57p100;2021;0.9056;992;j
NZ;shweal992j;p61p62;1995;0.0062;992;j
NZ;shweal992j;p61p62;1996;0.0063;992;j
NZ;shweal992j;p61p62;1997;0.0062;992;j
NZ;shweal992j;p61p62;1998;0.0061;992;j
NZ;shweal992j;p61p62;1999;0.0061;992;j
NZ;shweal992j;p61p62;2000;0.0063;992;j
NZ;shweal992j;p61p62;2001;0.0062;992;j
NZ;shweal992j;p61p62;2002;0.0062;992;j
NZ;shweal992j;p61p62;2003;0.0062;992;j
NZ;shweal992j;p61p62;2004;0.0062;992;j
NZ;shweal992j;p61p62;2005;0.0063;992;j
NZ;shweal992j;p61p62;2006;0.0063;992;j
NZ;shweal992j;p61p62;2007;0.0063;992;j
NZ;shweal992j;p61p62;2008;0.0063;992;j
NZ;shweal992j;p61p62;2009;0.0063;992;j
NZ;shweal992j;p61p62;2010;0.0063;992;j
NZ;shweal992j;p61p62;2011;0.0062;992;j
NZ;shweal992j;p61p62;2012;0.0061;992;j
NZ;shweal992j;p61p62;2013;0.0062;992;j
NZ;shweal992j;p61p62;2014;0.0062;992;j
NZ;shweal992j;p61p62;2015;0.0062;992;j
NZ;shweal992j;p61p62;2016;0.0062;992;j
NZ;shweal992j;p61p62;2017;0.0062;992;j
NZ;shweal992j;p61p62;2018;0.0062;992;j
NZ;shweal992j;p61p62;2019;0.0062;992;j
NZ;shweal992j;p61p62;2020;0.0062;992;j
NZ;shweal992j;p61p62;2021;0.0062;992;j
NZ;shweal992j;p65p100;1995;0.8558;992;j
NZ;shweal992j;p65p100;1996;0.8549;992;j
