country;variable;percentile;year;value;age;pop
TL;shweal992j;p99.96p99.97;1995;0.0073;992;j
TL;shweal992j;p99.96p99.97;1996;0.0072;992;j
TL;shweal992j;p99.96p99.97;1997;0.0072;992;j
TL;shweal992j;p99.96p99.97;1998;0.0072;992;j
TL;shweal992j;p99.96p99.97;1999;0.0072;992;j
TL;shweal992j;p99.96p99.97;2002;0.007;992;j
TL;shweal992j;p99.96p99.97;2004;0.0067;992;j
TL;shweal992j;p99.96p99.97;2005;0.0066;992;j
TL;shweal992j;p99.96p99.97;2006;0.0065;992;j
TL;shweal992j;p99.96p99.97;2007;0.0065;992;j
TL;shweal992j;p99.96p99.97;2008;0.0065;992;j
TL;shweal992j;p99.96p99.97;2009;0.0065;992;j
TL;shweal992j;p99.96p99.97;2010;0.0065;992;j
TL;shweal992j;p99.96p99.97;2011;0.0065;992;j
TL;shweal992j;p99.96p99.97;2012;0.0065;992;j
TL;shweal992j;p99.96p99.97;2013;0.0065;992;j
TL;shweal992j;p99.96p99.97;2014;0.0066;992;j
TL;shweal992j;p99.96p99.97;2015;0.0066;992;j
TL;shweal992j;p99.96p99.97;2016;0.0066;992;j
TL;shweal992j;p99.96p99.97;2017;0.0066;992;j
TL;shweal992j;p99.96p99.97;2018;0.0066;992;j
TL;shweal992j;p99.96p99.97;2019;0.0066;992;j
TL;shweal992j;p99.96p99.97;2020;0.0066;992;j
TL;shweal992j;p99.96p99.97;2021;0.0066;992;j
TL;shweal992j;p27p100;1995;0.9996;992;j
TL;shweal992j;p27p100;1996;0.9996;992;j
TL;shweal992j;p27p100;1997;0.9996;992;j
TL;shweal992j;p27p100;1998;0.9996;992;j
TL;shweal992j;p27p100;1999;0.9996;992;j
TL;shweal992j;p27p100;2002;0.9995;992;j
TL;shweal992j;p27p100;2004;0.9995;992;j
TL;shweal992j;p27p100;2005;0.9995;992;j
TL;shweal992j;p27p100;2006;0.9995;992;j
TL;shweal992j;p27p100;2007;0.9995;992;j
TL;shweal992j;p27p100;2008;0.9995;992;j
TL;shweal992j;p27p100;2009;0.9995;992;j
TL;shweal992j;p27p100;2010;0.9995;992;j
TL;shweal992j;p27p100;2011;0.9995;992;j
TL;shweal992j;p27p100;2012;0.9995;992;j
TL;shweal992j;p27p100;2013;0.9995;992;j
TL;shweal992j;p27p100;2014;0.9995;992;j
TL;shweal992j;p27p100;2015;0.9995;992;j
TL;shweal992j;p27p100;2016;0.9995;992;j
TL;shweal992j;p27p100;2017;0.9995;992;j
TL;shweal992j;p27p100;2018;0.9995;992;j
TL;shweal992j;p27p100;2019;0.9995;992;j
TL;shweal992j;p27p100;2020;0.9995;992;j
TL;shweal992j;p27p100;2021;0.9995;992;j
TL;shweal992j;p56p100;1995;0.9188;992;j
TL;shweal992j;p56p100;1996;0.9187;992;j
TL;shweal992j;p56p100;1997;0.9187;992;j
TL;shweal992j;p56p100;1998;0.9187;992;j
TL;shweal992j;p56p100;1999;0.9187;992;j
TL;shweal992j;p56p100;2002;0.9171;992;j
TL;shweal992j;p56p100;2004;0.9146;992;j
TL;shweal992j;p56p100;2005;0.9141;992;j
TL;shweal992j;p56p100;2006;0.9136;992;j
TL;shweal992j;p56p100;2007;0.9132;992;j
TL;shweal992j;p56p100;2008;0.9133;992;j
TL;shweal992j;p56p100;2009;0.9133;992;j
TL;shweal992j;p56p100;2010;0.9135;992;j
TL;shweal992j;p56p100;2011;0.9136;992;j
TL;shweal992j;p56p100;2012;0.9136;992;j
TL;shweal992j;p56p100;2013;0.9137;992;j
TL;shweal992j;p56p100;2014;0.9139;992;j
TL;shweal992j;p56p100;2015;0.9139;992;j
TL;shweal992j;p56p100;2016;0.9139;992;j
TL;shweal992j;p56p100;2017;0.9139;992;j
TL;shweal992j;p56p100;2018;0.9139;992;j
TL;shweal992j;p56p100;2019;0.9139;992;j
TL;shweal992j;p56p100;2020;0.914;992;j
TL;shweal992j;p56p100;2021;0.9139;992;j
TL;shweal992j;p80p81;1995;0.012;992;j
TL;shweal992j;p80p81;1996;0.012;992;j
TL;shweal992j;p80p81;1997;0.012;992;j
TL;shweal992j;p80p81;1998;0.012;992;j
TL;shweal992j;p80p81;1999;0.012;992;j
TL;shweal992j;p80p81;2002;0.0122;992;j
TL;shweal992j;p80p81;2004;0.0124;992;j
TL;shweal992j;p80p81;2005;0.0124;992;j
TL;shweal992j;p80p81;2006;0.0124;992;j
TL;shweal992j;p80p81;2007;0.0125;992;j
TL;shweal992j;p80p81;2008;0.0125;992;j
TL;shweal992j;p80p81;2009;0.0125;992;j
TL;shweal992j;p80p81;2010;0.0125;992;j
TL;shweal992j;p80p81;2011;0.0124;992;j
TL;shweal992j;p80p81;2012;0.0124;992;j
TL;shweal992j;p80p81;2013;0.0124;992;j
TL;shweal992j;p80p81;2014;0.0124;992;j
TL;shweal992j;p80p81;2015;0.0124;992;j
TL;shweal992j;p80p81;2016;0.0124;992;j
TL;shweal992j;p80p81;2017;0.0124;992;j
TL;shweal992j;p80p81;2018;0.0124;992;j
TL;shweal992j;p80p81;2019;0.0124;992;j
TL;shweal992j;p80p81;2020;0.0124;992;j
TL;shweal992j;p80p81;2021;0.0124;992;j
TL;shweal992j;p26p27;1995;0.0012;992;j
TL;shweal992j;p26p27;1996;0.0012;992;j
TL;shweal992j;p26p27;1997;0.0012;992;j
TL;shweal992j;p26p27;1998;0.0012;992;j
TL;shweal992j;p26p27;1999;0.0012;992;j
TL;shweal992j;p26p27;2002;0.0012;992;j
TL;shweal992j;p26p27;2004;0.0013;992;j
TL;shweal992j;p26p27;2005;0.0013;992;j
TL;shweal992j;p26p27;2006;0.0013;992;j
TL;shweal992j;p26p27;2007;0.0013;992;j
TL;shweal992j;p26p27;2008;0.0013;992;j
